Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Ray Bourque,27,BOS,D,245,77.78,36,20,5,,,17,64,81,34,5.5,6.2,0,11.7
2,Scott Stevens,23,WSH,D,124,39.37,13,15,14,,,12,60,72,14,4.5,5.8,0,10.3
3,Gary Suter,23,CGY,D,80,25.4,8,9,13,,,21,70,91,39,6.7,4.4,0,11.1
4,Brad McCrimmon,28,CGY,D,70,22.22,4,13,11,,,7,35,42,48,1.9,5.1,0,7
5,Kevin Lowe,28,EDM,D,24,7.62,2,3,5,,,9,15,24,18,0.9,3.5,0,4.4
6,Chris Chelios,26,MTL,D,10,3.17,0,1,7,,,20,41,61,14,4.5,4.6,0,9
7,Paul Coffey,26,PIT,D,5,1.59,0,1,2,,,15,52,67,-1,5.1,1.8,0,6.9
7,James Patrick,24,NYR,D,5,1.59,0,1,2,,,17,45,62,16,4.2,4.8,0,9
9,Mark Howe,32,PHI,D,3,0.95,0,0,3,,,19,43,62,23,4.4,4.9,0,9.3
10,Denis Potvin,34,NYI,D,1,0.32,0,0,1,,,19,32,51,26,3.7,4.8,0,8.5
