Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Nicklas Lidstrom,30,DET,D,600,96.77,56,5,1,0,0,15,56,71,9,6.4,5.8,0,12.2
2,Ray Bourque,40,COL,D,251,40.48,4,16,12,10,9,7,52,59,25,4.5,5.7,0,10.2
3,Scott Stevens,36,NJD,D,203,32.74,1,15,14,4,6,9,22,31,40,1.9,6.1,0,8.1
4,Rob Blake,31,TOT,D,176,28.39,1,11,8,14,7,19,40,59,3,6,3.5,0,9.5
5,Brian Leetch,32,NYR,D,126,20.32,0,9,7,5,13,21,58,79,-18,7.7,1.7,0,9.4
6,Sergei Gonchar,26,WSH,D,94,15.16,0,1,9,12,6,19,38,57,12,5.9,4.7,0,10.6
7,Al MacInnis,37,STL,D,49,7.9,0,0,6,5,4,12,42,54,23,5.2,5.2,0,10.5
8,Sergei Zubov,30,DAL,D,28,4.52,0,1,1,4,4,10,41,51,22,4,6.6,0,10.7
9,Brian Rafalski,27,NJD,D,26,4.19,0,2,1,2,1,9,43,52,36,4.4,5.3,0,9.7
10,Eric Desjardins,31,PHI,D,14,2.26,0,2,0,0,0,15,33,48,-3,4.3,3.9,0,8.2
10,Chris Pronger,26,STL,D,14,2.26,0,0,1,2,3,8,39,47,21,4.3,4.7,0,9
12,Wade Redden,23,OTT,D,13,2.1,0,0,1,2,2,10,37,47,22,3.8,5.1,0,8.9
13,Derian Hatcher,28,DAL,D,9,1.45,0,0,1,1,1,2,21,23,5,0.4,5.2,0,5.6
14,Dan McGillis,28,PHI,D,4,0.65,0,0,0,1,1,14,35,49,13,4.5,4.8,0,9.3
15,Ed Jovanovski,24,VAN,D,2,0.32,0,0,0,0,2,12,35,47,-1,4,3.6,0,7.6
16,Brad Lukowich,24,DAL,D,1,0.16,0,0,0,0,1,4,10,14,28,0.6,5,0,5.5
16,Jason Smith,27,EDM,D,1,0.16,0,0,0,0,1,5,15,20,14,0.7,4.4,0,5.1
16,Oleg Tverdovsky,24,MDA,D,1,0.16,0,0,0,0,1,14,39,53,-11,4.7,4.2,0,9
