Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Rob Blake,28,LAK,D,401,74.26,27,12,8,2,1,23,27,50,-3,5.9,3,0,8.8
2,Nicklas Lidstrom,27,DET,D,369,68.33,15,22,10,5,0,17,42,59,22,6.1,5.5,0,11.6
3,Chris Pronger,23,STL,D,316,58.52,8,15,23,5,1,9,27,36,47,2.9,7.3,0,10.3
4,Scott Stevens,33,NJD,D,84,15.56,3,2,2,9,3,4,22,26,19,1.4,6.3,0,7.7
5,Scott Niedermayer,24,NJD,D,58,10.74,0,0,3,10,13,14,43,57,5,5.5,5.3,0,10.8
6,Larry Murphy,36,DET,D,47,8.7,1,0,3,5,7,11,41,52,35,4.7,6.6,0,11.3
7,Ray Bourque,37,BOS,D,37,6.85,0,1,3,2,9,13,35,48,2,4.6,4.9,0,9.5
8,Al MacInnis,34,STL,D,26,4.81,0,1,1,4,2,19,30,49,6,5.5,3.7,0,9.2
9,Teppo Numminen,29,PHX,D,22,4.07,0,0,1,3,8,11,40,51,25,4.6,5.5,0,10.2
9,Sergei Zubov,27,DAL,D,22,4.07,0,1,0,3,6,10,47,57,16,5.4,5.7,0,11
11,Darryl Sydor,25,DAL,D,6,1.11,0,0,0,2,0,11,35,46,17,4.2,6.1,0,10.3
12,Chris Chelios,36,CHI,D,3,0.56,0,0,0,1,0,3,39,42,-7,2.9,4,0,6.9
12,Kenny Jonsson,23,NYI,D,3,0.56,0,0,0,1,0,14,26,40,-2,4,4,0,8
12,Darius Kasparaitis,25,PIT,D,3,0.56,0,0,0,1,0,4,8,12,3,-0.1,4.6,0,4.5
12,Alexei Zhitnik,25,BUF,D,3,0.56,0,0,0,1,0,15,30,45,19,4.6,5,0,9.6
16,Eric Desjardins,28,PHI,D,1,0.19,0,0,0,0,1,6,27,33,11,2.4,4.8,0,7.1
16,Kevin Hatcher,31,PIT,D,1,0.19,0,0,0,0,1,19,29,48,-3,5.2,3.8,0,9
16,Calle Johansson,30,WSH,D,1,0.19,0,0,0,0,1,15,20,35,-11,3.6,3.2,0,6.8
16,Boris Mironov,25,EDM,D,1,0.19,0,0,0,0,1,16,30,46,-8,4.8,3.7,0,8.5
