Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Erik Karlsson,21,OTT,D,1069,71.74,66,31,32,9,5,19,59,78,16,8.6,4.5,0,13.1
2,Shea Weber,26,NSH,D,1057,70.94,49,54,32,9,2,19,30,49,21,5.2,6.2,0,11.4
3,Zdeno Chara,34,BOS,D,950,63.76,32,48,47,19,2,12,40,52,33,5.1,5.9,0,10.9
4,Alex Pietrangelo,22,STL,D,381,25.57,0,7,20,68,28,12,39,51,16,4.8,6.4,0,11.2
5,Nicklas Lidstrom,41,DET,D,132,8.86,0,5,4,16,29,11,23,34,21,3,4.9,0,7.9
6,Dan Girardi,27,NYR,D,70,4.7,2,0,4,6,12,5,24,29,13,1.3,6,0,7.2
7,Brian Campbell,32,FLA,D,58,3.89,0,2,2,6,16,4,49,53,-9,3.8,4.6,0,8.4
8,Ryan Suter,27,NSH,D,57,3.83,0,1,3,5,20,7,39,46,15,3.5,5.8,0,9.2
9,Kris Letang,24,PIT,D,40,2.68,0,0,4,3,11,10,32,42,21,4.4,3.8,0,8.1
10,Dan Hamhuis,29,VAN,D,21,1.41,0,1,0,3,5,4,33,37,29,2.3,6.3,0,8.6
11,Ryan McDonagh,22,NYR,D,13,0.87,0,0,1,2,2,7,25,32,25,2,6.7,0,8.7
12,Michael Del Zotto,21,NYR,D,5,0.34,0,0,0,1,2,10,31,41,20,3.7,5.6,0,9.3
13,Duncan Keith,28,CHI,D,4,0.27,0,0,0,1,1,4,36,40,15,2.6,4.5,0,7.1
13,Keith Yandle,25,PHX,D,4,0.27,0,0,0,1,1,11,32,43,5,3.9,4.3,0,8.1
13,Dustin Byfuglien,26,WPG,D,4,0.27,0,0,0,0,4,12,41,53,-8,5.5,2.2,0,7.6
13,Alexander Edler,25,VAN,D,4,0.27,0,0,0,0,4,11,38,49,0,4.4,3.9,0,8.3
17,Dan Boyle,35,SJS,D,2,0.13,0,0,0,0,2,9,39,48,10,3.9,5.5,0,9.4
18,Kevin Bieksa,30,VAN,D,1,0.07,0,0,0,0,1,8,36,44,12,3.6,4.7,0,8.3
18,Willie Mitchell,34,LAK,D,1,0.07,0,0,0,0,1,5,19,24,20,1.3,6.6,0,7.9
18,Kevin Shattenkirk,23,STL,D,1,0.07,0,0,0,0,1,9,34,43,20,3.9,6.1,0,10
