Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Nicklas Lidstrom,35,DET,D,1152,89.3,91,28,8,2,0,16,64,80,21,6.8,6.1,0,12.9
2,Scott Niedermayer,32,MDA,D,817,63.33,29,57,16,15,3,13,50,63,8,5,5,0,10
3,Sergei Zubov,35,DAL,D,464,35.97,0,21,42,31,14,13,58,71,20,5.7,6.5,0,12.2
4,Zdeno Chara,28,OTT,D,430,33.33,5,14,35,30,17,16,27,43,17,3.6,4.5,0,8.1
5,Wade Redden,28,OTT,D,115,8.91,0,1,12,12,12,10,40,50,35,4.2,5.2,0,9.4
6,Mathieu Schneider,36,DET,D,111,8.6,4,5,1,4,19,21,38,59,33,5.8,6.1,0,11.9
7,Chris Pronger,31,EDM,D,97,7.52,0,1,5,15,20,12,44,56,2,4,5.6,0,9.6
8,Dion Phaneuf,20,CGY,D,61,4.73,0,0,6,6,13,20,29,49,5,4.8,5.5,0,10.3
9,Bryan McCabe,30,TOR,D,44,3.41,0,1,2,6,9,19,49,68,-1,6.1,4.4,0,10.5
10,Lubomir Visnovsky,29,LAK,D,39,3.02,0,0,2,6,11,17,50,67,7,6,4.1,0,10.1
11,Brian Rafalski,32,NJD,D,7,0.54,0,1,0,0,0,6,43,49,0,2.9,5.7,0,8.5
12,Rob Blake,36,COL,D,6,0.47,0,0,0,1,3,14,37,51,2,4,4.1,0,8.1
13,Tomas Kaberle,27,TOR,D,5,0.39,0,0,0,1,2,9,58,67,-1,4.7,5,0,9.7
14,Robyn Regehr,25,CGY,D,2,0.16,0,0,0,0,2,6,20,26,6,1.3,5,0,6.3
15,Dan Boyle,29,TBL,D,1,0.08,0,0,0,0,1,15,38,53,-8,4.4,3.8,0,8.2
15,Sergei Gonchar,31,PIT,D,1,0.08,0,0,0,0,1,12,46,58,-13,4.6,2.4,0,7
15,Joni Pitkanen,22,PHI,D,1,0.08,0,0,0,0,1,13,33,46,22,4.3,4,0,8.3
15,Marek Zidlicky,28,NSH,D,1,0.08,0,0,0,0,1,12,37,49,8,4.4,3.6,0,8
