Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Drew Doughty,26,LAK,D,1254,83.6,93,37,10,4,3,14,37,51,24,4.5,7.1,0,11.6
2,Erik Karlsson,25,OTT,D,1020,68,46,54,27,14,5,16,66,82,-2,8.4,3.2,0,11.7
3,Brent Burns,30,SJS,D,619,41.27,3,26,54,43,8,27,48,75,-5,8.8,4.1,0,12.9
4,Kris Letang,28,PIT,D,587,39.13,8,24,40,40,19,16,51,67,9,7,4.3,0,11.3
5,Roman Josi,25,NSH,D,120,8,0,1,6,17,32,14,47,61,-3,6,4.4,0,10.4
6,John Klingberg,23,DAL,D,63,4.2,0,2,2,6,21,10,48,58,22,5.6,4.6,0,10.2
7,Victor Hedman,25,TBL,D,62,4.13,0,2,3,6,15,10,37,47,21,4.3,5.8,0,10.1
8,Ryan Suter,31,MIN,D,53,3.53,0,1,3,7,10,8,43,51,10,3.8,6.3,0,10
9,Oliver Ekman-Larsson,24,ARI,D,30,2,0,0,2,2,14,21,34,55,-6,6.3,3.2,0,9.5
10,Shea Weber,30,NSH,D,27,1.8,0,1,1,4,3,20,31,51,-7,5.6,3.9,0,9.5
11,Duncan Keith,32,CHI,D,21,1.4,0,1,1,1,6,9,34,43,13,3.7,4.7,0,8.4
12,Dustin Byfuglien,30,WPG,D,8,0.53,0,0,0,1,5,19,34,53,4,5.6,4.1,0,9.7
13,Mark Giordano,32,CGY,D,7,0.47,0,1,0,0,0,21,35,56,-5,5.9,3.2,0,9.2
14,P.K. Subban,26,MTL,D,6,0.4,0,0,0,2,0,6,45,51,4,4.1,4.2,0,8.3
15,Ryan McDonagh,26,NYR,D,5,0.33,0,0,1,0,0,9,25,34,26,2.9,5,0,7.8
16,Aaron Ekblad,19,FLA,D,4,0.27,0,0,0,0,4,15,21,36,18,3.7,4.5,0,8.2
17,Brian Campbell,36,FLA,D,3,0.2,0,0,0,1,0,6,25,31,31,1.9,5.8,0,7.8
17,Shayne Gostisbehere,22,PHI,D,3,0.2,0,0,0,1,0,17,29,46,8,5.4,3.5,0,8.9
17,Hampus Lindholm,22,ANA,D,3,0.2,0,0,0,1,0,10,18,28,7,2.1,5.2,0,7.3
20,Francois Beauchemin,35,COL,D,1,0.07,0,0,0,0,1,8,26,34,-7,2.1,3.9,0,6
20,Jake Muzzin,26,LAK,D,1,0.07,0,0,0,0,1,8,32,40,7,3,4.8,0,7.8
20,Brent Seabrook,30,CHI,D,1,0.07,0,0,0,0,1,14,35,49,6,4.8,4.4,0,9.2
20,Anton Stralman,29,TBL,D,1,0.07,0,0,0,0,1,9,25,34,16,2.9,4.9,0,7.9
20,Marc-Edouard Vlasic,28,SJS,D,1,0.07,0,0,0,0,1,8,31,39,15,3.3,4.6,0,7.9
