Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Duncan Keith,26,CHI,D,1096,82.41,76,37,14,2,1,14,55,69,21,6.3,6.2,0,12.6
2,Mike Green,24,WSH,D,831,62.48,34,46,23,15,9,19,57,76,39,8.2,4.8,0,13
3,Drew Doughty,20,LAK,D,663,49.85,15,28,46,25,11,16,43,59,20,5.6,6.2,0,11.9
4,Nicklas Lidstrom,39,DET,D,303,22.78,4,9,16,28,36,9,40,49,22,3.8,6.9,0,10.7
5,Chris Pronger,35,PHI,D,168,12.63,2,3,9,22,16,10,45,55,22,4.6,6.8,0,11.4
6,Dan Boyle,33,SJS,D,116,8.72,1,2,5,15,22,15,43,58,6,5.6,4.3,0,9.9
7,Shea Weber,24,NSH,D,96,7.22,1,2,6,12,6,16,27,43,0,4.3,3.9,0,8.2
8,Zdeno Chara,32,BOS,D,88,6.62,0,3,7,6,14,7,37,44,19,3.1,7.2,0,10.2
9,Christian Ehrhoff,27,VAN,D,21,1.58,0,1,0,3,5,14,30,44,36,4.1,6,0,10.2
10,Mark Streit,32,NYI,D,15,1.13,0,1,1,1,0,11,38,49,0,4,4.1,0,8.1
11,Ryan Suter,25,NSH,D,13,0.98,0,0,2,1,0,4,33,37,4,2.2,4.6,0,6.8
12,Brian Rafalski,36,DET,D,12,0.9,0,0,2,0,2,8,34,42,23,3.2,6.5,0,9.7
13,Brent Seabrook,24,CHI,D,10,0.75,0,0,2,0,0,4,26,30,20,1.5,5.4,0,6.9
14,Sergei Gonchar,35,PIT,D,8,0.6,0,1,0,0,1,11,39,50,-4,4.8,2.6,0,7.4
15,Tyler Myers,19,BUF,D,6,0.45,0,0,0,0,6,11,37,48,13,4,5.8,0,9.8
16,Dion Phaneuf,24,TOT,D,3,0.23,0,0,0,1,0,12,20,32,1,2.5,4.6,0,7
16,Jeff Schultz,23,WSH,D,3,0.23,0,0,0,1,0,3,20,23,50,1.1,5.3,0,6.4
18,Ed Jovanovski,33,PHX,D,1,0.08,0,0,0,0,1,10,24,34,-12,3.1,2.4,0,5.5
18,Chris Phillips,31,OTT,D,1,0.08,0,0,0,0,1,8,16,24,8,1.3,4.9,0,6.2
18,Anton Volchenkov,27,OTT,D,1,0.08,0,0,0,0,1,4,10,14,2,0.4,3.2,0,3.6
