Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Chris Chelios,31,CHI,D,201,80.4,33,10,6,,,15,58,73,14,4.8,6.3,0,11.1
2,Ray Bourque,32,BOS,D,97,38.8,6,19,10,,,19,63,82,38,5.9,6.3,0,12.2
3,Larry Murphy,31,PIT,D,93,37.2,9,11,15,,,22,63,85,45,6.2,6.2,0,12.4
4,Kevin Hatcher,26,WSH,D,17,6.8,0,5,2,,,34,45,79,-7,6.6,4,0,10.6
5,Phil Housley,28,WIN,D,16,6.4,1,2,5,,,18,79,97,-14,6.8,2.9,0,9.8
6,Al Iafrate,26,WSH,D,10,4,0,2,4,,,25,41,66,15,5,5.2,0,10.2
7,Steve Duchesne,27,QUE,D,5,2,1,0,0,,,20,62,82,15,6,4.4,0,10.4
7,Gary Suter,28,CGY,D,5,2,0,0,5,,,23,58,81,-1,6.1,3.8,0,9.9
9,Paul Coffey,31,TOT,D,4,1.6,0,1,1,,,12,75,87,16,5.6,4.1,0,9.7
10,Scott Stevens,28,NJD,D,1,0.4,0,0,1,,,12,45,57,14,3.5,4.8,0,8.3
10,Ulf Samuelsson,28,PIT,D,1,0.4,0,0,1,,,3,26,29,36,0.8,5.4,0,6.2
