Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Nicklas Lidstrom,36,DET,D,1217,85.1,87,44,5,4,2,13,49,62,40,5.3,7.9,0,13.1
2,Scott Niedermayer,33,ANA,D,1024,71.61,46,62,22,6,2,15,54,69,6,6.1,5.6,0,11.7
3,Chris Pronger,32,ANA,D,608,42.52,6,25,55,28,14,13,46,59,27,5.3,6.4,0,11.7
4,Dan Boyle,30,TBL,D,219,15.31,1,5,21,19,12,20,43,63,-5,6,4.4,0,10.4
5,Kimmo Timonen,31,NSH,D,144,10.07,0,2,9,24,13,13,42,55,20,4.9,5,0,9.9
6,Dion Phaneuf,21,CGY,D,98,6.85,0,1,6,17,10,17,33,50,10,4.5,4.3,0,8.8
7,Sergei Gonchar,32,PIT,D,85,5.94,1,1,6,8,14,13,54,67,-5,5.7,3.9,0,9.6
8,Sheldon Souray,30,MTL,D,67,4.69,1,0,5,7,11,26,38,64,-28,7.3,2.2,0,9.5
9,Sergei Zubov,36,DAL,D,42,2.94,0,0,4,5,7,12,42,54,0,4.4,6,0,10.4
9,Brian Campbell,27,BUF,D,42,2.94,0,0,3,4,15,6,42,48,28,3.4,4.2,0,7.6
11,Jay Bouwmeester,23,FLA,D,32,2.24,0,0,2,5,7,12,30,42,23,3.1,5.6,0,8.8
12,Philippe Boucher,33,DAL,D,27,1.89,1,1,1,0,5,19,32,51,2,5.1,5.3,0,10.5
13,Ryan Whitney,23,PIT,D,20,1.4,0,0,0,5,5,14,45,59,9,5.3,4.5,0,9.8
14,Brian Rafalski,33,NJD,D,18,1.26,0,0,1,2,7,8,47,55,4,3.9,6.6,0,10.4
15,Tom Preissing,28,OTT,D,15,1.05,0,0,1,3,1,7,31,38,40,3.2,4.9,0,8.1
16,Lubomir Visnovsky,30,LAK,D,12,0.84,0,1,0,0,5,18,40,58,1,5.7,3.8,0,9.5
16,Tomas Kaberle,28,TOR,D,12,0.84,0,0,0,3,3,11,47,58,3,4.9,3.3,0,8.2
18,Chris Phillips,28,OTT,D,7,0.49,0,1,0,0,0,8,18,26,36,1.3,5.4,0,6.8
19,Keith Carney,36,MIN,D,5,0.35,0,0,1,0,0,4,13,17,22,0.7,5.2,0,6
20,Zdeno Chara,29,BOS,D,4,0.28,0,0,0,1,1,11,32,43,-21,3,3.5,0,6.5
21,Mathieu Schneider,37,DET,D,3,0.21,0,0,0,1,0,11,41,52,12,4.7,4.4,0,9.1
21,Robyn Regehr,26,CGY,D,3,0.21,0,0,0,1,0,2,19,21,27,0.4,5.1,0,5.4
21,Anton Volchenkov,24,OTT,D,3,0.21,0,0,0,0,3,1,18,19,37,0.1,5.3,0,5.4
24,Andrei Markov,28,MTL,D,1,0.07,0,0,0,0,1,6,43,49,2,3.6,4.5,0,8.1
24,Bryan McCabe,31,TOR,D,1,0.07,0,0,0,0,1,15,42,57,3,4.9,3.7,0,8.6
24,Alexei Zhitnik,34,TOT,D,1,0.07,0,0,0,0,1,7,31,38,1,2.5,3.9,0,6.4
24,Kevin Bieksa,25,VAN,D,1,0.07,0,0,0,0,1,12,30,42,1,3.2,5.4,0,8.6
