Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Erik Karlsson,24,OTT,D,964,61.4,44,42,33,19,8,21,45,66,7,7.2,4.7,0,11.9
2,Drew Doughty,25,LAK,D,889,56.62,53,30,20,13,10,7,39,46,3,3,5.6,0,8.6
3,P.K. Subban,25,MTL,D,801,51.02,24,36,38,37,8,15,45,60,21,5.8,6.6,0,12.4
4,Shea Weber,29,NSH,D,614,39.11,26,19,28,20,21,15,30,45,15,4.2,5.4,0,9.6
5,Roman Josi,24,NSH,D,222,14.14,3,9,11,17,23,15,40,55,15,5.3,5.6,0,10.8
6,Mark Giordano,31,CGY,D,177,11.27,1,6,11,15,25,11,37,48,13,4.6,4.4,0,9
7,Duncan Keith,31,CHI,D,134,8.54,1,7,4,12,19,10,35,45,12,3.6,5.7,0,9.3
8,Kris Letang,27,PIT,D,80,5.1,1,2,6,6,8,11,43,54,12,5.1,5,0,10.1
9,Ryan Suter,30,MIN,D,43,2.74,2,0,0,4,11,2,36,38,7,1.8,5.6,0,7.4
10,John Carlson,25,WSH,D,31,1.97,0,1,1,6,1,12,43,55,11,5.1,4.8,0,10
11,Ryan McDonagh,25,NYR,D,27,1.72,0,3,0,2,0,8,25,33,23,2.7,4.7,0,7.3
12,Dustin Byfuglien,29,WPG,D,21,1.34,1,0,1,1,3,18,27,45,5,5.3,3.5,0,8.8
13,Anton Stralman,28,TBL,D,19,1.21,0,1,1,1,4,9,30,39,22,3.2,4.9,0,8
14,Niklas Kronwall,34,DET,D,10,0.64,1,0,0,0,0,9,35,44,-4,3.6,3.6,0,7.2
15,Kevin Shattenkirk,26,STL,D,10,0.64,0,0,1,1,2,8,36,44,19,4.2,4.3,0,8.5
16,Nick Leddy,23,NYI,D,9,0.57,0,1,0,0,2,10,27,37,18,3.4,4.3,0,7.7
17,Oliver Ekman-Larsson,23,ARI,D,9,0.57,0,0,0,2,3,23,20,43,-18,4.8,4,0,8.8
18,T.J. Brodie,24,CGY,D,5,0.32,0,0,1,0,0,11,30,41,15,3.2,5.6,0,8.8
18,Jonas Brodin,21,MIN,D,5,0.32,0,0,1,0,0,3,14,17,21,0.1,5.7,0,5.8
20,Dennis Wideman,31,CGY,D,4,0.25,0,0,0,0,4,15,41,56,6,5.4,4.7,0,10.1
21,Brent Burns,29,SJS,D,3,0.19,0,0,0,1,0,17,43,60,-9,6.1,3.4,0,9.5
22,Brian Campbell,35,FLA,D,1,0.06,0,0,0,0,1,3,24,27,4,1,4.6,0,5.6
22,Aaron Ekblad,18,FLA,D,1,0.06,0,0,0,0,1,12,27,39,12,3.5,5,0,8.5
22,Justin Faulk,22,CAR,D,1,0.06,0,0,0,0,1,15,34,49,-19,4.6,4.5,0,9.1
22,Andrei Markov,36,MTL,D,1,0.06,0,0,0,0,1,10,40,50,22,4.3,6.4,0,10.7
22,Alex Pietrangelo,25,STL,D,1,0.06,0,0,0,0,1,7,39,46,-2,3.3,4.2,0,7.5
