Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Nicklas Lidstrom,31,DET,D,472,76.13,29,20,7,2,1,9,50,59,13,5,5.5,0,10.5
2,Chris Chelios,40,DET,D,431,69.52,28,10,13,4,4,6,33,39,40,2.8,7.2,0,10
3,Rob Blake,32,COL,D,321,51.77,4,19,22,12,2,16,40,56,16,5.6,6.6,0,12.2
4,Sergei Gonchar,27,WSH,D,147,23.71,0,6,6,22,9,26,33,59,-1,7.3,3.2,0,10.4
5,Chris Pronger,27,STL,D,62,10,0,4,1,8,5,7,40,47,23,3.4,7,0,10.4
6,Ed Jovanovski,25,VAN,D,53,8.55,0,0,7,3,9,17,31,48,-7,4.8,3.1,0,7.9
7,Teppo Numminen,33,PHX,D,44,7.1,0,1,3,5,7,13,35,48,13,4.8,4.3,0,9
8,Adrian Aucoin,28,NYI,D,28,4.52,1,1,0,2,5,12,22,34,23,2.6,5.9,0,8.5
9,Brian Leetch,33,NYR,D,22,3.55,0,0,1,2,11,10,45,55,14,4.8,3.9,0,8.7
10,Mattias Ohlund,25,VAN,D,5,0.81,0,0,1,0,0,10,26,36,16,2.8,4.9,0,7.7
10,Scott Stevens,37,NJD,D,5,0.81,0,0,1,0,0,1,16,17,15,-0.1,5.9,0,5.8
