Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Brent Burns,31,SJS,D,1437,86.05,96,61,10,0,0,29,47,76,19,8.9,6.4,0,15.3
2,Erik Karlsson,26,OTT,D,1292,77.37,63,86,9,4,3,17,54,71,10,7.2,5.7,0,12.9
3,Victor Hedman,26,TBL,D,728,43.59,3,13,106,21,14,16,56,72,3,7.3,4.7,0,12
4,Duncan Keith,33,CHI,D,384,22.99,2,4,19,70,31,6,47,53,22,4,5.5,0,9.5
5,Ryan Suter,32,MIN,D,175,10.48,2,1,9,25,28,9,31,40,34,2.7,6.6,0,9.3
6,Shea Weber,31,MTL,D,100,5.99,1,0,6,11,27,17,25,42,20,4.1,6,0,10.1
7,Drew Doughty,27,LAK,D,51,3.05,0,0,1,10,16,12,32,44,8,3.4,7.2,0,10.5
8,Mark Giordano,33,CGY,D,41,2.46,0,0,1,11,3,12,27,39,22,3.1,6.3,0,9.4
9,Dougie Hamilton,23,CGY,D,23,1.38,0,0,0,6,5,13,37,50,12,4.8,4.7,0,9.5
10,Justin Schultz,26,PIT,D,22,1.32,0,0,2,2,6,12,39,51,27,5,4.2,0,9.2
11,Roman Josi,26,NSH,D,19,1.14,0,1,0,2,6,12,37,49,7,4.6,4.1,0,8.7
12,Dustin Byfuglien,31,WPG,D,15,0.9,0,0,2,1,2,13,39,52,10,4.5,4,0,8.5
13,Jared Spurgeon,27,MIN,D,14,0.84,0,0,2,1,1,10,28,38,33,3,5.9,0,8.9
14,Kevin Shattenkirk,28,TOT,D,9,0.54,0,0,0,1,6,13,43,56,-7,5.6,2.8,0,8.5
15,Torey Krug,25,BOS,D,7,0.42,0,1,0,0,0,8,43,51,-10,4.6,3.3,0,7.9
16,Alex Pietrangelo,27,STL,D,7,0.42,0,0,0,1,4,14,34,48,3,4.4,4.8,0,9.2
17,Ryan McDonagh,27,NYR,D,5,0.3,0,0,0,1,2,6,36,42,20,3,4.8,0,7.8
18,Seth Jones,22,CBJ,D,4,0.24,0,0,0,0,4,12,30,42,6,3.9,3.9,0,7.8
18,Zach Werenski,19,CBJ,D,4,0.24,0,0,0,0,4,11,36,47,17,4.5,4.5,0,9.1
20,Jaccob Slavin,22,CAR,D,2,0.12,0,0,0,0,2,5,29,34,23,1.9,6.7,0,8.6
21,Cam Fowler,25,ANA,D,1,0.06,0,0,0,0,1,11,28,39,7,3.1,5.2,0,8.3
21,Dmitry Orlov,25,WSH,D,1,0.06,0,0,0,0,1,6,27,33,30,2.3,5.4,0,7.7
21,Marc-Edouard Vlasic,29,SJS,D,1,0.06,0,0,0,0,1,6,22,28,4,1.7,4.1,0,5.8
