Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Ray Bourque,33,BOS,D,199,73.7,26,21,6,,,20,71,91,26,7.8,5.7,0,13.5
2,Scott Stevens,29,NJD,D,195,72.22,24,23,6,,,18,60,78,53,6.3,6.9,0,13.2
3,Al MacInnis,30,CGY,D,60,22.22,4,6,22,,,28,54,82,35,7.7,5.5,0,13.3
4,Sergei Zubov,23,NYR,D,15,5.56,0,2,9,,,12,77,89,20,6.9,5.6,0,12.5
5,Brian Leetch,25,NYR,D,10,3.7,0,2,4,,,23,56,79,28,6.8,6.4,0,13.3
6,Chris Chelios,32,CHI,D,3,1.11,0,0,3,,,16,44,60,12,4.7,5,0,9.7
7,Paul Coffey,32,DET,D,1,0.37,0,0,1,,,14,63,77,28,6,4.4,0,10.3
8,Nicklas Lidstrom,23,DET,D,1,0.37,0,0,1,,,10,46,56,43,3.8,5.4,0,9.2
9,Sandis Ozolinsh,21,SJS,D,1,0.37,0,0,1,,,26,38,64,16,5.8,5.3,0,11.2
10,Larry Murphy,32,PIT,D,1,0.37,0,0,1,,,17,56,73,10,5.7,4,0,9.7
