Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Rod Langway,26,WSH,D,227,73.23,37,11,9,,,9,24,33,14,1.2,6.3,0,7.6
2,Paul Coffey,22,EDM,D,126,40.65,12,18,12,,,40,86,126,52,9.9,4.4,0,14.3
3,Ray Bourque,23,BOS,D,120,38.71,9,20,15,,,31,65,96,51,7.3,7.2,0,14.5
4,Denis Potvin,30,NYI,D,66,21.29,4,9,19,,,22,63,85,54,5.9,6,0,12
5,Phil Housley,19,BUF,D,4,1.29,0,1,1,,,31,46,77,1,6.1,4.5,0,10.5
6,Charlie Huddy,24,EDM,D,3,0.97,0,1,0,,,8,34,42,52,1.9,4.3,0,6.2
6,Scott Stevens,19,WSH,D,3,0.97,0,1,0,,,13,32,45,25,2.4,6.8,0,9.1
9,Barry Beck,26,NYR,D,2,0.65,0,0,2,,,9,27,36,13,1.6,4.3,0,5.9
10,Mario Marois,26,QUE,D,1,0.32,0,0,1,,,13,36,49,49,2.6,6.1,0,8.7
10,Mark Howe,28,PHI,D,1,0.32,0,0,1,,,19,34,53,30,3.6,4.4,0,8
10,Mike Ramsey,23,BUF,D,1,0.32,0,0,1,,,9,22,31,26,1.3,5.6,0,6.9
10,Ken Morrow,27,NYI,D,1,0.32,0,0,1,,,3,11,14,25,-0.1,3.9,0,3.8
