Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Brian Leetch,28,NYR,D,494,91.48,42,8,3,1,0,20,58,78,31,7.5,5.6,0,13.1
2,Vladimir Konstantinov,29,DET,D,178,32.96,2,10,13,6,5,5,33,38,38,2.5,7.1,0,9.5
3,Sandis Ozolinsh,24,COL,D,176,32.59,2,12,9,8,3,23,45,68,4,6.9,4.2,0,11.1
4,Chris Chelios,35,CHI,D,172,31.85,0,7,18,9,6,10,38,48,16,4,4.9,0,8.9
5,Scott Stevens,32,NJD,D,171,31.67,7,8,4,7,4,5,19,24,26,1.1,6.8,0,7.9
6,Nicklas Lidstrom,26,DET,D,60,11.11,0,5,2,3,6,15,42,57,11,5.1,5.3,0,10.4
7,Darryl Sydor,24,DAL,D,45,8.33,1,1,1,5,8,8,40,48,37,3.6,6.8,0,10.3
7,Ray Bourque,36,BOS,D,45,8.33,0,2,2,4,9,19,31,50,-11,5.2,1.9,0,7.1
9,Eric Desjardins,27,PHI,D,21,3.89,0,1,0,3,5,12,34,46,25,3.8,5.5,0,9.3
10,Oleg Tverdovsky,20,PHX,D,9,1.67,0,0,1,1,1,10,45,55,-5,4.5,4,0,8.5
11,Bryan Berard,19,NYI,D,8,1.48,0,0,0,2,2,8,40,48,1,3.8,3.8,0,7.6
12,Kevin Hatcher,30,PIT,D,6,1.11,0,0,0,2,0,15,39,54,11,4.8,3.4,0,8.2
13,Sergei Zubov,26,DAL,D,5,0.93,0,0,1,0,0,13,30,43,19,3.6,5.3,0,9
14,Robert Svehla,28,FLA,D,4,0.74,0,0,0,1,1,13,32,45,2,3.7,4.9,0,8.6
15,Steve Duchesne,31,OTT,D,3,0.56,0,0,0,1,0,19,28,47,-9,4.7,3.9,0,8.6
15,Chris Pronger,22,STL,D,3,0.56,0,0,0,1,0,11,24,35,15,2.8,5.1,0,7.9
17,Derian Hatcher,24,DAL,D,2,0.37,0,0,0,0,2,3,19,22,8,1.1,3.8,0,4.8
18,Sergei Gonchar,22,WSH,D,1,0.19,0,0,0,0,1,13,17,30,-11,3,2.6,0,5.6
18,Dmitri Mironov,31,TOT,D,1,0.19,0,0,0,0,1,13,39,52,16,4.5,4.3,0,8.8
