Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Chris Chelios,34,CHI,D,408,75.56,22,19,9,3,1,14,58,72,25,5.7,5.6,0,11.3
2,Ray Bourque,35,BOS,D,403,74.63,23,16,8,7,0,20,62,82,31,7.4,5.7,0,13
3,Brian Leetch,27,NYR,D,245,45.37,6,6,23,7,7,15,70,85,12,7,4.5,0,11.4
4,Vladimir Konstantinov,28,DET,D,131,24.26,2,6,7,10,4,14,20,34,60,2.6,8.5,0,11.1
5,Paul Coffey,34,DET,D,83,15.37,0,4,2,12,9,14,60,74,19,6.1,5.6,0,11.7
6,Nicklas Lidstrom,25,DET,D,54,10,0,1,3,7,11,17,50,67,29,5.6,6.5,0,12.2
7,Roman Hamrlik,21,TBL,D,25,4.63,1,0,0,3,6,16,49,65,-24,5.5,3.4,0,8.9
8,Gary Suter,31,CHI,D,11,2.04,0,0,1,0,6,20,47,67,3,5.8,4.2,0,10
9,Scott Stevens,31,NJD,D,9,1.67,0,0,0,2,3,5,23,28,7,1.3,6.2,0,7.5
9,Eric Desjardins,26,PHI,D,9,1.67,0,1,0,0,2,7,40,47,19,3.1,5.6,0,8.7
11,Teppo Numminen,27,WIN,D,7,1.3,0,1,0,0,0,11,43,54,-4,4.3,2.6,0,6.9
12,Mark Tinordi,29,WSH,D,5,0.93,0,0,1,0,0,3,10,13,26,0,6.1,0,6.1
12,Sergei Zubov,25,PIT,D,5,0.93,0,0,0,1,2,11,55,66,28,5.2,3.5,0,8.7
14,Phil Housley,31,TOT,D,3,0.56,0,0,0,1,0,17,51,68,-6,6,4.3,0,10.3
14,Larry Murphy,34,TOR,D,3,0.56,0,0,0,1,0,12,49,61,-2,4.9,4.3,0,9.2
16,Shawn Chambers,29,NJD,D,1,0.19,0,0,0,0,1,2,21,23,1,1,4.5,0,5.5
16,Calle Johansson,28,WSH,D,1,0.19,0,0,0,0,1,10,25,35,13,2.3,5.7,0,8
16,Ed Jovanovski,19,FLA,D,1,0.19,0,0,0,0,1,10,11,21,-3,1.3,3.9,0,5.2
