Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Chris Chelios,27,MTL,D,226,71.75,37,12,5,,,15,58,73,35,4.8,6.7,0,11.5
2,Paul Coffey,27,PIT,D,115,36.51,14,14,3,,,30,83,113,-10,8.9,2.1,0,11
3,Al MacInnis,25,CGY,D,57,18.1,3,10,12,,,16,58,74,38,5.1,6.1,0,11.1
4,Ray Bourque,28,BOS,D,56,17.78,3,8,17,,,18,43,61,20,4.6,4.8,0,9.4
5,Steve Duchesne,23,LAK,D,30,9.52,2,5,5,,,25,50,75,31,5.7,3.9,0,9.7
6,Brad McCrimmon,29,CGY,D,24,7.62,2,4,2,,,5,17,22,43,0.6,6,0,6.5
7,Gary Suter,24,CGY,D,15,4.76,2,1,2,,,13,49,62,26,4.3,4.6,0,8.9
8,Kevin Lowe,29,EDM,D,14,4.44,0,4,2,,,7,18,25,26,0.8,4.8,0,5.6
9,Phil Housley,24,BUF,D,11,3.49,0,2,5,,,26,44,70,6,5.5,3.9,0,9.4
10,Scott Stevens,24,WSH,D,8,2.54,0,1,5,,,7,61,68,1,3.9,4.7,0,8.6
11,Brian Leetch,20,NYR,D,6,1.9,0,1,3,,,23,48,71,8,5.3,3.6,0,9
12,Paul Reinhart,29,VAN,D,4,1.27,0,1,1,,,7,50,57,-4,3.4,3.9,0,7.3
13,Craig Ludwig,27,MTL,D,1,0.32,0,0,1,,,3,13,16,33,-0.1,6.2,0,6.1
