Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Rod Langway,25,WSH,D,180,62.07,24,16,12,,,3,29,32,-2,0.9,4.3,0,5.2
2,Mark Howe,27,PHI,D,155,53.45,13,24,18,,,20,47,67,47,4.5,6.3,0,10.8
3,Ray Bourque,22,BOS,D,139,47.93,19,11,11,,,22,51,73,49,5.5,6.1,0,11.6
4,Doug Wilson,25,CBH,D,29,10,2,4,7,,,18,51,69,20,4.7,4.7,0,9.4
5,Paul Coffey,21,EDM,D,24,8.28,0,6,6,,,29,67,96,52,7.4,4.6,0,12
6,Charlie Huddy,23,EDM,D,12,4.14,0,3,3,,,20,37,57,61,4,5,0,9
7,Paul Reinhart,23,CGY,D,9,3.1,0,2,3,,,17,58,75,2,5.2,3.8,0,9
8,Gordie Roberts,25,MNS,D,6,2.07,0,0,6,,,3,41,44,20,1.7,5.3,0,7
8,Mike O'Connell,27,BOS,D,6,2.07,0,0,6,,,14,39,53,43,3.2,6.6,0,9.8
10,Mike Milbury,30,BOS,D,5,1.72,0,1,4,,,9,15,24,23,0.8,5.4,0,6.2
11,Borje Salming,31,TOR,D,1,0.34,0,0,1,,,7,38,45,-5,2.4,3.4,0,5.7
11,Brad Park,34,BOS,D,1,0.34,0,0,1,,,10,26,36,20,1.8,5.2,0,6
