Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Paul Coffey,23,EDM,D,223,70.79,32,19,6,,,37,84,121,57,9.5,5.3,0,14.8
2,Ray Bourque,24,BOS,D,136,43.17,12,20,16,,,20,66,86,30,5.9,5.7,0,11.6
3,Rod Langway,27,WSH,D,89,28.25,8,10,19,,,4,22,26,36,0.5,6.4,0,6.9
4,Doug Wilson,27,CBH,D,84,26.67,9,11,6,,,22,54,76,24,5.3,4.8,0,10.1
5,Scott Stevens,20,WSH,D,13,4.13,1,0,8,,,21,44,65,19,4.5,5.6,0,10
6,Mark Howe,29,PHI,D,12,3.81,1,1,4,,,18,39,57,51,3.8,6.1,0,9.9
7,Brad Marsh,26,PHI,D,3,0.95,0,1,0,,,2,18,20,41,0,5.7,0,5.7
7,Kevin Lowe,25,EDM,D,3,0.95,0,1,0,,,4,21,25,13,0.4,3,0,3.4
7,Randy Carlyle,28,WIN,D,3,0.95,0,0,3,,,13,38,51,21,3.1,3.8,0,6.9
10,Reed Larson,28,DET,D,1,0.32,0,0,1,,,17,45,62,6,4,3.6,0,7.6
