Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Scott Niedermayer,30,NJD,D,872,83.85,72,13,10,3,2,14,40,54,20,5.1,6.9,0,12
2,Zdeno Chara,26,OTT,D,563,54.13,19,36,16,11,8,16,25,41,33,4.3,6.1,0,10.3
3,Chris Pronger,29,STL,D,345,33.17,7,19,16,17,11,14,40,54,-1,5.1,5.7,0,10.8
4,Bryan McCabe,28,TOR,D,189,18.17,1,12,10,10,15,16,37,53,22,5.4,5.5,0,10.9
5,Adrian Aucoin,30,NYI,D,166,15.96,2,3,12,16,17,13,31,44,29,4.1,6.2,0,10.3
6,Nicklas Lidstrom,33,DET,D,165,15.87,1,6,10,19,6,10,28,38,19,2.8,5.5,0,8.4
7,Mathieu Schneider,34,DET,D,144,13.85,1,2,17,7,14,14,32,46,22,4.5,5.2,0,9.8
8,Rob Blake,34,COL,D,124,11.92,1,8,5,9,6,13,33,46,6,4.4,4.1,0,8.5
9,Sergei Gonchar,29,TOT,D,55,5.29,0,3,4,4,2,11,47,58,-14,5.5,3.3,0,8.8
10,Wade Redden,26,OTT,D,31,2.98,0,2,6,3,0,17,26,43,21,4.5,5.2,0,9.7
11,Brian Leetch,35,TOT,D,19,1.83,0,2,2,3,0,15,36,51,6,5.2,3.7,0,8.8
12,Sheldon Souray,27,MTL,D,12,1.15,0,1,0,0,5,15,20,35,4,3.9,3.5,0,7.4
13,Marek Malik,28,VAN,D,7,0.67,0,1,0,0,0,3,16,19,35,0.8,5.5,0,6.4
14,Mattias Ohlund,27,VAN,D,3,0.29,0,0,0,0,3,14,20,34,14,2.9,5,0,7.9
15,Pavel Kubina,26,TBL,D,2,0.19,0,0,0,0,2,17,18,35,9,3.9,3.8,0,7.7
15,Marek Zidlicky,26,NSH,D,2,0.19,0,0,0,0,2,14,39,53,-16,5.6,2.2,0,7.8
17,Bryan Berard,26,CHI,D,1,0.1,0,0,0,0,1,13,34,47,-24,5.2,0.9,0,6.1
17,Dan Boyle,27,TBL,D,1,0.1,0,0,0,0,1,9,30,39,23,3.4,5.1,0,8.5
17,Mike Rathje,29,SJS,D,1,0.1,0,0,0,0,1,2,17,19,18,0.2,5.5,0,5.7
17,Dick Tarnstrom,29,PIT,D,1,0.1,0,0,0,0,1,16,36,52,-37,5.3,0.7,0,6
17,Sergei Zubov,33,DAL,D,1,0.1,0,0,0,0,1,7,35,42,0,3.1,5.4,0,8.5
