Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Al MacInnis,35,STL,D,548,97.86,54,0,1,1,0,20,42,62,33,6,7.7,0,13.6
2,Nicklas Lidstrom,28,DET,D,234,41.79,0,21,9,13,3,14,43,57,14,5,5.3,0,10.3
3,Ray Bourque,38,BOS,D,157,28.04,0,9,12,8,10,10,47,57,-7,4.5,5.6,0,10.1
4,Chris Pronger,24,STL,D,107,19.11,1,5,9,3,8,13,33,46,3,4,4.6,0,8.6
5,Eric Desjardins,29,PHI,D,91,16.25,0,6,4,6,11,15,36,51,18,5,5.1,0,10.1
6,Scott Stevens,34,NJD,D,55,9.82,0,3,4,4,2,5,22,27,29,1.4,5.4,0,6.9
7,Derian Hatcher,26,DAL,D,53,9.46,0,4,3,2,4,9,21,30,21,2,6.5,0,8.6
8,Brian Leetch,30,NYR,D,49,8.75,0,2,3,5,5,13,42,55,-7,4.5,5,0,9.5
9,Fredrik Olausson,32,MDA,D,48,8.57,0,1,5,4,4,16,40,56,17,6.1,4.7,0,10.8
10,Phil Housley,34,CGY,D,40,7.14,1,2,1,3,2,11,43,54,14,5.1,3.8,0,8.9
11,Larry Murphy,37,DET,D,21,3.75,0,1,1,3,0,10,42,52,21,4.3,5.4,0,9.7
12,Scott Niedermayer,25,NJD,D,18,3.21,0,2,0,1,1,11,35,46,16,4,4.4,0,8.4
13,Sergei Zubov,28,DAL,D,12,2.14,0,0,1,2,1,10,41,51,9,4.3,5.6,0,9.9
14,Alexander Karpovtsev,28,TOT,D,6,1.07,0,0,1,0,1,3,25,28,39,2,4.3,0,6.2
15,Adam Foote,27,COL,D,5,0.89,0,0,1,0,0,5,16,21,20,1,4.3,0,5.3
15,Darryl Sydor,26,DAL,D,5,0.89,0,0,1,0,0,14,34,48,-1,4.8,3.8,0,8.6
17,Rob Blake,29,LAK,D,4,0.71,0,0,0,1,1,12,23,35,-7,3.4,3,0,6.4
18,Chris Chelios,37,TOT,D,1,0.18,0,0,0,0,1,9,27,36,1,2.7,3.6,0,6.2
18,Darryl Shannon,30,BUF,D,1,0.18,0,0,0,0,1,3,12,15,28,0.4,5,0,5.4
