Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Doug Wilson,24,CBH,D,177,56.19,29,8,8,,,39,46,85,1,6.9,3.4,0,10.3
2,Ray Bourque,21,BOS,D,80,25.4,8,10,10,,,17,49,66,21,4.5,4.8,0,9.2
3,Paul Coffey,20,EDM,D,55,17.46,4,7,14,,,29,60,89,35,6.3,4.8,0,11.2
4,Craig Hartsburg,22,MNS,D,54,17.14,7,5,4,,,17,60,77,11,4.8,5,0,9.8
5,Larry Robinson,30,MTL,D,50,15.87,4,9,3,,,12,47,59,56,3.4,6.5,0,9.9
6,Brian Engblom,27,MTL,D,31,9.84,0,8,7,,,4,29,33,78,1,7.9,0,8.9
7,Barry Beck,24,NYR,D,28,8.89,3,3,4,,,9,29,38,20,2,4.2,0,6.2
8,Denis Potvin,28,NYI,D,27,8.57,4,1,4,,,24,37,61,39,4.5,4.7,0,9.2
9,Rod Langway,24,MTL,D,24,7.62,2,4,2,,,5,34,39,66,1.7,6.8,0,8.4
10,Kevin Lowe,22,EDM,D,20,6.35,1,4,3,,,9,31,40,45,1.7,5.3,0,7
11,John Van Boxmeer,29,BUF,D,6,1.9,0,2,0,,,14,54,68,23,4.2,5.2,0,9.4
12,Ken Morrow,25,NYI,D,5,1.59,1,0,0,,,1,18,19,53,-0.2,6.1,0,6
13,Randy Carlyle,25,PIT,D,4,1.27,0,1,1,,,11,64,75,-16,4.4,3.2,0,7.6
13,Borje Salming,30,TOR,D,4,1.27,0,1,1,,,12,44,56,3,3.4,3.3,0,6.6
15,Brad Park,33,BOS,D,1,0.32,0,0,1,,,14,42,56,12,3.4,4.9,0,8.2
15,Mike Ramsey,21,BUF,D,1,0.32,0,0,1,,,7,23,30,18,0.9,5.6,0,6.5
