Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,P.K. Subban,23,MTL,D,1266,71.12,66,56,35,12,3,11,27,38,12,4.3,2.9,0,7.1
2,Ryan Suter,28,MIN,D,1230,69.1,65,54,34,8,8,4,28,32,2,2.4,3.6,0,6
3,Kris Letang,25,PIT,D,914,51.35,31,37,42,39,18,5,33,38,16,3.7,2.6,0,6.3
4,Francois Beauchemin,32,ANA,D,290,16.29,1,6,20,33,39,6,18,24,19,2,3.8,0,5.8
5,Zdeno Chara,35,BOS,D,289,16.24,10,9,16,8,22,7,12,19,14,1.5,3.7,0,5.2
6,Duncan Keith,29,CHI,D,281,15.79,1,8,16,36,27,3,24,27,16,2.1,3.4,0,5.5
7,Oliver Ekman-Larsson,21,PHX,D,79,4.44,3,1,2,8,8,3,21,24,5,1.6,2.8,0,4.3
8,Shea Weber,27,NSH,D,49,2.75,0,1,4,5,7,9,19,28,-2,2.6,2.7,0,5.3
9,Drew Doughty,23,LAK,D,43,2.42,0,1,2,7,5,6,16,22,4,1.6,3.3,0,4.9
10,Niklas Kronwall,32,DET,D,33,1.85,0,2,1,3,5,5,24,29,-5,2.4,2.4,0,4.8
11,Dion Phaneuf,27,TOR,D,28,1.57,0,1,1,4,4,9,19,28,-4,2.7,1.9,0,4.6
12,Keith Yandle,26,PHX,D,27,1.52,0,0,0,6,9,10,20,30,4,3.2,2.4,0,5.6
13,Andrei Markov,34,MTL,D,23,1.29,1,0,1,1,5,10,20,30,-9,3,1.4,0,4.5
14,Alex Pietrangelo,23,STL,D,23,1.29,0,2,0,2,3,5,19,24,0,1.8,3.1,0,4.9
15,Dustin Byfuglien,27,WPG,D,13,0.73,0,0,1,2,2,8,20,28,-1,2.8,1.9,0,4.7
16,Dan Hamhuis,30,VAN,D,9,0.51,0,0,1,1,1,4,20,24,9,1.9,3.2,0,5
17,Mike Green,27,WSH,D,6,0.34,0,0,0,1,3,12,14,26,-3,3.2,1.3,0,4.5
18,Erik Karlsson,22,OTT,D,5,0.28,0,0,1,0,0,6,8,14,8,1.7,1.9,0,3.6
18,Brooks Orpik,32,PIT,D,5,0.28,0,0,1,0,0,0,8,8,17,-0.3,2.9,0,2.5
20,Kimmo Timonen,37,PHI,D,5,0.28,0,0,0,1,2,5,24,29,3,2.7,2.6,0,5.2
21,Dennis Seidenberg,31,BOS,D,4,0.22,0,0,0,1,1,4,13,17,18,1,3.8,0,4.9
22,Dan Girardi,28,NYR,D,2,0.11,0,0,0,0,2,2,12,14,-1,0.4,2.3,0,2.7
23,Paul Martin,31,PIT,D,1,0.06,0,0,0,0,1,6,17,23,14,2.2,2.4,0,4.6
23,Sheldon Souray,36,ANA,D,1,0.06,0,0,0,0,1,7,10,17,19,1.6,3.4,0,4.9
23,Lubomir Visnovsky,36,NYI,D,1,0.06,0,0,0,0,1,3,11,14,12,0.9,2.6,0,3.6
