Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Ray Bourque,29,BOS,D,315,100,63,0,0,,,19,65,84,31,6.1,6.4,0,12.5
2,Al MacInnis,26,CGY,D,127,40.32,0,38,13,,,28,62,90,20,7.1,4.9,0,12.1
3,Doug Wilson,32,CHI,D,40,12.7,0,7,19,,,23,50,73,13,5.7,4.1,0,9.7
4,Paul Coffey,28,PIT,D,33,10.48,0,7,12,,,29,74,103,-25,7.9,1.4,0,9.3
5,Phil Housley,25,BUF,D,32,10.16,0,7,11,,,21,60,81,11,5.9,5.3,0,11.2
6,Al Iafrate,23,TOR,D,8,2.54,0,2,2,,,21,42,63,-4,4.8,2.1,0,6.9
7,Mike Ramsey,29,BUF,D,4,1.27,0,1,1,,,4,21,25,21,0.7,5.4,0,6.1
8,Chris Chelios,28,MTL,D,3,0.95,0,1,0,,,9,22,31,20,1.9,4.1,0,6
9,Paul Cavallini,24,STL,D,2,0.63,0,0,2,,,8,39,47,38,2.5,6.3,0,8.8
10,Craig Ludwig,28,MTL,D,1,0.32,0,0,1,,,1,15,16,24,-0.2,5.4,0,5.2
10,Brian Leetch,21,NYR,D,1,0.32,0,0,1,,,11,45,56,-18,3.5,3.4,0,6.9
10,Jamie Macoun,28,CGY,D,1,0.32,0,0,1,,,8,27,35,34,1.6,5.7,0,7.3
