Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Nicklas Lidstrom,32,DET,D,560,90.32,42,20,0,0,0,18,44,62,40,6.1,7.1,0,13.2
2,Al MacInnis,39,STL,D,486,78.39,20,38,4,0,0,16,52,68,22,6.7,5.6,0,12.3
3,Derian Hatcher,30,DAL,D,142,22.9,0,1,21,9,3,8,22,30,37,1.9,7.4,0,9.3
4,Sergei Gonchar,28,WSH,D,131,21.13,0,1,12,17,13,18,49,67,13,6.7,4.8,0,11.5
5,Rob Blake,33,COL,D,62,10,0,0,8,5,7,17,28,45,20,4.4,5.1,0,9.5
6,Ed Jovanovski,26,VAN,D,58,9.35,0,2,5,5,4,6,40,46,19,3.9,4.6,0,8.4
7,Zdeno Chara,25,OTT,D,55,8.87,0,0,4,10,5,9,30,39,29,3.2,6.1,0,9.3
8,Sergei Zubov,32,DAL,D,37,5.97,0,0,3,4,10,11,44,55,21,4.9,6.1,0,11
9,Wade Redden,25,OTT,D,21,3.39,0,0,2,2,5,10,35,45,23,3.9,5.8,0,9.7
10,Adam Foote,31,COL,D,18,2.9,0,0,1,3,4,11,20,31,30,2.3,5.8,0,8.2
11,Tomas Kaberle,24,TOR,D,9,1.45,0,0,0,3,0,11,36,47,20,4.1,5.7,0,9.7
12,Dan Boyle,26,TBL,D,8,1.29,0,0,0,2,2,13,40,53,9,5,5.1,0,10.2
13,Scott Niedermayer,29,NJD,D,7,1.13,0,0,1,0,2,11,28,39,23,3.3,6.7,0,10.1
14,Eric Desjardins,33,PHI,D,6,0.97,0,0,0,1,3,8,24,32,30,2.5,6.7,0,9.2
15,Brian Leetch,34,NYR,D,5,0.81,0,0,1,0,0,12,18,30,-3,3.2,2.3,0,5.5
15,Scott Stevens,38,NJD,D,5,0.81,0,0,0,1,2,4,16,20,18,0.6,6.1,0,6.7
17,Chris Chelios,41,DET,D,1,0.16,0,0,0,0,1,2,17,19,4,0.6,2.9,0,3.5
17,Sandis Ozolinsh,30,TOT,D,1,0.16,0,0,0,0,1,12,32,44,-6,3.9,4.8,0,8.6
