Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Victor Hedman,27,TBL,D,1385,84.45,94,57,6,5,1,17,46,63,32,5.7,5.2,0,11
2,Drew Doughty,28,LAK,D,1164,70.98,52,68,28,8,4,10,50,60,23,4.4,7.3,0,11.7
3,P.K. Subban,28,NSH,D,565,34.45,11,14,50,30,17,16,43,59,18,5.4,5.1,0,10.5
4,Seth Jones,23,CBJ,D,406,24.76,2,9,38,33,34,16,41,57,10,5.2,4.7,0,9.9
5,John Carlson,28,WSH,D,311,18.96,3,6,19,38,30,15,53,68,0,6,3.9,0,9.8
6,John Klingberg,25,DAL,D,160,9.76,1,7,4,18,27,8,59,67,10,5.4,5.1,0,10.5
7,Roman Josi,27,NSH,D,86,5.24,0,0,6,12,20,14,39,53,24,4.7,5.3,0,10
8,Brent Burns,32,SJS,D/RW,48,2.93,1,1,3,3,7,12,55,67,-16,5.4,3.7,0,9.1
9,Alex Pietrangelo,28,STL,D,35,2.13,0,0,3,4,8,15,39,54,8,4.5,5.3,0,9.8
10,Shayne Gostisbehere,24,PHI,D,31,1.89,0,0,4,2,5,13,52,65,10,5.8,4.1,0,9.8
11,Marc-Edouard Vlasic,30,SJS,D,19,1.16,0,0,0,6,1,11,21,32,9,2.1,5.1,0,7.2
12,Erik Karlsson,27,OTT,D,15,0.91,0,1,0,2,2,9,53,62,-25,4.9,2.3,0,7.2
13,Ryan Suter,33,MIN,D,11,0.67,0,0,1,1,3,6,45,51,-1,3.2,4.2,0,7.4
14,Dougie Hamilton,24,CGY,D,9,0.55,0,1,0,0,2,17,27,44,1,4,4.5,0,8.5
15,Zdeno Chara,40,BOS,D,8,0.49,0,0,1,1,0,7,17,24,22,1.1,5.2,0,6.3
16,Mark Giordano,34,CGY,D,6,0.37,0,0,1,0,1,13,25,38,0,2.7,5,0,7.7
17,Josh Manson,26,ANA,D,4,0.24,0,0,0,1,1,7,30,37,34,2.5,6.1,0,8.6
18,Jaccob Slavin,23,CAR,D,1,0.06,0,0,0,0,1,8,22,30,1,1.6,4.6,0,6.2
