Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Brian Leetch,23,NYR,D,335,97.1,65,3,1,,,22,80,102,25,8.1,5.1,0,13.2
2,Ray Bourque,31,BOS,D,112,32.46,3,25,22,,,21,60,81,11,6.3,5,0,11.2
3,Phil Housley,27,WIN,D,82,23.77,0,21,19,,,23,63,86,-5,6.9,4.4,0,11.3
4,Scott Stevens,27,NJD,D,44,12.75,1,9,12,,,17,42,59,24,4.6,4.6,0,9.2
5,Larry Murphy,30,PIT,D,37,10.72,0,9,10,,,21,56,77,33,6,4.6,0,10.5
6,Chris Chelios,30,CHI,D,8,2.32,0,2,2,,,9,47,56,24,3.4,6.4,0,9.8
7,Kevin Hatcher,25,WSH,D,2,0.58,0,0,2,,,17,37,54,18,3.9,4.8,0,8.6
8,Al MacInnis,28,CGY,D,1,0.29,0,0,1,,,20,57,77,13,6.1,3.5,0,9.6
