Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Chris Pronger,25,STL,D,565,97.41,53,5,0,0,0,14,48,62,52,5.2,9.6,0,14.8
2,Nicklas Lidstrom,29,DET,D,400,68.97,5,46,5,1,0,20,53,73,19,7.1,5.8,0,13
3,Rob Blake,30,LAK,D,196,33.79,0,3,25,15,5,18,39,57,10,5.3,4.5,0,9.8
4,Eric Desjardins,30,PHI,D,119,20.52,0,2,8,19,8,14,41,55,20,4.9,7.1,0,12
5,Sergei Gonchar,25,WSH,D,78,13.45,0,0,7,10,13,18,36,54,26,5.8,5.3,0,11.1
6,Chris Chelios,38,DET,D,54,9.31,0,2,5,3,6,3,31,34,48,1.6,7.6,0,9.2
7,Ray Bourque,39,TOT,D,36,6.21,0,0,3,4,9,18,34,52,-2,5,4.7,0,9.7
8,Al MacInnis,36,STL,D,23,3.97,0,0,2,3,4,11,28,39,20,3.4,5.3,0,8.7
9,Sergei Zubov,29,DAL,D,10,1.72,0,0,2,0,0,9,33,42,-2,2.8,5.9,0,8.8
10,Scott Stevens,35,NJD,D,9,1.55,0,0,1,0,4,8,21,29,30,1.8,6,0,7.9
11,Teppo Numminen,31,PHX,D,4,0.69,0,0,0,1,1,8,34,42,21,3.1,5.3,0,8.4
11,Wade Redden,22,OTT,D,4,0.69,0,0,0,1,1,10,26,36,-1,2.8,4.1,0,6.8
13,Sean Hill,29,CAR,D,3,0.52,0,0,0,1,0,13,31,44,3,4.2,4.1,0,8.4
14,Robert Svehla,31,FLA,D,2,0.34,0,0,0,0,2,9,40,49,23,3.8,5.8,0,9.6
14,Oleg Tverdovsky,23,MDA,D,2,0.34,0,0,0,0,2,15,36,51,5,4.8,4.5,0,9.2
16,Derian Hatcher,27,DAL,D,1,0.17,0,0,0,0,1,2,22,24,6,1,4.8,0,5.7
16,Ed Jovanovski,23,VAN,D,1,0.17,0,0,0,0,1,5,21,26,-3,1.3,3.1,0,4.3
16,Sandis Ozolinsh,27,COL,D,1,0.17,0,0,0,0,1,16,36,52,17,5,5.3,0,10.4
