Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Randy Carlyle,24,PIT,D,120,21.16,,,,,,16,67,83,-16,5.4,3,0,8.5
2,Denis Potvin,27,NYI,D,113,19.93,,,,,,20,56,76,39,5.4,5.6,0,11
3,Larry Robinson,29,MTL,D,100,17.64,,,,,,12,38,50,47,3.2,6.1,0,9.3
4,Ray Bourque,20,BOS,D,53,9.35,,,,,,27,29,56,29,4.5,5.1,0,9.6
5,Rod Langway,23,MTL,D,38,6.7,,,,,,11,34,45,52,2.4,7.2,0,9.6
7,Larry Murphy,19,LAK,D,16,2.82,,,,,,16,60,76,16,4.9,4.8,0,9.7
8,Rob Ramage,22,CLR,D,15,2.65,,,,,,20,42,62,-47,4.3,2.7,0,7
9,Brad Park,32,BOS,D,14,2.47,,,,,,14,52,66,21,4.1,5.2,0,9.3
10,Borje Salming,29,TOR,D,11,1.94,,,,,,5,61,66,0,3.6,3.2,0,6.8
10,Mark Howe,25,HAR,LW,11,1.94,,,,,,19,46,65,9,3.5,1.1,0,4.6
12,Jim Schoenfeld,28,BUF,D,10,1.76,,,,,,8,25,33,27,1.4,5.6,0,7.1
13,Dave Langevin,26,NYI,D,9,1.59,,,,,,1,16,17,40,-0.3,5.7,0,5.4
14,Ron Greschner,26,NYR,D,8,1.41,,,,,,27,41,68,-2,5.3,3.1,0,8.4
15,Bill Hajt,29,BUF,D,5,0.88,,,,,,2,19,21,36,0.2,5.9,0,6.1
15,Stefan Persson,26,NYI,D,5,0.88,,,,,,9,52,61,25,3.4,5.1,0,8.5
15,Kevin McCarthy,23,VAN,D,5,0.88,,,,,,16,37,53,-11,3.3,3.6,0,6.9
18,John Van Boxmeer,28,BUF,D,4,0.71,,,,,,18,51,69,-2,4.5,4.6,0,9.1
18,Reed Larson,24,DET,D,4,0.71,,,,,,27,31,58,-35,4.6,2.7,0,7.2
20,Dave Lewis,27,LAK,D,2,0.35,,,,,,1,12,13,24,-0.4,4.6,0,4.2
21,Risto Siltanen,22,EDM,D,1,0.18,,,,,,17,36,53,4,3.3,3.7,0,7
21,Curt Giles,22,MNS,D,1,0.18,,,,,,5,22,27,8,0.9,4.7,0,5.6
21,Rick Lapointe,25,STL,D,1,0.18,,,,,,8,25,33,36,1.2,5.8,0,7
