Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
196,Wayne Gretzky*,22,EDM,C,80,71,125,196,61,59,18,47,18,6,9,85,36,4,348,20.4,,,,,,,
535,Peter Stastny*,26,QUE,C,75,47,77,124,29,78,10.4,42,5,0,4,48,28,1,201,23.4,,,,,,,
499,Denis Savard*,21,CBH,C,78,35,86,121,26,99,9.6,22,13,0,4,53,33,0,212,16.5,,,,,,,
46,Mike Bossy*,26,NYI,RW,79,60,58,118,27,20,11.2,41,19,0,7,37,21,0,274,21.9,,,,,,,
119,Marcel Dionne*,31,LAK,C,80,56,51,107,10,22,9.7,38,17,1,7,30,20,1,346,16.2,,,,,,,
445,Barry Pederson,21,BOS,C,77,46,61,107,37,47,9.7,30,15,1,10,36,24,1,213,21.6,,,,,,,
387,Mark Messier*,22,EDM,LW,77,48,58,106,18,72,8.8,35,12,1,2,34,20,4,237,20.3,,,,,,,
190,Michel Goulet*,22,QUE,LW,80,57,48,105,30,51,9.6,43,10,4,4,38,8,2,256,22.3,,,,,,,
6,Glenn Anderson*,22,EDM,RW,72,48,56,104,40,70,9.4,37,11,0,10,37,18,1,243,19.8,,,,,,,
287,Jari Kurri*,22,EDM,RW,80,45,59,104,48,22,9.2,34,10,1,3,47,10,2,218,20.6,,,,,,,
421,Kent Nilsson,26,CGY,C,80,46,58,104,3,10,8.9,26,16,4,6,38,19,1,217,21.2,,,,,,,
370,Lanny McDonald*,29,CGY,RW,80,66,32,98,-1,90,9.8,49,17,0,8,16,16,0,275,24,,,,,,,
94,Paul Coffey*,21,EDM,D,80,29,67,96,52,87,12,19,9,1,2,38,27,2,260,11.2,,,,,,,
389,Rick Middleton,29,BOS,RW,80,49,47,96,31,8,8.9,40,6,3,7,35,12,0,212,23.1,,,,,,,
533,Anton Stastny,23,QUE,LW,79,32,60,92,26,25,6.9,22,10,0,7,48,12,0,166,19.3,,,,,,,
214,Dale Hawerchuk*,19,WIN,C,79,40,51,91,-17,31,7,27,13,0,3,31,20,0,297,13.5,,,,,,,
159,Ron Francis*,19,HAR,C,79,31,59,90,-26,60,6.1,25,4,2,4,37,21,1,210,14.8,,,,,,,
301,Steve Larmer,21,CBH,RW,80,43,47,90,44,28,8.4,30,13,0,9,27,20,0,195,22.1,,,,,,,
566,Bryan Trottier*,26,NYI,C,80,34,55,89,36,68,7.5,21,13,0,5,41,14,0,179,19,,,,,,,
527,Stan Smyl,25,VAN,RW,74,38,50,88,-9,114,6.8,22,15,1,2,34,16,0,213,17.8,,,,,,,
191,Thomas Gradin,26,VAN,C,80,32,54,86,-17,61,5.9,18,12,2,4,37,16,1,175,18.3,,,,,,,
505,Al Secord,24,CBH,LW,80,54,32,86,35,180,8.6,34,20,0,6,28,4,0,240,22.5,,,,,,,
91,Bobby Clarke*,33,PHI,C,80,23,62,85,37,115,6.1,16,6,1,2,47,11,4,164,14,,,,,,,
430,John Ogrodnick,23,DET,LW,80,41,44,85,11,30,7.2,36,5,0,2,34,10,0,254,16.1,,,,,,,
142,Bernie Federko*,26,STL,C,75,24,60,84,-9,24,5.6,15,9,0,1,39,21,0,184,13,,,,,,,
518,Darryl Sittler*,32,PHI,C,80,43,40,83,17,60,6.9,33,10,0,8,31,9,0,231,18.6,,,,,,,
465,Brian Propp,23,PHI,LW,80,40,42,82,34,72,7,26,13,1,12,31,8,3,250,16,,,,,,,
360,Dennis Maruk,27,WSH,C,80,31,50,81,-22,71,5.4,19,12,0,2,36,14,0,185,16.8,,,,,,,
487,Darcy Rota,29,VAN,LW,73,42,39,81,13,88,7.2,33,9,0,5,28,11,0,173,24.3,,,,,,,
7,John Anderson,25,TOR,LW,80,31,49,80,-7,24,5.9,21,10,0,6,28,20,1,199,15.6,,,,,,,
514,Charlie Simmer,28,LAK,LW,80,29,51,80,0,51,5.6,17,11,1,1,36,15,0,182,15.9,,,,,,,
