Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
213,Wayne Gretzky*,26,EDM,C,79,62,121,183,69,28,17.6,42,13,7,4,82,33,6,288,21.5,,,,,,,
296,Jari Kurri*,26,EDM,RW,79,54,54,108,35,41,10.4,37,12,5,10,39,13,2,211,25.6,,,,,,,
330,Mario Lemieux*,21,PIT,C,63,54,53,107,12,57,10.6,35,19,0,4,34,19,0,267,20.2,,,,,,,
392,Mark Messier*,26,EDM,C,77,37,70,107,22,73,8.8,26,7,4,5,42,21,7,210,17.6,,,,,,,
202,Doug Gilmour*,23,STL,C,80,42,63,105,-4,58,8.9,24,17,1,2,37,25,1,208,20.2,,,,,,,
96,Dino Ciccarelli*,26,MNS,RW,80,52,51,103,11,88,9.9,30,22,0,5,38,13,0,255,20.4,,,,,,,
233,Dale Hawerchuk*,23,WIN,C,80,47,53,100,2,52,9.1,37,10,0,4,35,18,0,267,17.6,,,,,,,
205,Michel Goulet*,26,QUE,LW,75,49,47,96,-10,61,8.7,32,17,0,6,26,21,0,276,17.8,,,,,,,
47,Ray Bourque*,26,BOS,D,78,23,72,95,44,36,13.6,16,6,1,3,43,27,2,334,6.9,,,,,,,
279,Tim Kerr,27,PHI,RW,75,58,37,95,37,57,10.3,32,26,0,10,27,10,0,261,22.2,,,,,,,
181,Ron Francis*,23,HAR,C,75,30,63,93,11,45,7.7,23,7,0,7,41,22,0,189,15.9,,,,,,,
512,Denis Savard*,25,CHI,C,70,40,50,90,17,108,8,33,7,0,7,32,18,0,235,17,,,,,,,
617,Steve Yzerman*,21,DET,C,80,31,59,90,-2,43,7.1,21,9,1,2,34,24,1,217,14.3,,,,,,,
405,Joe Mullen*,29,CGY,RW,79,47,40,87,19,14,8.3,32,15,0,12,25,15,0,206,22.8,,,,,,,
458,Walt Poddubny,26,NYR,C,75,40,47,87,15,49,7.9,29,11,0,5,29,18,0,253,15.8,,,,,,,
590,Bryan Trottier*,30,NYI,C,80,23,64,87,4,50,6.3,10,13,0,1,37,25,2,195,11.8,,,,,,,
137,Marcel Dionne*,35,TOT,C,81,28,56,84,-17,60,5.6,17,11,0,2,4,2,0,273,10.3,,,,,,,
310,Steve Larmer,25,CHI,RW,80,28,56,84,18,22,6.4,18,10,0,4,43,12,1,221,12.7,,,,,,,
491,Luc Robitaille*,20,LAK,LW,79,45,39,84,-19,28,6.8,27,18,0,3,23,16,0,199,22.6,,,,,,,
409,Larry Murphy*,25,WSH,D,80,23,58,81,25,39,11.9,15,8,0,4,37,20,1,224,10.3,,,,,,,
420,Bernie Nicholls,25,LAK,C,80,33,48,81,-16,101,5.8,22,10,1,2,30,18,0,227,14.5,,,,,,,
416,Mats Naslund,27,MTL,LW,79,25,55,80,-3,16,5.8,15,10,0,3,27,28,0,172,14.5,,,,,,,
472,Dan Quinn,21,TOT,C,80,31,49,80,7,54,6.3,17,11,3,4,33,9,1,184,16.8,,,,,,,
56,Aaron Broten,26,NJD,LW,80,26,53,79,4,36,5.9,20,6,0,3,27,25,1,179,14.5,,,,,,,
80,Jimmy Carson,18,LAK,C,80,37,42,79,-5,22,6.2,19,18,0,2,25,17,0,215,17.2,,,,,,,
135,Kevin Dineen,23,HAR,RW,78,40,39,79,8,110,7.3,29,11,0,7,24,15,0,234,17.1,,,,,,,
574,Tony Tanti,23,VAN,RW,77,41,38,79,4,84,7.4,26,15,0,7,28,10,0,242,16.9,,,,,,,
582,Esa Tikkanen,22,EDM,LW,76,34,44,78,44,120,7.1,27,7,0,6,36,8,0,126,27,,,,,,,
551,Peter Stastny*,30,QUE,C,64,24,53,77,-22,43,5.4,12,12,0,4,33,20,0,156,15.4,,,,,,,
350,Al MacInnis*,23,CGY,D,79,20,56,76,20,97,10.1,13,7,0,2,31,25,0,262,7.6,,,,,,,
406,Kirk Muller,20,NJD,C,79,26,50,76,-7,75,5.4,14,10,2,4,25,24,1,193,13.5,,,,,,,
448,Barry Pederson,25,VAN,C,79,24,52,76,-17,50,5.2,18,6,0,3,25,26,1,182,13.2,,,,,,,
8,John Anderson,29,HAR,LW,76,31,44,75,13,19,6.5,24,7,0,5,20,24,0,223,13.9,,,,,,,
15,Brent Ashton,26,TOT,LW,81,40,35,75,-15,39,6.3,20,17,3,4,10,8,1,185,21.6,,,,,,,
42,Mike Bossy*,30,NYI,RW,63,38,37,75,-8,33,6.6,29,8,1,5,14,23,0,226,16.8,,,,,,,
