Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
197,Wayne Gretzky*,24,EDM,C,80,73,135,208,100,52,19.6,54,8,11,7,92,36,7,354,20.6,,,,,,,
284,Jari Kurri*,24,EDM,RW,73,71,64,135,78,30,14,54,14,3,13,47,14,3,267,26.6,,,,,,,
218,Dale Hawerchuk*,21,WIN,C,80,53,77,130,20,74,11.1,33,17,3,4,50,26,1,280,18.9,,,,,,,
120,Marcel Dionne*,33,LAK,C,80,46,80,126,11,46,10.2,29,16,1,2,41,36,3,316,14.6,,,,,,,
87,Paul Coffey*,23,EDM,D,80,37,84,121,57,97,14.8,23,12,2,6,53,27,4,285,13,,,,,,,
42,Mike Bossy*,28,NYI,RW,76,58,59,117,37,38,11.2,40,14,4,7,45,14,0,285,20.4,,,,,,,
423,John Ogrodnick,25,DET,LW,79,55,50,105,-5,30,9,39,15,1,6,30,17,3,301,18.3,,,,,,,
499,Denis Savard*,23,CBH,C,79,38,67,105,16,56,8.2,31,7,0,1,36,31,0,265,14.3,,,,,,,
146,Bernie Federko*,28,STL,C,76,30,73,103,-10,27,7.1,24,6,0,3,41,32,0,175,17.1,,,,,,,
176,Mike Gartner*,25,WSH,RW,80,50,52,102,16,71,9.1,33,17,0,11,33,19,0,331,15.1,,,,,,,
546,Brent Sutter,22,NYI,C,72,42,60,102,42,51,9.2,30,12,0,4,45,14,1,195,21.5,,,,,,,
343,Paul MacLean,26,WIN,RW,79,41,60,101,3,119,7.8,27,14,0,6,44,16,0,185,22.2,,,,,,,
318,Mario Lemieux*,19,PIT,C,73,43,57,100,-33,54,7.5,32,11,0,2,35,22,0,209,20.6,,,,,,,
412,Bernie Nicholls,23,LAK,C,80,46,54,100,-5,76,7.9,31,15,0,6,35,19,0,329,14,,,,,,,
535,Peter Stastny*,28,QUE,C,75,32,68,100,21,95,7.6,24,7,1,9,46,22,0,208,15.4,,,,,,,
565,John Tonelli,27,NYI,LW,80,42,58,100,49,95,9,33,8,1,3,40,16,2,197,21.3,,,,,,,
415,Kent Nilsson,28,CGY,RW,77,37,62,99,-4,14,7,25,9,3,3,28,30,4,201,18.4,,,,,,,
