Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
703,Henrik Sedin,29,VAN,C,82,29,83,112,35,48,13.5,23,4,2,5,60,23,0,166,17.5,1614,19:41,13,13,756,771,49.5
153,Sidney Crosby,22,PIT,C,81,51,58,109,15,71,14.7,36,13,2,6,36,21,1,298,17.1,1778,21:57,42,62,992,781,56
575,Alex Ovechkin,24,WSH,LW,72,50,59,109,45,89,15.6,37,13,0,7,36,23,0,368,13.6,1569,21:48,20,181,10,12,45.5
22,Nicklas Backstrom,22,WSH,C,82,33,68,101,37,50,12.2,22,11,0,4,42,26,0,222,14.9,1677,20:27,61,90,657,660,49.9
751,Steven Stamkos,19,TBL,C,82,51,44,95,-2,38,12.8,26,24,1,5,27,17,0,297,17.2,1685,20:33,38,68,475,517,47.9
742,Martin St. Louis*,34,TBL,RW,82,29,65,94,-8,12,9.9,21,7,1,7,35,30,0,242,12,1788,21:49,40,19,71,85,45.5
654,Brad Richards,29,DAL,C,80,24,67,91,-12,14,8.9,11,13,0,2,40,27,0,284,8.5,1669,20:52,22,16,587,553,51.5
797,Joe Thornton,30,SJS,C,79,20,69,89,17,54,9.6,15,4,1,2,42,25,2,141,14.2,1569,19:51,29,113,662,566,53.9
368,Patrick Kane,21,CHI,RW,82,30,58,88,16,20,10.3,21,9,0,6,37,20,1,261,11.5,1574,19:12,17,17,9,13,40.9
238,Marian Gaborik,27,NYR,RW,76,42,44,86,15,37,12.1,27,14,1,4,31,12,1,272,15.4,1615,21:15,31,59,2,5,28.6
400,Ilya Kovalchuk,26,TOT,LW,76,41,44,85,10,53,11,29,12,0,4,29,15,0,290,14.1,1675,22:02,20,30,7,23,23.3
702,Daniel Sedin,29,VAN,LW,63,29,56,85,36,28,11.4,21,8,0,8,43,13,0,225,12.9,1206,19:08,3,8,11,22,33.3
708,Alexander Semin,25,WSH,LW,73,40,44,84,36,66,11.7,30,8,2,5,25,19,0,278,14.4,1396,19:07,20,30,6,10,37.5
477,Patrick Marleau,30,SJS,C,82,44,39,83,21,22,11.4,28,12,4,6,26,13,0,274,16.1,1739,21:13,33,76,316,299,51.4
301,Dany Heatley,29,SJS,RW,82,39,43,82,14,54,10.6,20,18,1,9,31,12,0,280,13.9,1659,20:14,35,81,14,21,40
586,Zach Parise,25,NJD,C,81,38,44,82,24,32,11.5,28,9,1,5,27,17,0,347,11,1602,19:46,34,108,18,30,37.5
394,Anze Kopitar,22,LAK,C,82,34,47,81,6,16,9.5,19,14,1,2,23,24,0,259,13.1,1786,21:47,50,78,592,602,49.6
753,Paul Stastny,24,COL,C,81,20,59,79,2,50,7.4,11,9,0,2,43,16,0,199,10.1,1733,21:24,53,42,851,852,50
