Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
224,Wayne Gretzky*,30,LAK,C,78,41,122,163,30,16,14.5,33,8,0,5,70,51,1,212,19.3,,,,,,,
260,Brett Hull*,26,STL,RW,78,86,45,131,23,22,15.4,57,29,0,11,29,16,0,389,22.1,,,,,,,
456,Adam Oates*,28,STL,C,61,25,90,115,15,29,9.6,21,3,1,3,52,38,0,139,18,,,,,,,
501,Mark Recchi*,22,PIT,RW,78,40,73,113,0,48,9.5,28,12,0,9,44,28,1,184,21.7,,,,,,,
125,John Cullen,26,TOT,C,78,39,71,110,-6,101,9.1,25,14,0,3,42,29,0,205,19,,,,,,,
528,Joe Sakic*,21,QUE,C,80,48,61,109,-26,24,9.8,33,12,3,7,38,22,1,245,19.6,,,,,,,
655,Steve Yzerman*,25,DET,C,80,51,57,108,-2,34,10.1,33,12,6,4,35,21,1,326,15.6,,,,,,,
191,Theoren Fleury,22,CGY,RW,79,51,53,104,48,136,11.2,35,9,7,9,30,23,0,249,20.5,,,,,,,
362,Al MacInnis*,27,CGY,D,78,28,75,103,42,90,14.1,11,17,0,1,26,46,3,305,9.2,,,,,,,
326,Steve Larmer,29,CHI,RW,80,44,57,101,37,79,10.6,25,17,2,9,25,26,6,231,19,,,,,,,
48,Ray Bourque*,30,BOS,D,76,21,73,94,33,75,13.2,14,7,0,3,35,38,0,323,6.5,,,,,,,
125,John Cullen,26,PIT,C,65,31,63,94,0,83,7.7,21,10,0,2,38,25,0,171,18.1,,,,,,,
518,Jeremy Roenick,21,CHI,C,79,41,53,94,38,80,9.9,22,15,4,10,29,23,1,194,21.1,,,,,,,
108,Paul Coffey*,29,PIT,D,76,24,69,93,-18,128,8.9,16,8,0,3,35,34,0,240,10,,,,,,,
269,Craig Janney,23,BOS,C,77,26,66,92,15,8,7.9,16,9,1,5,41,25,0,133,19.5,,,,,,,
444,Cam Neely*,25,BOS,RW,69,51,40,91,26,98,10.4,32,18,1,8,29,10,1,262,19.5,,,,,,,
516,Luc Robitaille*,24,LAK,LW,76,45,46,91,28,68,9.2,34,11,0,5,34,12,0,229,19.7,,,,,,,
239,Dale Hawerchuk*,27,BUF,C,80,31,58,89,2,32,7.8,19,12,0,1,36,22,0,194,16,,,,,,,
534,Tomas Sandstrom,26,LAK,RW,68,45,44,89,27,106,9.2,29,16,0,6,32,12,0,221,20.4,,,,,,,
341,Brian Leetch*,22,NYR,D,80,16,72,88,2,42,10.5,10,6,0,4,26,45,1,206,7.8,,,,,,,
196,Ron Francis*,27,TOT,C,81,23,64,87,-2,72,6.6,12,10,1,7,45,19,0,174,13.2,,,,,,,
579,Kevin Stevens,25,PIT,LW,80,40,46,86,-1,133,7.3,22,18,0,6,26,20,0,253,15.8,,,,,,,
319,Pat LaFontaine*,25,NYI,C,75,41,44,85,-6,42,8.1,27,12,2,5,23,21,0,225,18.2,,,,,,,
446,Joe Nieuwendyk*,24,CGY,C,79,45,40,85,19,36,8.4,19,22,4,1,26,14,0,222,20.3,,,,,,,
197,Dave Gagner,26,MNS,C,73,40,42,82,9,114,8.2,20,20,0,5,28,14,0,223,17.9,,,,,,,
629,Pat Verbeek,26,HAR,LW,80,43,39,82,0,246,8,28,15,0,5,17,21,1,247,17.4,,,,,,,
212,Doug Gilmour*,27,CGY,C,78,20,61,81,27,144,6.4,16,2,2,5,43,15,3,135,14.8,,,,,,,
177,Sergei Fedorov*,21,DET,C,77,31,48,79,11,66,6.8,17,11,3,5,31,16,1,259,12,,,,,,,
373,Sergei Makarov*,32,CGY,RW,78,30,49,79,15,44,6.7,21,9,0,5,34,15,0,93,32.3,,,,,,,
618,Pierre Turgeon,21,BUF,C,78,32,47,79,14,26,7.5,17,13,2,3,38,8,1,174,18.4,,,,,,,
364,John MacLean,26,NJD,RW,78,45,33,78,8,150,7.8,24,19,2,7,24,7,2,292,15.4,,,,,,,
116,Russ Courtnall,25,MTL,RW,79,26,50,76,5,29,6.3,20,5,1,5,36,12,2,279,9.3,,,,,,,
196,Ron Francis*,27,HAR,C,67,21,55,76,-2,51,6,10,10,1,6,37,18,0,149,14.1,,,,,,,
253,Phil Housley*,26,WIN,D,78,23,53,76,-13,24,9.7,10,12,1,3,27,25,1,206,11.2,,,,,,,
28,Brian Bellows,26,MNS,LW,80,35,40,75,-13,43,6.5,18,17,0,4,24,16,0,296,11.8,,,,,,,
238,Kevin Hatcher,24,WSH,D,79,24,50,74,-10,69,10.2,13,9,2,3,23,24,3,267,9,,,,,,,
134,Vincent Damphousse,23,TOR,LW,79,26,47,73,-31,65,5.2,15,10,1,4,31,15,1,247,10.5,,,,,,,
445,Bernie Nicholls,29,NYR,C,71,25,48,73,5,96,6.1,17,8,0,2,26,22,0,163,15.3,,,,,,,
489,Brian Propp,31,MNS,LW,79,26,47,73,7,58,6.2,17,9,0,1,20,24,3,171,15.2,,,,,,,
461,Ed Olczyk,24,TOT,C,79,30,41,71,-27,82,5.4,16,14,0,2,27,13,1,226,13.3,,,,,,,
510,Mike Ridley,27,WSH,C,79,23,48,71,9,26,5.9,12,6,5,4,35,10,3,155,14.8,,,,,,,
609,Rick Tocchet,26,PHI,RW,70,40,31,71,2,150,7,32,8,0,5,23,8,0,217,18.4,,,,,,,
350,Trevor Linden,20,VAN,RW,80,33,37,70,-25,65,5.7,15,16,2,4,23,14,0,229,14.4,,,,,,,
431,Kirk Muller,24,NJD,LW,80,19,51,70,1,76,4.9,12,7,0,3,27,19,5,221,8.6,,,,,,,
478,Michal Pivonka,25,WSH,C,79,20,50,70,3,34,5.4,14,6,0,4,31,16,3,172,11.6,,,,,,,
585,Gary Suter,26,CGY,D,79,12,58,70,26,102,9.4,6,6,0,1,26,32,0,258,4.7,,,,,,,
10,Dave Andreychuk*,27,BUF,LW,80,36,33,69,11,32,6.8,23,13,0,4,19,14,0,234,15.4,,,,,,,
57,Neal Broten,31,MNS,C,79,13,56,69,-3,26,4.6,10,1,2,0,29,24,3,191,6.8,,,,,,,
164,Pelle Eklund,27,PHI,C,73,19,50,69,-2,14,5.1,11,8,0,4,29,20,1,131,14.5,,,,,,,
201,Mike Gartner*,31,NYR,RW,79,49,20,69,-9,53,7.1,26,22,1,4,15,5,0,262,18.7,,,,,,,
605,Esa Tikkanen,26,EDM,LW,79,27,42,69,22,85,6.1,22,3,2,6,27,13,2,235,11.5,,,,,,,
296,Petr Klima,26,EDM,RW,70,40,28,68,24,113,7.3,32,7,1,5,19,9,0,204,19.6,,,,,,,
576,Thomas Steen,30,WIN,C,58,19,48,67,-3,49,5.3,12,7,0,3,28,19,1,125,15.2,,,,,,,
617,Darren Turcotte,22,NYR,C,74,26,41,67,-5,37,5.3,9,15,2,3,20,19,2,212,12.3,,,,,,,
120,Murray Craven,26,PHI,LW,77,19,47,66,-2,53,4.7,13,6,0,0,32,15,0,170,11.2,,,,,,,
545,Brendan Shanahan*,22,NJD,LW,75,29,37,66,4,141,5.6,22,7,0,2,25,12,0,195,14.9,,,,,,,
115,Geoff Courtnall,28,TOT,LW,77,33,32,65,16,64,6.1,21,12,0,8,27,5,0,263,12.5,,,,,,,
167,Pat Elynuik,23,WIN,RW,80,31,34,65,-13,73,5.4,15,16,0,4,19,15,0,150,20.7,,,,,,,
216,Michel Goulet*,30,CHI,LW,74,27,38,65,27,65,6.3,18,9,0,1,27,11,0,167,16.2,,,,,,,
95,Chris Chelios*,29,CHI,D,77,12,52,64,23,192,10.2,5,5,2,2,18,29,5,187,6.4,,,,,,,
219,Tony Granato,26,LAK,LW,68,30,34,64,22,154,6,18,11,1,3,26,8,0,197,15.2,,,,,,,
411,Mark Messier*,30,EDM,C,53,12,52,64,15,34,5,8,3,1,2,34,18,0,109,11,,,,,,,
422,Mike Modano*,20,MNS,RW,79,28,36,64,2,61,5.5,19,9,0,2,21,15,0,232,12.1,,,,,,,
423,Alexander Mogilny,21,BUF,RW,62,30,34,64,14,16,6.5,24,3,3,5,27,5,2,201,14.9,,,,,,,
159,Steve Duchesne,25,LAK,D,78,21,41,62,19,66,9,13,8,0,3,26,14,1,171,12.3,,,,,,,
429,Brian Mullen,28,NYR,LW,79,19,43,62,12,44,4.7,15,4,0,3,31,11,1,188,10.1,,,,,,,
434,Joe Murphy,23,EDM,RW,80,27,35,62,2,35,4.9,22,4,1,4,21,12,2,141,19.1,,,,,,,
509,Stephane Richer,24,MTL,RW,75,31,30,61,0,53,5.5,22,9,0,4,19,10,1,221,14,,,,,,,
492,Dan Quinn,25,TOT,C,78,22,38,60,-33,66,3.7,10,12,0,5,21,17,0,183,12,,,,,,,
575,Peter Stastny*,34,NJD,C,77,18,42,60,0,53,4.1,14,4,0,3,18,23,1,117,15.4,,,,,,,
