Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
383,Mario Lemieux*,26,PIT,C,64,44,87,131,27,94,12.4,28,12,4,5,46,35,6,249,17.7,,,,,,,
619,Kevin Stevens,26,PIT,LW,80,54,69,123,8,254,11.5,35,19,0,4,46,23,0,325,16.6,,,,,,,
251,Wayne Gretzky*,31,LAK,C,74,31,90,121,-12,34,9.4,17,12,2,2,46,42,2,215,14.4,,,,,,,
290,Brett Hull*,27,STL,RW,73,70,39,109,-2,48,11.9,45,20,5,9,19,20,0,408,17.2,,,,,,,
451,Mark Messier*,31,NYR,C,79,35,72,107,31,76,9.9,19,12,4,6,46,21,5,212,16.5,,,,,,,
563,Luc Robitaille*,25,LAK,LW,80,44,63,107,-4,95,9.4,18,26,0,6,42,21,0,240,18.3,,,,,,,
565,Jeremy Roenick,22,CHI,C,80,53,50,103,23,98,11.1,28,22,3,13,28,22,0,234,22.6,,,,,,,
702,Steve Yzerman*,26,DET,C,79,45,58,103,26,64,10.1,28,9,8,9,38,18,2,295,15.3,,,,,,,
379,Brian Leetch*,23,NYR,D,80,22,80,102,25,26,13.2,11,10,1,3,44,36,0,245,9,,,,,,,
499,Adam Oates*,29,TOT,C,80,20,79,99,-9,22,6.9,14,6,0,4,47,30,2,191,10.5,,,,,,,
266,Dale Hawerchuk*,28,BUF,C,77,23,75,98,-22,27,7,10,13,0,4,32,43,0,242,9.5,,,,,,,
548,Mark Recchi*,23,TOT,RW,80,43,54,97,-21,96,8,22,20,1,5,26,28,0,210,20.5,,,,,,,
660,Pierre Turgeon,22,TOT,C,77,40,55,95,7,20,8.6,27,13,0,6,35,20,0,207,19.3,,,,,,,
577,Joe Sakic*,22,QUE,C,69,29,65,94,5,20,8.1,20,6,3,1,36,25,4,217,13.4,,,,,,,
355,Pat LaFontaine*,26,BUF,C,57,46,47,93,10,98,9.9,23,23,0,5,22,25,0,203,22.7,,,,,,,
10,Dave Andreychuk*,28,BUF,LW,80,41,50,91,-9,71,8.2,13,28,0,2,27,23,0,337,12.2,,,,,,,
559,Gary Roberts,25,CGY,LW,76,53,37,90,32,207,10,38,15,0,2,29,7,1,196,27,,,,,,,
151,Vincent Damphousse,24,EDM,LW,80,38,51,89,10,53,7.9,25,12,1,8,29,20,2,247,15.4,,,,,,,
239,Doug Gilmour*,28,TOT,C,78,26,61,87,25,78,7.6,15,10,1,4,41,19,1,168,15.5,,,,,,,
299,Craig Janney,24,TOT,C,78,18,69,87,6,22,6.4,12,6,0,2,44,25,0,127,14.2,,,,,,,
469,Joe Mullen*,34,PIT,RW,77,42,45,87,12,30,8,28,14,0,4,33,12,0,226,18.6,,,,,,,
660,Pierre Turgeon,22,NYI,C,69,38,49,87,8,16,8,25,13,0,6,33,16,0,193,19.7,,,,,,,
202,Sergei Fedorov*,22,DET,C,80,32,54,86,26,72,7.7,23,7,2,5,31,20,3,249,12.9,,,,,,,
282,Phil Housley*,27,WIN,D,74,23,63,86,-5,92,11.3,12,11,0,4,17,46,0,234,9.8,,,,,,,
461,Alexander Mogilny,22,BUF,RW,67,39,45,84,7,73,8.3,24,15,0,2,27,18,0,236,16.5,,,,,,,
474,Joe Murphy,24,EDM,RW,80,35,47,82,17,52,7.3,23,10,2,2,35,11,1,193,18.1,,,,,,,
51,Ray Bourque*,31,BOS,D,80,21,60,81,11,56,11.2,13,7,1,2,32,28,0,334,6.3,,,,,,,
230,Mike Gartner*,32,NYR,RW,76,40,41,81,11,55,7.7,25,15,0,6,29,12,0,286,14,,,,,,,
207,Ray Ferraro,27,NYI,C,80,40,40,80,25,92,7.8,33,7,0,4,33,7,0,154,26,,,,,,,
526,Michal Pivonka,26,WSH,C,80,23,57,80,10,47,6.1,12,7,4,2,40,16,1,177,13,,,,,,,
292,Dale Hunter,31,WSH,C,80,28,50,78,-2,205,6,15,13,0,4,33,17,0,110,25.5,,,,,,,
325,Derek King,24,NYI,LW,80,40,38,78,-10,46,6.7,19,21,0,6,24,14,0,189,21.2,,,,,,,
643,Steve Thomas,28,TOT,RW,82,30,48,78,8,97,6.4,27,3,0,3,30,18,0,245,12.2,,,,,,,
58,Rod Brind'Amour,21,PHI,C,80,33,44,77,-3,100,6.5,21,8,4,5,25,15,4,202,16.3,,,,,,,
140,John Cullen,27,HAR,C,77,26,51,77,-28,141,5.4,16,10,0,4,25,26,0,173,15,,,,,,,
402,Al MacInnis*,28,CGY,D,72,20,57,77,13,83,9.6,9,11,0,0,19,37,1,304,6.6,,,,,,,
460,Mike Modano*,21,MNS,RW,76,33,44,77,-9,46,6.6,28,5,0,8,24,20,0,256,12.9,,,,,,,
470,Kirk Muller,25,MTL,LW,78,36,41,77,15,86,7.5,20,15,1,7,26,15,0,191,18.8,,,,,,,
475,Larry Murphy*,30,PIT,D,77,21,56,77,33,48,10.5,12,7,2,3,31,25,0,206,10.2,,,,,,,
109,Dino Ciccarelli*,31,WSH,RW,78,38,38,76,-10,78,6.4,25,13,0,7,26,12,0,279,13.6,,,,,,,
274,Benoit Hogue,25,TOT,LW,75,30,46,76,30,67,7.1,22,8,0,5,35,9,2,149,20.1,,,,,,,
625,Mats Sundin*,20,QUE,RW,80,33,43,76,-19,103,6,23,8,2,2,31,12,0,231,14.3,,,,,,,
28,Brian Bellows,27,MNS,LW,80,30,45,75,-20,41,5.8,17,12,1,4,24,20,1,255,11.8,,,,,,,
274,Benoit Hogue,25,NYI,LW,72,30,45,75,30,67,7,22,8,0,5,34,9,2,143,21,,,,,,,
390,Trevor Linden,21,VAN,RW,80,31,44,75,3,101,6.3,24,6,1,6,21,20,3,201,15.4,,,,,,,
573,Vladimir Ruzicka,28,BOS,LW,77,39,36,75,-10,48,6.7,21,18,0,6,17,19,0,228,17.1,,,,,,,
701,Paul Ysebaert,25,DET,LW,79,35,40,75,44,55,7.6,28,3,4,3,24,14,2,211,16.6,,,,,,,
365,Steve Larmer,30,CHI,RW,80,29,45,74,10,65,6.5,16,11,2,3,21,21,3,292,9.9,,,,,,,
214,Theoren Fleury,23,CGY,RW,80,33,40,73,0,133,6,21,11,1,6,20,20,0,225,14.7,,,,,,,
