Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
379,Mario Lemieux*,27,PIT,C,60,69,91,160,55,38,16.8,47,16,6,10,49,39,3,286,24.1,,,,,,,
352,Pat LaFontaine*,27,BUF,C,84,53,95,148,11,63,13.2,31,20,2,7,52,43,0,306,17.3,,,,,,,
492,Adam Oates*,30,BOS,C,84,45,97,142,15,32,12.2,20,24,1,11,58,38,1,254,17.7,,,,,,,
704,Steve Yzerman*,27,DET,C,84,58,79,137,33,44,13,38,13,7,6,49,28,2,307,18.9,,,,,,,
585,Teemu Selanne*,22,WIN,RW,84,76,56,132,8,45,13.4,52,24,0,7,31,25,0,387,19.6,,,,,,,
661,Pierre Turgeon,23,NYI,C,83,58,74,132,-1,26,12,34,24,0,10,43,30,1,301,19.3,,,,,,,
233,Doug Gilmour*,29,TOR,C,83,32,95,127,32,100,11,14,15,3,2,49,44,2,211,15.2,,,,,,,
454,Alexander Mogilny,23,BUF,RW,77,76,51,127,7,40,13.4,49,27,0,11,29,21,1,360,21.1,,,,,,,
560,Luc Robitaille*,26,LAK,LW,84,63,62,125,18,100,11.8,37,24,2,8,39,21,2,265,23.8,,,,,,,
546,Mark Recchi*,24,PHI,RW,84,53,70,123,1,95,11,34,15,4,6,42,27,1,274,19.3,,,,,,,
629,Mats Sundin*,21,QUE,C,80,47,67,114,21,96,10.5,30,13,4,9,28,34,5,215,21.9,,,,,,,
621,Kevin Stevens,27,PIT,LW,72,55,56,111,17,177,10.8,29,26,0,5,38,18,0,326,16.9,,,,,,,
79,Pavel Bure*,21,VAN,RW,83,60,50,110,35,69,11.4,40,13,7,9,28,20,2,407,14.7,,,,,,,
655,Rick Tocchet,28,PIT,RW,80,48,61,109,28,252,10.2,24,20,4,5,41,20,0,240,20,,,,,,,
561,Jeremy Roenick,23,CHI,C,84,50,57,107,15,86,10.2,25,22,3,3,28,29,0,255,19.6,,,,,,,
290,Craig Janney,25,STL,C,84,24,82,106,-4,12,7.7,16,8,0,6,46,36,0,137,17.5,,,,,,,
574,Joe Sakic*,23,QUE,C,78,48,57,105,-3,40,9.3,26,20,2,4,29,27,1,264,18.2,,,,,,,
300,Joe Juneau,25,BOS,LW,84,32,70,102,23,33,8.5,23,9,0,3,42,28,0,229,14,,,,,,,
281,Brett Hull*,28,STL,RW,80,54,47,101,-27,41,9.1,25,29,0,2,18,29,0,390,13.8,,,,,,,
210,Theoren Fleury,24,CGY,RW,83,34,66,100,14,88,8.1,20,12,2,4,44,21,1,250,13.6,,,,,,,
216,Ron Francis*,29,PIT,C,84,24,76,100,6,68,7,13,9,2,4,28,41,7,215,11.2,,,,,,,
12,Dave Andreychuk*,29,TOT,LW,83,54,45,99,4,56,9.5,22,32,0,4,23,22,0,310,17.4,,,,,,,
114,Dino Ciccarelli*,32,DET,RW,82,41,56,97,12,81,8.2,20,21,0,8,33,23,0,200,20.5,,,,,,,
147,Vincent Damphousse,25,MTL,LW,84,39,58,97,5,98,7.9,27,9,3,8,34,24,0,287,13.6,,,,,,,
274,Phil Housley*,28,WIN,D,80,18,79,97,-14,52,9.8,12,6,0,2,29,50,0,249,7.2,,,,,,,
260,Dale Hawerchuk*,29,BUF,C,81,16,80,96,-17,52,5.8,8,8,0,2,36,44,0,259,6.2,,,,,,,
