Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
110,Marcel Dionne*,28,LAK,C,80,53,84,137,34,32,13.5,36,17,0,6,55,29,0,348,15.2,,,,,,,
176,Wayne Gretzky*,19,EDM,C,79,51,86,137,14,21,12.6,37,13,1,6,63,22,1,284,18,,,,,,,
268,Guy Lafleur*,28,MTL,RW,74,50,75,125,40,12,12.8,35,15,0,7,49,26,0,323,15.5,,,,,,,
414,Gilbert Perreault*,29,BUF,C,80,40,66,106,33,57,9.9,30,10,0,5,37,29,0,180,22.2,,,,,,,
458,Mike Rogers,25,HAR,C,80,44,61,105,28,10,9.9,39,3,2,0,42,19,0,229,19.2,,,,,,,
548,Bryan Trottier*,23,NYI,C,78,42,62,104,31,68,10,27,15,0,7,47,15,0,186,22.6,,,,,,,
493,Charlie Simmer,25,LAK,LW,64,56,45,101,47,65,11.8,35,21,0,8,29,16,0,213,26.3,,,,,,,
522,Blaine Stoughton,26,HAR,RW,80,56,44,100,10,16,10,38,16,2,9,35,8,1,234,23.9,,,,,,,
497,Darryl Sittler*,29,TOR,C,73,40,57,97,3,62,8.7,22,17,1,5,40,17,0,315,12.7,,,,,,,
131,Bernie Federko*,23,STL,C,79,38,56,94,3,24,8.4,31,7,0,4,37,19,0,183,20.8,,,,,,,
314,Blair MacDonald,26,EDM,RW,80,46,48,94,0,6,8.5,31,13,2,6,32,15,1,266,17.3,,,,,,,
313,Al MacAdam,27,MNS,LW,80,42,51,93,36,24,9.4,29,13,0,3,35,16,0,170,24.7,,,,,,,
395,Kent Nilsson,23,ATF,C,80,40,53,93,-3,10,8.2,26,14,0,3,31,22,0,217,18.4,,,,,,,
42,Mike Bossy*,23,NYI,RW,75,51,41,92,28,12,9.7,36,15,0,8,25,16,0,246,20.7,,,,,,,
368,Rick Middleton,26,BOS,RW,80,40,52,92,30,24,8.8,31,9,0,4,28,22,2,223,17.9,,,,,,,
280,Pierre Larouche,24,MTL,C,73,50,41,91,35,16,10,38,12,0,7,27,14,0,220,22.7,,,,,,,
534,Dave Taylor,24,LAK,RW,61,37,53,90,38,72,9.3,25,12,0,7,40,13,0,170,21.8,,,,,,,
86,Real Cloutier,23,QUE,RW,67,42,47,89,-5,12,8.1,29,13,0,3,25,22,0,254,16.5,,,,,,,
151,Danny Gare,25,BUF,RW,76,56,33,89,48,90,10.4,39,17,0,11,22,11,0,270,20.7,,,,,,,
490,Steve Shutt*,27,MTL,LW,77,47,42,89,45,34,9.7,30,17,0,4,36,6,0,224,21,,,,,,,
413,Steve Payne,21,MNS,LW,80,42,43,85,37,40,8.8,26,16,0,2,29,14,0,233,18,,,,,,,
502,Bobby Smith,21,MNS,C,61,27,56,83,17,24,7.4,18,9,0,3,36,20,0,223,12.1,,,,,,,
353,Dale McCourt,23,DET,C,80,30,51,81,1,12,6.7,21,7,2,3,36,14,1,200,15,,,,,,,
221,Mark Howe*,24,HAR,D,74,24,56,80,14,20,10.1,17,5,2,3,40,14,2,178,13.5,,,,,,,
167,Butch Goring,30,TOT,C,81,26,53,79,-13,14,5.5,22,3,1,1,3,2,0,180,14.4,,,,,,,
297,Ken Linseman,21,PHI,C,80,22,57,79,26,107,5.9,20,2,0,4,43,14,0,168,13.1,,,,,,,
343,Rick Martin,28,BUF,LW,80,45,34,79,19,54,7.8,37,8,0,3,23,11,0,257,17.5,,,,,,,
128,Phil Esposito*,37,NYR,C,80,34,44,78,-14,73,6,21,13,0,5,29,15,0,245,13.9,,,,,,,
361,Peter McNab,27,BOS,C,74,40,38,78,24,10,7.7,29,11,0,9,35,3,0,193,20.7,,,,,,,
510,Stan Smyl,22,VAN,RW,77,31,47,78,27,204,7.4,20,11,0,3,40,7,0,182,17,,,,,,,
78,Guy Chouinard,23,ATF,C,76,31,46,77,5,22,6.6,22,9,0,1,30,16,0,208,14.9,,,,,,,
283,Reggie Leach,29,PHI,RW,76,50,26,76,41,28,8.5,41,5,4,7,21,4,1,328,15.2,,,,,,,
172,Thomas Gradin,23,VAN,C,80,30,45,75,15,22,6.6,23,7,0,2,26,19,0,146,20.5,,,,,,,
355,Lanny McDonald*,26,TOT,RW,81,40,35,75,-17,53,6.6,26,14,0,6,11,9,0,334,12,,,,,,,
