Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
358,Mario Lemieux*,23,PIT,C,76,85,114,199,41,100,19.6,41,31,13,8,61,48,5,313,27.2,,,,,,,
222,Wayne Gretzky*,28,LAK,C,78,54,114,168,15,26,14.1,38,11,5,5,62,42,10,303,17.8,,,,,,,
659,Steve Yzerman*,23,DET,C,80,65,90,155,17,61,14.4,45,17,3,7,56,29,5,388,16.8,,,,,,,
455,Bernie Nicholls,27,LAK,C,79,70,80,150,30,96,14.4,41,21,8,6,46,28,6,385,18.2,,,,,,,
60,Rob Brown,20,PIT,RW,68,49,66,115,27,118,10.7,25,24,0,6,43,23,0,169,29,,,,,,,
101,Paul Coffey*,27,PIT,D,75,30,83,113,-10,195,11,19,11,0,2,30,53,0,342,8.8,,,,,,,
438,Joe Mullen*,31,CGY,RW,79,51,59,110,51,16,11,37,13,1,7,31,27,1,270,18.9,,,,,,,
321,Jari Kurri*,28,EDM,RW,76,44,58,102,19,69,9,29,10,5,8,36,16,6,214,20.6,,,,,,,
79,Jimmy Carson,20,EDM,C,80,49,51,100,3,36,8.6,30,19,0,5,35,16,0,240,20.4,,,,,,,
530,Luc Robitaille*,22,LAK,LW,78,46,52,98,5,65,8.2,36,10,0,4,38,14,0,237,19.4,,,,,,,
239,Dale Hawerchuk*,25,WIN,C,75,41,55,96,-30,28,7.2,24,14,3,4,30,24,1,239,17.2,,,,,,,
422,Mark Messier*,28,EDM,C,72,33,61,94,-5,130,7,21,6,6,4,27,28,6,164,20.1,,,,,,,
508,Dan Quinn,23,PIT,C,79,34,60,94,-37,102,6,18,16,0,4,28,31,1,200,17,,,,,,,
196,Gerard Gallant,25,DET,LW,76,39,54,93,7,230,7.8,26,13,0,7,33,21,0,221,17.6,,,,,,,
473,Ed Olczyk,22,TOR,C,80,38,52,90,0,75,7.2,25,11,2,4,34,17,1,249,15.3,,,,,,,
137,Kevin Dineen,25,HAR,RW,79,45,44,89,-6,167,7.8,24,20,1,4,27,17,0,294,15.3,,,,,,,
525,Mike Ridley,25,WSH,C,80,41,48,89,17,49,7.9,25,16,0,9,33,15,0,187,21.9,,,,,,,
299,Tim Kerr,29,PHI,RW,69,48,40,88,-4,73,8.1,23,25,0,2,21,19,0,236,20.3,,,,,,,
328,Pat LaFontaine*,23,NYI,C,79,45,43,88,-8,26,7.6,29,16,0,4,24,19,0,288,15.6,,,,,,,
549,Tomas Sandstrom,24,NYR,RW,79,32,56,88,5,148,6.5,19,11,2,4,34,21,1,240,13.3,,,,,,,
584,Thomas Steen,28,WIN,C,80,27,61,88,14,80,6.7,17,9,1,2,39,18,4,173,15.6,,,,,,,
