Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
252,Wayne Gretzky*,33,LAK,C,81,38,92,130,-25,20,11.1,20,14,4,0,42,47,3,233,16.3,,,,,,,
206,Sergei Fedorov*,24,DET,C,82,56,64,120,48,34,13.8,39,13,4,10,42,15,7,337,16.6,,,,,,,
538,Adam Oates*,31,BOS,C,77,32,80,112,10,45,10.5,14,16,2,3,48,29,3,197,16.2,,,,,,,
239,Doug Gilmour*,30,TOR,C,83,27,84,111,25,105,10.4,16,10,1,3,50,30,4,167,16.2,,,,,,,
82,Pavel Bure*,22,VAN,RW,76,60,47,107,1,86,12.3,31,25,4,9,27,18,2,374,16,,,,,,,
599,Mark Recchi*,25,PHI,C,84,40,67,107,-2,46,9.7,29,11,0,5,40,25,2,217,18.4,,,,,,,
617,Jeremy Roenick,24,CHI,C,84,46,61,107,21,125,11.3,17,24,5,5,42,17,2,281,16.4,,,,,,,
650,Brendan Shanahan*,25,STL,LW,81,52,50,102,-9,211,10.7,30,15,7,8,22,27,1,397,13.1,,,,,,,
12,Dave Andreychuk*,30,TOR,RW,83,53,46,99,22,98,11.4,27,21,5,8,24,22,0,333,15.9,,,,,,,
305,Jaromir Jagr,21,PIT,RW,80,32,67,99,15,61,9.1,23,9,0,6,47,20,0,298,10.7,,,,,,,
68,Rod Brind'Amour,23,PHI,LW,84,35,62,97,-9,85,8.2,20,14,1,4,42,17,3,230,15.2,,,,,,,
297,Brett Hull*,29,STL,RW,81,57,40,97,-3,38,10.9,29,25,3,6,22,16,2,392,14.5,,,,,,,
414,Eric Lindros*,20,PHI,C,65,44,53,97,16,103,10.3,29,13,2,9,38,14,1,197,22.3,,,,,,,
731,Pierre Turgeon,24,NYI,C,69,38,56,94,14,18,9.7,24,10,4,6,31,22,3,254,15,,,,,,,
225,Ron Francis*,30,PIT,C,82,27,66,93,-3,62,7.5,19,8,0,2,30,33,3,216,12.5,,,,,,,
495,Mike Modano*,23,DAL,C,76,50,43,93,-8,54,9.7,32,18,0,4,22,21,0,281,17.8,,,,,,,
602,Robert Reichel,22,CGY,C,84,40,53,93,20,58,9.5,26,14,0,6,32,21,0,249,16.1,,,,,,,
656,Ray Sheppard,27,DET,RW,82,52,41,93,13,26,10.1,33,19,0,5,24,15,2,260,20,,,,,,,
631,Joe Sakic*,24,QUE,C,84,28,64,92,-8,18,7.6,17,10,1,9,40,23,1,279,10,,,,,,,
60,Ray Bourque*,33,BOS,D,72,20,71,91,26,58,13.5,7,10,3,1,27,42,2,386,5.2,,,,,,,
152,Vincent Damphousse,26,MTL,LW,84,40,51,91,0,75,8.8,27,13,0,10,26,24,1,274,14.6,,,,,,,
791,Sergei Zubov*,23,NYR,D,78,12,77,89,20,39,12.5,3,9,0,1,36,40,1,222,5.4,,,,,,,
683,Kevin Stevens,28,PIT,LW,83,41,47,88,-24,155,7.6,20,21,0,4,27,20,0,284,14.4,,,,,,,
272,Dale Hawerchuk*,30,BUF,C,81,35,51,86,10,91,8.9,21,13,1,7,23,28,0,227,15.4,,,,,,,
615,Luc Robitaille*,27,LAK,LW,83,44,42,86,-20,86,8.1,20,24,0,3,26,16,0,267,16.5,,,,,,,
221,Theoren Fleury,25,CGY,RW,83,40,45,85,30,186,9.2,23,16,1,6,31,12,2,278,14.4,,,,,,,
316,Joe Juneau,26,TOT,C,74,19,66,85,11,41,7.3,13,6,0,2,38,28,0,164,11.6,,,,,,,
692,Mats Sundin*,22,QUE,C,84,32,53,85,1,60,7.7,24,6,2,4,29,21,3,226,14.2,,,,,,,
306,Craig Janney,26,STL,C,69,16,68,84,-14,24,6.3,8,8,0,7,36,32,0,95,16.8,,,,,,,
484,Mark Messier*,33,NYR,C,76,26,58,84,25,76,8.1,18,6,2,5,21,30,7,216,12,,,,,,,
613,Gary Roberts,27,CGY,LW,73,41,43,84,37,145,9.7,26,12,3,5,25,17,1,202,20.3,,,,,,,
430,Al MacInnis*,30,CGY,D,75,28,54,82,35,95,13.3,15,12,1,5,18,34,2,324,8.6,,,,,,,
604,Mikael Renberg,21,PHI,RW,83,38,44,82,8,36,7.8,29,9,0,1,30,14,0,195,19.5,,,,,,,
779,Steve Yzerman*,28,DET,LW,58,24,58,82,11,36,7.5,14,7,3,3,38,17,3,217,11.1,,,,,,,
721,Keith Tkachuk,21,WIN,LW,84,41,40,81,-12,255,7.8,16,22,3,3,23,16,1,218,18.8,,,,,,,
130,Russ Courtnall,28,DAL,RW,84,23,57,80,6,59,6.6,18,5,0,4,41,16,0,231,10,,,,,,,
247,Adam Graves,25,NYR,LW,84,52,27,79,27,127,9.8,28,20,4,4,18,8,1,291,17.9,,,,,,,
400,Brian Leetch*,25,NYR,D,84,23,56,79,28,67,13.3,5,17,1,4,18,36,2,328,7,,,,,,,
497,Alexander Mogilny,24,BUF,RW,66,32,47,79,8,22,8.3,15,17,0,7,25,22,0,258,12.4,,,,,,,
773,Alexei Yashin,20,OTT,C,83,30,49,79,-49,22,5.8,17,11,2,3,32,16,1,232,12.9,,,,,,,
684,Scott Stevens*,29,NJD,D,83,18,60,78,53,112,13.2,12,5,1,4,38,21,1,215,8.4,,,,,,,
119,Paul Coffey*,32,DET,D,80,14,63,77,28,106,10.3,9,5,0,3,30,31,2,278,5,,,,,,,
366,Jari Kurri*,33,LAK,RW,81,31,46,77,-24,48,6.1,13,14,4,3,18,25,3,198,15.7,,,,,,,
118,Wendel Clark,27,TOR,LW,64,46,30,76,10,115,9,25,21,0,8,19,11,0,275,16.7,,,,,,,
528,Joe Nieuwendyk*,27,CGY,C,64,36,39,75,19,51,8.2,21,14,1,7,25,14,0,191,18.8,,,,,,,
711,Steve Thomas,30,NYI,RW,78,42,33,75,-9,139,7.5,25,17,0,5,20,13,0,249,16.9,,,,,,,
740,Pat Verbeek,29,HAR,RW,84,37,38,75,-15,177,6.9,21,15,1,3,27,10,1,226,16.4,,,,,,,
195,Nelson Emerson,26,WIN,RW,83,33,41,74,-38,80,5.7,24,4,5,6,15,25,1,282,11.7,,,,,,,
522,Cam Neely*,28,BOS,RW,49,50,24,74,12,54,9.6,30,20,0,13,17,7,0,185,27,,,,,,,
754,Doug Weight,23,EDM,C,84,24,50,74,-22,47,5.4,19,4,1,1,26,24,0,188,12.8,,,,,,,
353,Vyacheslav Kozlov,21,DET,LW,77,34,39,73,27,50,7.5,24,8,2,6,27,11,1,202,16.8,,,,,,,
509,Larry Murphy*,32,PIT,D,84,17,56,73,10,44,9.7,10,7,0,4,31,24,1,236,7.2,,,,,,,
584,Keith Primeau,22,DET,C,78,31,42,73,34,173,7.4,21,7,3,4,32,7,3,155,20,,,,,,,
316,Joe Juneau,26,BOS,C,63,14,58,72,11,35,6.1,10,4,0,2,34,24,0,142,9.9,,,,,,,
608,Stephane Richer,27,NJD,RW,80,36,36,72,31,16,7.6,26,7,3,9,31,5,0,217,16.6,,,,,,,
37,Brian Bellows,29,MTL,RW,77,33,38,71,9,36,7,20,13,0,2,24,14,0,251,13.1,,,,,,,
786,Alex Zhamnov,23,WIN,C,61,26,45,71,-20,62,6,19,7,0,1,23,22,0,196,13.3,,,,,,,
129,Geoff Courtnall,31,VAN,LW,82,26,44,70,15,123,6.6,13,12,1,2,25,17,2,264,9.8,,,,,,,
230,Garry Galley,30,PHI,D,81,10,60,70,-11,91,7.4,4,5,1,0,29,30,1,186,5.4,,,,,,,
337,Derek King,26,NYI,LW,78,30,40,70,18,59,6.9,20,10,0,7,24,16,0,171,17.5,,,,,,,
365,Bob Kudelski,29,TOT,RW,86,40,30,70,-33,24,6.3,23,17,0,3,17,13,0,251,15.9,,,,,,,
433,John MacLean,29,NJD,LW,80,37,33,70,30,95,7.5,29,8,0,4,21,11,1,277,13.4,,,,,,,
504,Joe Mullen*,36,PIT,LW,84,38,32,70,9,41,6.9,30,6,2,9,24,7,1,231,16.5,,,,,,,
508,Joe Murphy,26,CHI,LW,81,31,39,70,1,111,6.5,20,7,4,4,19,19,1,222,14,,,,,,,
610,Mike Ridley,30,WSH,C,81,26,44,70,15,24,6.4,14,10,2,4,31,12,1,144,18.1,,,,,,,
147,Ulf Dahlen,27,TOT,RW,78,25,44,69,-1,10,5.8,10,15,0,5,21,23,0,190,13.2,,,,,,,
281,Benoit Hogue,27,NYI,LW,83,36,33,69,-7,73,6.4,22,9,5,3,24,9,0,218,16.5,,,,,,,
17,Jason Arnott,19,EDM,C,78,33,35,68,1,104,6.5,23,10,0,4,22,13,0,194,17,,,,,,,
51,Rob Blake*,24,LAK,D,84,20,48,68,-7,137,8.4,13,7,0,6,19,26,3,304,6.6,,,,,,,
436,Sergei Makarov*,35,SJS,RW,80,30,38,68,11,78,6.6,20,10,0,5,27,11,0,155,19.4,,,,,,,
620,Cliff Ronning,28,VAN,C,76,25,43,68,7,42,6.2,15,10,0,4,25,18,0,197,12.7,,,,,,,
634,Geoff Sanderson,21,HAR,LW,82,41,26,67,-13,42,6.7,25,15,1,6,17,9,0,266,15.4,,,,,,,
75,Jeff Brown,27,TOT,D,74,14,52,66,-11,56,8.1,7,7,0,3,15,34,3,237,5.9,,,,,,,
192,Todd Elik,27,TOT,C,79,25,41,66,-3,95,5.6,16,9,0,4,20,21,0,185,13.5,,,,,,,
192,Todd Elik,27,SJS,C,75,25,41,66,-3,89,5.7,16,9,0,4,20,21,0,180,13.9,,,,,,,
318,Valeri Kamensky,27,QUE,LW,76,28,37,65,12,42,6.2,22,6,0,1,28,8,1,170,16.5,,,,,,,
63,Brian Bradley,29,TBL,C,78,24,40,64,-8,56,5.7,18,6,0,2,25,15,0,180,13.3,,,,,,,
