Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
43,Jamie Benn,25,DAL,LW,82,35,52,87,1,64,10.7,23,10,2,6,37,13,2,253,13.8,1636,19:57,50,120,298,278,51.7
797,John Tavares,24,NYI,C,82,38,48,86,5,46,11.2,25,13,0,8,29,18,1,278,13.7,1695,20:40,37,48,753,689,52.2
170,Sidney Crosby,27,PIT,C,77,28,56,84,5,47,10.3,18,10,0,3,35,21,0,237,11.8,1538,19:58:00,29,66,797,789,50.3
594,Alex Ovechkin,29,WSH,LW,81,53,28,81,10,58,12.6,28,25,0,11,19,9,0,395,13.4,1646,20:20,32,259,2,3,40
840,Jakub Voracek,25,PHI,RW,82,22,59,81,1,78,8.8,11,11,0,3,37,22,0,221,10,1525,18:36,28,55,6,3,66.7
25,Nicklas Backstrom,27,WSH,C,82,18,60,78,5,40,8.1,15,3,0,3,30,30,0,153,11.8,1683,20:32,52,91,862,747,53.6
712,Tyler Seguin,23,DAL,C,71,37,40,77,-1,20,10.2,24,13,0,5,24,16,0,280,13.2,1388,19:33,26,63,275,236,53.8
374,Jiri Hudler,31,CGY,C,78,31,45,76,17,14,10.2,25,6,0,5,35,10,0,158,19.6,1405,18:01,14,27,21,25,45.7
710,Daniel Sedin,34,VAN,LW,82,20,56,76,5,18,8.5,16,4,0,5,35,21,0,226,8.8,1505,18:21,16,21,2,3,40
253,Nick Foligno,27,CBJ,LW,79,31,42,73,16,50,9.7,20,11,0,3,27,15,0,182,17,1488,18:50,52,193,125,138,47.5
290,Claude Giroux,27,PHI,C,81,25,48,73,-3,36,7.9,11,14,0,4,25,23,0,279,9,1666,20:34,28,110,1063,807,56.8
711,Henrik Sedin,34,VAN,C,82,18,55,73,11,22,8.1,13,5,0,0,35,20,0,101,17.8,1526,18:37,24,23,708,848,45.5
794,Vladimir Tarasenko,23,STL,RW,77,37,36,73,27,31,11.2,29,8,0,6,26,10,0,264,14,1357,17:37,18,32,0,3,0
391,Tyler Johnson,24,TBL,C,77,29,43,72,33,24,10.3,21,8,0,6,34,9,0,203,14.3,1327,17:14,35,63,508,569,47.2
761,Steven Stamkos,24,TBL,C,82,43,29,72,2,49,10.1,30,13,0,6,17,12,0,268,16,1588,19:22,33,87,438,466,48.5
387,Ryan Johansen,22,CBJ,C,82,26,45,71,-6,40,7.8,17,7,2,0,26,19,0,202,12.9,1599,19:30,33,84,850,787,51.9
282,Ryan Getzlaf,29,ANA,C,77,25,45,70,15,62,8.6,22,3,0,6,33,10,2,191,13.1,1548,20:06,95,100,632,612,50.8
491,Evgeni Malkin,28,PIT,C,69,28,42,70,-2,60,8.8,19,9,0,4,25,17,0,212,13.2,1309,18:58,18,24,322,427,43
610,Joe Pavelski,30,SJS,C,82,37,33,70,12,29,9.7,18,19,0,5,21,12,0,261,14.2,1650,20:08,82,92,604,508,54.3
558,Rick Nash,30,NYR,LW,79,42,27,69,29,36,11.4,32,6,4,8,20,6,1,304,13.8,1379,17:27,33,45,2,2,50
163,Logan Couture,25,SJS,C,82,27,40,67,-6,12,7.6,19,6,2,4,22,18,0,263,10.3,1564,19:04,64,82,451,511,46.9
596,Max Pacioretty,26,MTL,LW,80,37,30,67,38,32,10.9,27,7,3,10,24,4,2,302,12.3,1552,19:24,38,106,2,7,22.2
408,Erik Karlsson,24,OTT,D,82,21,45,66,7,42,11.9,15,6,0,3,21,24,0,292,7.2,2235,3:15,89,93,0,0,
810,Jonathan Toews,26,CHI,C,81,28,38,66,30,36,9.4,20,6,2,7,26,11,1,192,14.6,1585,19:34,16,56,947,728,56.5
876,Henrik Zetterberg,34,DET,LW,77,17,49,66,-6,32,6.7,13,4,0,3,25,24,0,227,7.5,1472,19:07,26,55,541,522,50.9
180,Pavel Datsyuk,36,DET,C,63,26,39,65,12,8,8.8,18,8,0,5,23,16,0,165,15.8,1200,19:03:00,28,51,601,517,53.8
441,Nikita Kucherov,21,TBL,RW,82,29,36,65,38,37,9.9,27,2,0,2,23,13,0,191,15.2,1226,14:57,28,65,0,2,0
804,Joe Thornton,35,SJS,C,78,16,49,65,-4,30,6.5,12,4,0,0,31,18,0,131,12.2,1437,18:25,24,39,535,405,56.9
277,Johnny Gaudreau,21,CGY,LW,80,24,40,64,11,14,7.8,16,8,0,4,27,13,0,167,14.4,1417,17:43,27,14,3,5,37.5
407,Patrick Kane,26,CHI,RW,61,27,37,64,10,10,8.8,21,6,0,5,21,16,0,186,14.5,1211,19:51,14,22,3,4,42.9
432,Anze Kopitar,27,LAK,C,79,16,48,64,-2,10,6.4,10,6,0,4,30,18,0,134,11.9,1532,19:23,45,104,736,674,52.2
764,Alex Steen,30,STL,LW,74,24,40,64,8,33,7.7,16,8,0,5,24,16,0,223,10.8,1479,19:59,37,32,222,210,51.4
770,Mark Stone,22,OTT,RW,80,26,38,64,21,14,8.7,20,5,1,6,30,8,0,157,16.6,1362,17:01,53,49,7,11,38.9
817,Kyle Turris,25,OTT,C,82,24,40,64,5,36,7.4,19,4,1,6,28,12,0,215,11.2,1576,19:13,40,48,737,730,50.2
212,Jordan Eberle,24,EDM,RW,81,24,39,63,-16,24,6.8,18,6,0,2,24,15,0,183,13.1,1542,19:03,36,62,1,5,16.7
256,Filip Forsberg,20,NSH,C,82,26,37,63,15,24,8.3,20,6,0,6,24,13,0,237,11,1421,17:20,28,108,3,4,42.9
600,Ondrej Palat,23,TBL,LW,75,16,47,63,31,24,7.8,12,3,1,5,38,8,1,139,11.5,1307,17:26,50,125,10,25,28.6
706,Jaden Schwartz,22,STL,LW,75,28,35,63,13,16,8.4,20,8,0,4,25,8,2,184,15.2,1368,18:15,46,53,69,77,47.3
842,Radim Vrbata,33,VAN,RW,79,31,32,63,6,20,8.6,19,12,0,7,21,11,0,267,11.6,1312,16:37,25,44,5,4,55.6
124,Jeff Carter,30,LAK,C,82,28,34,62,7,28,8,17,10,1,5,28,5,1,218,12.8,1474,17:58,32,74,602,577,51.1
