Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
323,Jarome Iginla,24,CGY,RW,82,52,44,96,27,77,14.4,35,16,1,7,29,14,1,311,16.7,1834,22:22,,,,,
542,Markus Naslund,28,VAN,LW,81,40,50,90,22,50,11.9,32,8,0,6,27,23,0,302,13.2,1580,19:31,,,,,
52,Todd Bertuzzi,26,VAN,RW,72,36,49,85,21,110,11.2,22,14,0,3,33,16,0,203,17.7,1416,19:40,,,,,
752,Mats Sundin*,30,TOR,C,82,41,39,80,6,94,10.3,29,10,2,9,24,14,1,262,15.6,1585,19:20,,,,,
327,Jaromir Jagr,29,WSH,RW,69,31,48,79,0,30,9.1,21,10,0,3,33,15,0,197,15.7,1498,21:43,,,,,
676,Joe Sakic*,32,COL,C,82,26,53,79,12,18,9.2,16,9,1,4,37,16,0,260,10,1805,22:01,,,,,
166,Pavol Demitra,27,STL,C,82,35,43,78,13,46,10.1,24,11,0,10,25,18,0,212,16.5,1573,19:11,,,,,
569,Adam Oates*,39,TOT,C,80,14,64,78,-4,28,6.6,11,3,0,1,38,26,0,102,13.7,1750,21:52,,,,,
229,Ron Francis*,38,CAR,C,80,27,50,77,4,18,8.7,13,14,0,5,21,28,1,165,16.4,1655,20:41,,,,,
515,Mike Modano*,31,DAL,C,78,34,43,77,14,38,9.6,26,6,2,5,23,18,2,219,15.5,1752,22:27,,,,,
389,Alex Kovalev,28,PIT,RW,67,32,44,76,2,80,9.1,23,8,1,3,30,14,0,266,12,1611,0:03,,,,,
132,Craig Conroy,30,CGY,C,81,27,48,75,24,32,9.4,18,7,2,4,30,17,1,146,18.5,1696,20:56,,,,,
703,Brendan Shanahan*,33,DET,LW,80,37,38,75,23,118,10.3,22,12,3,7,22,15,1,277,13.4,1513,18:55,,,,,
785,Keith Tkachuk,29,STL,LW,73,38,37,75,21,117,10.7,25,13,0,7,29,8,0,244,15.6,1433,19:38,,,,,
