Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
285,Jaromir Jagr,22,PIT,RW,48,32,38,70,23,37,8.3,21,8,3,7,24,14,0,192,16.7,,,,,,,
391,Eric Lindros*,21,PHI,C,46,29,41,70,27,60,8.8,22,7,0,4,24,17,0,144,20.1,,,,,,,
734,Alex Zhamnov,24,WIN,C,48,30,35,65,5,20,7.5,21,9,0,4,19,16,0,155,19.4,,,,,,,
588,Joe Sakic*,25,QUE,C,47,19,43,62,7,30,6.1,14,3,2,5,23,19,1,157,12.1,,,,,,,
207,Ron Francis*,31,PIT,C,44,11,48,59,30,18,5.8,8,3,0,1,29,18,1,94,11.7,,,,,,,
109,Paul Coffey*,33,DET,D,45,14,44,58,18,72,9,9,4,1,2,17,27,0,181,7.7,,,,,,,
203,Theoren Fleury,26,CGY,RW,47,29,29,58,6,112,6.8,18,9,2,5,17,11,1,173,16.8,,,,,,,
560,Mikael Renberg,22,PHI,RW,47,26,31,57,20,20,7.1,18,8,0,4,27,4,0,143,18.2,,,,,,,
375,John LeClair,25,TOT,LW,46,26,28,54,20,30,6.8,20,6,0,7,17,11,0,131,19.8,,,,,,,
449,Mark Messier*,34,NYR,C,46,14,39,53,8,40,5.4,8,3,3,2,22,17,0,126,11.1,,,,,,,
505,Adam Oates*,32,BOS,C,48,12,41,53,-11,8,4.5,7,4,1,2,22,19,0,109,11,,,,,,,
490,Bernie Nicholls,33,CHI,C,48,22,29,51,4,32,5.7,9,11,2,5,12,17,0,114,19.3,,,,,,,
674,Keith Tkachuk,22,WIN,LW,48,22,29,51,-4,152,5.2,13,7,2,2,16,10,3,129,17.1,,,,,,,
191,Sergei Fedorov*,25,DET,C,42,20,30,50,6,24,5.3,10,7,3,5,21,9,0,147,13.6,,,,,,,
206,Peter Forsberg*,21,QUE,C,47,15,35,50,17,16,5,12,3,0,3,22,12,1,86,17.4,,,,,,,
278,Brett Hull*,30,STL,RW,48,29,21,50,13,10,6.1,17,9,3,6,11,7,3,200,14.5,,,,,,,
494,Joe Nieuwendyk*,28,CGY,C,46,21,29,50,11,33,5.5,18,3,0,4,17,12,0,122,17.2,,,,,,,
375,John LeClair,25,PHI,LW,37,25,24,49,21,20,6.5,20,5,0,7,14,10,0,113,22.1,,,,,,,
497,Owen Nolan,22,QUE,RW,46,30,19,49,21,46,6.5,15,13,2,8,15,4,0,137,21.9,,,,,,,
235,Wayne Gretzky*,34,LAK,C,48,11,37,48,-20,6,3.3,8,3,0,1,15,19,3,142,7.7,,,,,,,
556,Mark Recchi*,26,TOT,RW,49,16,32,48,-9,28,4.3,7,9,0,3,25,7,0,121,13.2,,,,,,,
598,Teemu Selanne*,24,WIN,RW,45,22,26,48,1,2,5.1,12,8,2,1,16,10,0,167,13.2,,,,,,,
461,Alexander Mogilny,25,BUF,RW,44,19,28,47,0,36,5.1,7,12,0,2,13,14,1,148,12.8,,,,,,,
645,Mats Sundin*,23,TOR,C,47,23,24,47,-5,14,5.2,14,9,0,4,14,10,0,173,13.3,,,,,,,
682,Pierre Turgeon,25,TOT,C,49,24,23,47,0,14,5.4,17,5,2,4,11,12,0,160,15,,,,,,,
