Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
490,Evgeni Malkin,25,PIT,C,75,50,59,109,18,70,15.7,38,12,0,9,37,22,0,339,14.7,1577,21:01,41,29,575,635,47.5
759,Steven Stamkos,21,TBL,C,82,60,37,97,7,66,14.6,48,12,0,12,24,13,0,303,19.8,1806,22:01,37,109,558,669,45.5
285,Claude Giroux,24,PHI,RW,77,28,65,93,6,29,10.6,22,6,0,5,31,32,2,242,11.6,1659,21:33,44,70,828,715,53.7
748,Jason Spezza,28,OTT,C,80,34,50,84,11,36,10.5,24,10,0,2,36,14,0,232,14.7,1594,19:55,23,28,909,791,53.5
428,Ilya Kovalchuk,28,NJD,LW,77,37,46,83,-9,33,10.5,24,10,3,5,25,19,2,310,11.9,1882,0:26,18,27,13,24,35.1
407,Phil Kessel,24,TOR,RW,82,37,45,82,-10,20,9.9,27,10,0,6,32,13,0,295,12.5,1645,20:03,21,12,9,19,32.1
559,James Neal,24,PIT,LW,80,40,41,81,6,87,11,22,18,0,4,29,12,0,329,12.2,1531,19:08,15,108,4,11,26.7
712,Henrik Sedin,31,VAN,C,82,14,67,81,23,52,8.7,6,8,0,6,48,19,0,113,12.4,1565,19:05,17,32,652,650,50.1
800,John Tavares,21,NYI,C,82,31,50,81,-6,26,9.6,24,7,0,8,32,18,0,286,10.8,1687,20:34,23,27,813,772,51.3
213,Patrik Elias,35,NJD,LW,81,26,52,78,-8,16,9.1,16,8,2,3,29,21,2,164,15.9,1608,19:51,26,61,604,765,44.1
398,Erik Karlsson,21,OTT,D,81,19,59,78,16,42,13.1,16,3,0,5,34,25,0,261,7.3,2051,1:19,65,60,0,1,0
358,Marian Hossa,33,CHI,RW,81,29,48,77,18,20,9.4,18,9,2,4,36,11,1,248,11.7,1617,19:58,40,73,3,6,33.3
807,Joe Thornton,32,SJS,C,82,18,59,77,17,31,8.4,14,4,0,2,39,19,1,156,11.5,1678,20:28,26,42,557,436,56.1
863,Ray Whitney,39,PHX,LW,82,24,53,77,26,28,9.7,16,8,0,1,41,12,0,185,13,1529,18:39,10,28,4,11,26.7
208,Jordan Eberle,21,EDM,C,78,34,42,76,4,10,10.3,24,10,0,4,32,10,0,180,18.9,1373,17:36,24,45,12,15,44.4
261,Marian Gaborik,29,NYR,RW,82,41,35,76,15,34,11.2,31,10,0,7,24,11,0,276,14.9,1600,19:31,40,63,0,2,0
423,Anze Kopitar,24,LAK,C,82,25,51,76,12,20,9.5,15,8,2,2,31,18,2,230,10.9,1750,21:20,53,72,754,646,53.9
751,Martin St. Louis*,36,TBL,RW,77,25,49,74,-3,16,7.7,21,4,0,3,37,12,0,185,13.5,1743,22:38,39,17,18,23,43.9
