Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,season
Tampa Bay Lightning*,82,46,25,11,103,0.628,247,240,0.04,-0.05,0.561,40.0,32-25-25,0.5429999999999999,20102011
Carolina Hurricanes,82,40,31,11,91,0.555,236,239,-0.08,-0.04,0.488,35.0,29-31-22,0.488,20102011
Atlanta Thrashers,82,34,36,12,80,0.488,223,269,-0.57,-0.01,0.42700000000000005,29.0,19-36-27,0.396,20102011
Florida Panthers,82,30,40,12,72,0.439,195,229,-0.43,-0.01,0.384,26.0,20-40-22,0.37799999999999995,20102011
Detroit Red Wings*,82,47,25,10,104,0.634,261,241,0.27,0.03,0.573,43.0,34-25-23,0.555,20102011
Nashville Predators*,82,44,27,11,99,0.604,219,194,0.31,0.01,0.524,38.0,36-27-19,0.555,20102011
Chicago Blackhawks*,82,44,29,9,97,0.591,258,225,0.41,0.01,0.53,38.0,34-29-19,0.53,20102011
St. Louis Blues,82,38,33,11,87,0.53,240,234,0.11,0.04,0.47600000000000003,34.0,31-33-18,0.488,20102011
Columbus Blue Jackets,82,34,35,13,81,0.494,215,258,-0.45,0.08,0.433,29.0,24-35-23,0.433,20102011
Vancouver Canucks*,82,54,19,9,117,0.713,262,185,0.87,-0.07,0.665,50.0,46-19-17,0.665,20102011
Calgary Flames,82,41,29,12,94,0.573,250,237,0.14,-0.02,0.488,32.0,30-29-23,0.506,20102011
Minnesota Wild,82,39,35,8,86,0.524,206,233,-0.3,0.03,0.488,36.0,31-35-16,0.47600000000000003,20102011
Colorado Avalanche,82,30,44,8,68,0.415,227,288,-0.7,0.05,0.335,24.0,18-44-20,0.341,20102011
Edmonton Oilers,82,25,45,12,62,0.37799999999999995,193,269,-0.87,0.06,0.348,23.0,21-45-16,0.354,20102011
San Jose Sharks*,82,48,25,9,105,0.64,248,213,0.44,0.02,0.585,43.0,38-25-19,0.579,20102011
Anaheim Ducks*,82,47,30,5,99,0.604,239,235,0.09,0.05,0.561,43.0,34-30-18,0.524,20102011
Phoenix Coyotes*,82,43,26,13,99,0.604,231,226,0.11,0.05,0.53,38.0,36-26-20,0.561,20102011
Los Angeles Kings*,82,46,30,6,98,0.598,219,198,0.29,0.03,0.512,36.0,35-30-17,0.53,20102011
Dallas Stars,82,42,29,11,95,0.579,227,233,-0.02,0.05,0.524,37.0,32-29-21,0.518,20102011
New York Rangers*,82,51,24,7,109,0.665,226,187,0.46,-0.02,0.628,47.0,39-24-19,0.591,20112012
Pittsburgh Penguins*,82,51,25,6,108,0.659,282,221,0.71,-0.03,0.585,42.0,40-25-17,0.591,20112012
Philadelphia Flyers*,82,47,26,9,103,0.628,264,232,0.39,0.0,0.591,43.0,37-26-19,0.5670000000000001,20112012
New Jersey Devils*,82,48,28,6,102,0.622,228,209,0.23,0.0,0.537,36.0,32-28-22,0.524,20112012
New York Islanders,82,34,37,11,79,0.48200000000000004,203,255,-0.58,0.05,0.396,27.0,24-37-21,0.42100000000000004,20112012
Boston Bruins*,82,49,29,4,102,0.622,269,202,0.75,-0.07,0.561,40.0,38-29-15,0.555,20112012
Ottawa Senators*,82,41,31,10,92,0.561,249,240,0.09,-0.02,0.488,35.0,30-31-21,0.494,20112012
Buffalo Sabres,82,39,32,11,89,0.5429999999999999,218,230,-0.15,0.0,0.47600000000000003,32.0,27-32-23,0.47,20112012
Toronto Maple Leafs,82,35,37,10,80,0.488,231,264,-0.38,0.02,0.433,31.0,26-37-19,0.433,20112012
Montreal Canadiens,82,31,35,16,78,0.47600000000000003,212,226,-0.17,0.0,0.42100000000000004,26.0,24-35-23,0.433,20112012
Florida Panthers*,82,38,26,18,94,0.573,203,227,-0.33,-0.03,0.494,32.0,31-26-25,0.53,20112012
Washington Capitals*,82,42,32,8,92,0.561,222,230,-0.13,-0.03,0.512,38.0,31-32-19,0.494,20112012
Tampa Bay Lightning,82,38,36,8,84,0.512,235,281,-0.57,-0.01,0.46299999999999997,35.0,25-36-21,0.433,20112012
Winnipeg Jets,82,37,35,10,84,0.512,225,246,-0.3,-0.04,0.451,33.0,27-35-20,0.451,20112012
Carolina Hurricanes,82,33,33,16,82,0.5,213,243,-0.39,-0.02,0.433,32.0,29-33-20,0.47600000000000003,20112012
St. Louis Blues*,82,49,22,11,109,0.665,210,165,0.54,-0.01,0.634,45.0,42-22-18,0.622,20112012
Nashville Predators*,82,48,26,8,104,0.634,237,210,0.34,0.01,0.585,43.0,40-26-16,0.585,20112012
Detroit Red Wings*,82,48,28,6,102,0.622,248,203,0.55,0.0,0.5489999999999999,39.0,36-28-18,0.5489999999999999,20112012
Chicago Blackhawks*,82,45,26,11,101,0.616,248,238,0.14,0.02,0.5489999999999999,38.0,34-26-22,0.5489999999999999,20112012
Columbus Blue Jackets,82,29,46,7,65,0.396,202,262,-0.65,0.08,0.36,25.0,23-46-13,0.36,20112012
Vancouver Canucks*,82,51,22,9,111,0.677,249,198,0.57,-0.05,0.616,43.0,36-22-24,0.585,20112012
Calgary Flames,82,37,29,16,90,0.5489999999999999,202,226,-0.28,0.01,0.488,34.0,32-29-21,0.518,20112012
Colorado Avalanche,82,41,35,6,88,0.537,208,220,-0.13,0.01,0.457,32.0,25-35-22,0.439,20112012
Minnesota Wild,82,35,36,11,81,0.494,177,226,-0.58,0.02,0.415,24.0,22-36-24,0.415,20112012
Edmonton Oilers,82,32,40,10,74,0.451,212,239,-0.32,0.01,0.402,27.0,25-40-17,0.409,20112012
Phoenix Coyotes*,82,42,27,13,97,0.591,216,204,0.16,0.01,0.537,36.0,33-27-22,0.537,20112012
San Jose Sharks*,82,43,29,10,96,0.585,228,210,0.22,0.0,0.5,34.0,31-29-22,0.512,20112012
Los Angeles Kings*,82,40,27,15,95,0.579,194,179,0.19,0.01,0.506,34.0,31-27-24,0.524,20112012
Dallas Stars,82,42,35,5,89,0.5429999999999999,211,222,-0.1,0.03,0.494,35.0,31-35-16,0.47600000000000003,20112012
Anaheim Ducks,82,34,36,12,80,0.488,204,231,-0.29,0.04,0.439,31.0,29-36-17,0.457,20112012
Chicago Blackhawks*,48,36,7,5,77,0.802,155,102,1.04,-0.07,0.74,30.0,25-7-16,0.688,20122013
Pittsburgh Penguins*,48,36,12,0,72,0.75,165,119,0.91,-0.05,0.7190000000000001,33.0,31-12-5,0.698,20122013
Anaheim Ducks*,48,30,12,6,66,0.688,140,118,0.43,-0.02,0.594,24.0,23-12-13,0.615,20122013
Montreal Canadiens*,48,29,14,5,63,0.6559999999999999,149,126,0.46,-0.02,0.594,26.0,24-14-10,0.604,20122013
Boston Bruins*,48,28,14,6,62,0.6459999999999999,131,109,0.44,-0.02,0.573,24.0,23-14-11,0.594,20122013
St. Louis Blues*,48,29,17,2,60,0.625,129,115,0.31,0.02,0.563,24.0,20-17-11,0.531,20122013
Vancouver Canucks*,48,26,15,7,59,0.615,127,121,0.07,-0.06,0.552,21.0,20-15-13,0.552,20122013
Los Angeles Kings*,48,27,16,5,59,0.615,133,118,0.29,-0.02,0.583,25.0,24-16-8,0.583,20122013
Toronto Maple Leafs*,48,26,17,5,57,0.594,145,133,0.27,0.02,0.594,26.0,24-17-7,0.573,20122013
Washington Capitals*,48,27,18,3,57,0.594,149,130,0.31,-0.09,0.531,24.0,20-18-10,0.521,20122013
San Jose Sharks*,48,25,16,7,57,0.594,124,116,0.17,0.01,0.479,17.0,17-16-15,0.51,20122013
New York Rangers*,48,26,18,4,56,0.583,130,112,0.38,0.0,0.542,22.0,18-18-12,0.5,20122013
Ottawa Senators*,48,25,17,6,56,0.583,116,104,0.27,0.02,0.521,21.0,19-17-12,0.521,20122013
Detroit Red Wings*,48,24,16,8,56,0.583,124,115,0.2,0.01,0.531,22.0,20-16-12,0.542,20122013
New York Islanders*,48,24,17,7,55,0.573,139,139,0.03,0.03,0.49,20.0,18-17-13,0.51,20122013
Columbus Blue Jackets,48,24,17,7,55,0.573,120,119,0.03,0.01,0.49,19.0,14-17-17,0.469,20122013
Minnesota Wild*,48,26,19,3,55,0.573,122,127,-0.16,-0.05,0.521,22.0,19-19-10,0.5,20122013
Winnipeg Jets,48,24,21,3,51,0.531,128,144,-0.36,-0.03,0.51,22.0,18-21-9,0.469,20122013
Phoenix Coyotes,48,21,18,9,51,0.531,125,131,-0.1,0.03,0.45799999999999996,17.0,16-18-14,0.479,20122013
Philadelphia Flyers,48,23,22,3,49,0.51,133,141,-0.14,0.03,0.49,22.0,20-22-6,0.479,20122013
New Jersey Devils,48,19,19,10,48,0.5,112,129,-0.31,0.04,0.44799999999999995,17.0,16-19-13,0.469,20122013
Buffalo Sabres,48,21,21,6,48,0.5,125,143,-0.31,0.07,0.406,14.0,13-21-14,0.41700000000000004,20122013
Dallas Stars,48,22,22,4,48,0.5,130,142,-0.21,0.05,0.44799999999999995,20.0,18-22-8,0.45799999999999996,20122013
Edmonton Oilers,48,19,22,7,45,0.469,125,134,-0.22,-0.03,0.406,17.0,15-22-11,0.42700000000000005,20122013
Carolina Hurricanes,48,19,25,4,42,0.43799999999999994,128,160,-0.65,0.02,0.396,18.0,17-25-6,0.41700000000000004,20122013
Calgary Flames,48,19,25,4,42,0.43799999999999994,128,160,-0.65,0.02,0.42700000000000005,19.0,17-25-6,0.41700000000000004,20122013
Nashville Predators,48,16,23,9,41,0.42700000000000005,111,139,-0.5,0.09,0.375,14.0,11-23-14,0.375,20122013
Tampa Bay Lightning,48,18,26,4,40,0.41700000000000004,148,150,-0.11,-0.07,0.396,17.0,16-26-6,0.396,20122013
Colorado Avalanche,48,16,25,7,39,0.406,116,152,-0.73,0.02,0.33299999999999996,14.0,11-25-12,0.354,20122013
Florida Panthers,48,15,27,6,36,0.375,112,171,-1.18,0.05,0.292,12.0,11-27-10,0.33299999999999996,20122013
Boston Bruins*,82,54,19,9,117,0.713,261,177,0.92,-0.11,0.677,51.0,47-19-16,0.6709999999999999,20132014
Tampa Bay Lightning*,82,46,27,9,101,0.616,240,215,0.25,-0.06,0.5489999999999999,38.0,32-27-23,0.53,20132014
Montreal Canadiens*,82,46,28,8,100,0.61,215,204,0.08,-0.05,0.5429999999999999,40.0,33-28-21,0.53,20132014
Detroit Red Wings*,82,39,28,15,93,0.5670000000000001,222,230,-0.14,-0.04,0.5,34.0,30-28-24,0.512,20132014
Ottawa Senators,82,37,31,14,88,0.537,236,265,-0.37,-0.02,0.451,30.0,27-31-24,0.47600000000000003,20132014
Toronto Maple Leafs,82,38,36,8,84,0.512,231,256,-0.34,-0.04,0.433,29.0,24-36-22,0.42700000000000005,20132014
Florida Panthers,82,29,45,8,66,0.402,196,268,-0.87,0.01,0.341,21.0,21-45-16,0.354,20132014
Buffalo Sabres,82,21,51,10,52,0.317,157,248,-1.09,0.02,0.244,14.0,11-51-20,0.256,20132014
Pittsburgh Penguins*,82,51,24,7,109,0.665,249,207,0.47,-0.04,0.598,44.0,40-24-18,0.598,20132014
New York Rangers*,82,45,31,6,96,0.585,218,193,0.26,-0.04,0.5429999999999999,41.0,39-31-12,0.5489999999999999,20132014
Philadelphia Flyers*,82,42,30,10,94,0.573,236,235,-0.01,-0.02,0.5429999999999999,39.0,35-30-17,0.53,20132014
Columbus Blue Jackets*,82,43,32,7,93,0.5670000000000001,231,216,0.16,-0.03,0.506,38.0,35-32-15,0.518,20132014
Washington Capitals,82,38,30,14,90,0.5489999999999999,235,240,-0.08,-0.02,0.47,28.0,24-30-28,0.46299999999999997,20132014
New Jersey Devils,82,35,29,18,88,0.537,197,208,-0.15,-0.02,0.506,35.0,26-29-27,0.48200000000000004,20132014
Carolina Hurricanes,82,36,35,11,83,0.506,207,230,-0.29,-0.01,0.451,34.0,30-35-17,0.47,20132014
New York Islanders,82,34,37,11,79,0.48200000000000004,225,267,-0.51,0.0,0.396,25.0,21-37-24,0.402,20132014
Colorado Avalanche*,82,52,22,8,112,0.6829999999999999,250,220,0.4,0.04,0.628,47.0,37-22-23,0.591,20132014
St. Louis Blues*,82,52,23,7,111,0.677,248,191,0.71,0.01,0.598,43.0,40-23-19,0.604,20132014
Chicago Blackhawks*,82,46,21,15,107,0.652,267,220,0.6,0.02,0.573,40.0,39-21-22,0.61,20132014
Minnesota Wild*,82,43,27,12,98,0.598,207,206,0.07,0.05,0.524,35.0,32-27-23,0.53,20132014
Dallas Stars*,82,40,31,11,91,0.555,235,228,0.14,0.05,0.494,36.0,34-31-17,0.518,20132014
Nashville Predators,82,38,32,12,88,0.537,216,242,-0.25,0.07,0.506,36.0,33-32-17,0.506,20132014
Winnipeg Jets,82,37,35,10,84,0.512,227,237,-0.07,0.06,0.439,29.0,24-35-23,0.433,20132014
Anaheim Ducks*,82,54,20,8,116,0.7070000000000001,266,209,0.68,-0.01,0.677,51.0,44-20-18,0.6459999999999999,20132014
San Jose Sharks*,82,51,22,9,111,0.677,249,200,0.6,0.0,0.604,41.0,37-22-23,0.591,20132014
Los Angeles Kings*,82,46,28,8,100,0.61,206,174,0.4,0.01,0.5489999999999999,38.0,34-28-20,0.537,20132014
Phoenix Coyotes,82,37,30,15,89,0.5429999999999999,216,231,-0.16,0.03,0.457,31.0,28-30-24,0.488,20132014
Vancouver Canucks,82,36,35,11,83,0.506,196,223,-0.3,0.03,0.451,31.0,25-35-22,0.439,20132014
Calgary Flames,82,35,40,7,77,0.47,209,241,-0.35,0.04,0.402,28.0,21-40-21,0.384,20132014
Edmonton Oilers,82,29,44,9,67,0.409,203,270,-0.75,0.07,0.348,25.0,20-44-18,0.354,20132014
New York Rangers*,82,53,22,7,113,0.6890000000000001,252,192,0.69,-0.04,0.652,49.0,43-22-17,0.628,20142015
ontreal Canadiens*,82,50,22,10,110,0.6709999999999999,221,189,0.36,-0.03,0.598,43.0,37-22-23,0.591,20142015
St. Louis Blues*,82,51,24,7,109,0.665,248,201,0.59,0.02,0.591,42.0,37-24-21,0.579,20142015
Anaheim Ducks*,82,51,24,7,109,0.665,236,226,0.1,-0.03,0.604,43.0,35-24-23,0.5670000000000001,20142015
Tampa Bay Lightning*,82,50,24,8,108,0.659,262,211,0.57,-0.06,0.622,47.0,43-24-15,0.616,20142015
Nashville Predators*,82,47,25,10,104,0.634,232,208,0.33,0.03,0.573,41.0,33-25-24,0.5489999999999999,20142015
Chicago Blackhawks*,82,48,28,6,102,0.622,229,189,0.51,0.02,0.5489999999999999,39.0,36-28-18,0.5489999999999999,20142015
New York Islanders*,82,47,28,7,101,0.616,252,230,0.26,-0.01,0.5670000000000001,40.0,34-28-20,0.537,20142015
Washington Capitals*,82,45,26,11,101,0.616,242,203,0.44,-0.03,0.5429999999999999,40.0,35-26-21,0.555,20142015
Vancouver Canucks*,82,48,29,5,101,0.616,242,222,0.2,-0.05,0.561,42.0,36-29-17,0.5429999999999999,20142015
Detroit Red Wings*,82,43,25,14,100,0.61,235,221,0.14,-0.03,0.561,39.0,32-25-25,0.5429999999999999,20142015
Minnesota Wild*,82,46,28,8,100,0.61,231,201,0.39,0.03,0.555,42.0,38-28-16,0.561,20142015
Ottawa Senators*,82,43,26,13,99,0.604,238,215,0.25,-0.04,0.53,37.0,30-26-26,0.524,20142015
Winnipeg Jets*,82,43,26,13,99,0.604,230,210,0.29,0.04,0.518,36.0,32-26-24,0.537,20142015
Pittsburgh Penguins*,82,43,27,12,98,0.598,221,210,0.12,-0.01,0.537,39.0,33-27-22,0.537,20142015
Calgary Flames*,82,45,30,7,97,0.591,241,216,0.26,-0.05,0.5429999999999999,41.0,32-30-20,0.512,20142015
Boston Bruins,82,41,27,14,96,0.585,213,211,0.01,-0.01,0.537,37.0,28-27-27,0.506,20142015
Los Angeles Kings,82,40,27,15,95,0.579,220,205,0.16,-0.03,0.524,38.0,37-27-18,0.561,20142015
Dallas Stars,82,41,31,10,92,0.561,261,260,0.06,0.05,0.494,37.0,33-31-18,0.512,20142015
Florida Panthers,82,38,29,15,91,0.555,206,223,-0.23,-0.02,0.47600000000000003,30.0,29-29-24,0.5,20142015
Colorado Avalanche,82,39,31,12,90,0.5489999999999999,219,227,-0.04,0.06,0.439,29.0,27-31-24,0.47600000000000003,20142015
Columbus Blue Jackets,82,42,35,5,89,0.5429999999999999,236,250,-0.16,0.01,0.47,33.0,28-35-19,0.457,20142015
San Jose Sharks,82,40,33,9,89,0.5429999999999999,228,232,-0.08,-0.03,0.5,36.0,34-33-15,0.506,20142015
Philadelphia Flyers,82,33,31,18,84,0.512,215,234,-0.23,0.0,0.451,30.0,25-31-26,0.46299999999999997,20142015
New Jersey Devils,82,32,36,14,78,0.47600000000000003,181,216,-0.4,0.02,0.402,27.0,26-36-20,0.439,20142015
Carolina Hurricanes,82,30,41,11,71,0.433,188,226,-0.44,0.02,0.37799999999999995,25.0,24-41-17,0.396,20142015
Toronto Maple Leafs,82,30,44,8,68,0.415,211,262,-0.61,0.02,0.366,25.0,22-44-16,0.366,20142015
Edmonton Oilers,82,24,44,14,62,0.37799999999999995,198,283,-1.01,0.03,0.305,19.0,17-44-21,0.335,20142015
Arizona Coyotes,82,24,50,8,56,0.341,170,272,-1.2,0.04,0.293,19.0,14-50-18,0.28,20142015
Buffalo Sabres,82,23,51,8,54,0.32899999999999996,161,274,-1.33,0.05,0.262,15.0,14-51-17,0.27399999999999997,20142015
orida Panthers*,82,47,26,9,103,0.628,239,203,0.42,-0.02,0.5489999999999999,40.0,39-26-17,0.579,20152016
Tampa Bay Lightning*,82,46,31,5,97,0.591,227,201,0.3,-0.02,0.561,43.0,36-31-15,0.53,20152016
Detroit Red Wings*,82,41,30,11,93,0.5670000000000001,211,224,-0.16,0.0,0.518,39.0,30-30-22,0.5,20152016
Boston Bruins,82,42,31,9,93,0.5670000000000001,240,230,0.11,-0.02,0.5,38.0,33-31-18,0.512,20152016
Ottawa Senators,82,38,35,9,85,0.518,236,247,-0.13,0.01,0.46299999999999997,32.0,26-35-21,0.445,20152016
Montreal Canadiens,82,38,38,6,82,0.5,221,236,-0.18,0.0,0.451,33.0,30-38-14,0.451,20152016
Buffalo Sabres,82,35,36,11,81,0.494,201,222,-0.25,0.01,0.457,33.0,29-36-17,0.457,20152016
Toronto Maple Leafs,82,29,42,11,69,0.42100000000000004,198,246,-0.56,0.03,0.354,23.0,20-42-20,0.366,20152016
Washington Capitals*,82,56,18,8,120,0.732,252,193,0.7,-0.02,0.6709999999999999,52.0,45-18-19,0.665,20152016
Pittsburgh Penguins*,82,48,26,8,104,0.634,245,203,0.5,-0.01,0.585,44.0,38-26-18,0.573,20152016
New York Rangers*,82,46,27,9,101,0.616,236,217,0.24,0.01,0.555,43.0,39-27-16,0.573,20152016
New York Islanders*,82,45,27,10,100,0.61,232,216,0.19,0.0,0.5489999999999999,40.0,34-27-21,0.5429999999999999,20152016
Philadelphia Flyers*,82,41,27,14,96,0.585,214,218,-0.03,0.02,0.53,38.0,28-27-27,0.506,20152016
Carolina Hurricanes,82,35,31,16,86,0.524,198,226,-0.31,0.03,0.445,33.0,25-31-26,0.46299999999999997,20152016
New Jersey Devils,82,38,36,8,84,0.512,184,208,-0.28,0.02,0.488,36.0,27-36-19,0.445,20152016
Columbus Blue Jackets,82,34,40,8,76,0.46299999999999997,219,252,-0.38,0.03,0.402,28.0,26-40-16,0.415,20152016
Dallas Stars*,82,50,23,9,109,0.665,267,230,0.45,-0.01,0.61,48.0,42-23-17,0.616,20152016
St. Louis Blues*,82,49,24,9,107,0.652,224,201,0.28,0.0,0.591,44.0,36-24-22,0.573,20152016
Chicago Blackhawks*,82,47,26,9,103,0.628,235,209,0.32,0.0,0.579,46.0,36-26-20,0.561,20152016
Nashville Predators*,82,41,27,14,96,0.585,228,215,0.17,0.01,0.488,37.0,35-27-20,0.5489999999999999,20152016
Minnesota Wild*,82,38,33,11,87,0.53,216,206,0.13,0.01,0.457,35.0,34-33-15,0.506,20152016
Colorado Avalanche,82,39,39,4,82,0.5,216,240,-0.26,0.03,0.451,35.0,33-39-10,0.46299999999999997,20152016
Winnipeg Jets,82,35,39,8,78,0.47600000000000003,215,239,-0.26,0.03,0.42700000000000005,32.0,29-39-14,0.439,20152016
Anaheim Ducks*,82,46,25,11,103,0.628,218,192,0.27,-0.05,0.5670000000000001,43.0,39-25-18,0.585,20152016
Los Angeles Kings*,82,48,28,6,102,0.622,225,195,0.32,-0.04,0.591,46.0,34-28-20,0.537,20152016
San Jose Sharks*,82,46,30,6,98,0.598,241,210,0.33,-0.05,0.555,42.0,37-30-15,0.5429999999999999,20152016
Arizona Coyotes,82,35,39,8,78,0.47600000000000003,209,245,-0.43,0.01,0.42700000000000005,34.0,29-39-14,0.439,20152016
Calgary Flames,82,35,40,7,77,0.47,231,260,-0.36,-0.01,0.433,33.0,24-40-18,0.402,20152016
Vancouver Canucks,82,31,38,13,75,0.457,191,243,-0.62,0.02,0.37200000000000005,26.0,22-38-22,0.402,20152016
Edmonton Oilers,82,31,43,8,70,0.42700000000000005,203,245,-0.51,0.0,0.37200000000000005,27.0,20-43-19,0.36,20152016
Montreal Canadiens*,82,47,26,9,103,0.628,226,200,0.31,-0.01,0.5670000000000001,44.0,33-26-23,0.5429999999999999,20162017
Ottawa Senators*,82,44,28,10,98,0.598,212,214,-0.01,0.01,0.524,38.0,34-28-20,0.537,20162017
Boston Bruins*,82,44,31,7,95,0.579,234,212,0.27,0.0,0.5429999999999999,42.0,38-31-13,0.5429999999999999,20162017
Toronto Maple Leafs*,82,40,27,15,95,0.579,251,242,0.11,0.0,0.53,39.0,33-27-22,0.537,20162017
Tampa Bay Lightning,82,42,30,10,94,0.573,234,227,0.09,0.01,0.506,38.0,32-30-20,0.512,20162017
Florida Panthers,82,35,36,11,81,0.494,210,237,-0.3,0.03,0.433,30.0,23-36-23,0.42100000000000004,20162017
Detroit Red Wings,82,33,36,13,79,0.48200000000000004,207,244,-0.41,0.04,0.348,24.0,17-36-29,0.384,20162017
Buffalo Sabres,82,33,37,12,78,0.47600000000000003,201,237,-0.41,0.03,0.42700000000000005,31.0,25-37-20,0.42700000000000005,20162017
Washington Capitals*,82,55,19,8,118,0.72,263,182,0.99,0.0,0.6890000000000001,53.0,45-19-18,0.659,20162017
Pittsburgh Penguins*,82,50,21,11,111,0.677,282,234,0.59,0.01,0.616,46.0,40-21-21,0.616,20162017
Columbus Blue Jackets*,82,50,24,8,108,0.659,249,195,0.68,0.02,0.61,48.0,39-24-19,0.591,20162017
New York Rangers*,82,48,28,6,102,0.622,256,220,0.47,0.03,0.591,45.0,40-28-14,0.573,20162017
New York Islanders,82,41,29,12,94,0.573,241,242,0.03,0.05,0.512,39.0,33-29-20,0.524,20162017
Philadelphia Flyers,82,39,33,10,88,0.537,219,236,-0.17,0.04,0.46299999999999997,32.0,25-33-24,0.451,20162017
Carolina Hurricanes,82,36,31,15,87,0.53,215,236,-0.21,0.05,0.457,33.0,28-31-23,0.48200000000000004,20162017
New Jersey Devils,82,28,40,14,70,0.42700000000000005,183,244,-0.67,0.08,0.341,25.0,18-40-24,0.366,20162017
Chicago Blackhawks*,82,50,23,9,109,0.665,244,213,0.32,-0.06,0.591,46.0,37-23-22,0.585,20162017
Minnesota Wild*,82,49,25,8,106,0.6459999999999999,266,208,0.63,-0.08,0.591,46.0,42-25-15,0.604,20162017
St. Louis Blues*,82,46,29,7,99,0.604,235,218,0.17,-0.04,0.561,44.0,38-29-15,0.555,20162017
Nashville Predators*,82,41,29,12,94,0.573,240,224,0.16,-0.04,0.512,39.0,35-29-18,0.537,20162017
Winnipeg Jets,82,40,35,7,87,0.53,249,256,-0.11,-0.03,0.47600000000000003,37.0,33-35-14,0.488,20162017
Dallas Stars,82,34,37,11,79,0.48200000000000004,223,262,-0.48,-0.01,0.42100000000000004,33.0,28-37-17,0.445,20162017
Colorado Avalanche,82,22,56,4,48,0.293,166,278,-1.32,0.05,0.27399999999999997,21.0,14-56-12,0.244,20162017
Anaheim Ducks*,82,46,23,13,105,0.64,223,200,0.24,-0.04,0.561,43.0,40-23-19,0.604,20162017
Edmonton Oilers*,82,47,26,9,103,0.628,247,212,0.37,-0.06,0.579,43.0,37-26-19,0.5670000000000001,20162017
San Jose Sharks*,82,46,29,7,99,0.604,221,201,0.21,-0.03,0.555,44.0,38-29-15,0.555,20162017
Calgary Flames*,82,45,33,4,94,0.573,226,221,0.02,-0.04,0.537,41.0,32-33-17,0.494,20162017
Los Angeles Kings,82,39,35,8,86,0.524,201,205,-0.07,-0.02,0.488,37.0,25-35-22,0.439,20162017
Arizona Coyotes,82,30,42,10,70,0.42700000000000005,197,260,-0.76,0.01,0.341,24.0,20-42-20,0.366,20162017
Vancouver Canucks,82,30,43,9,69,0.42100000000000004,182,243,-0.73,0.01,0.354,26.0,19-43-20,0.354,20162017
ampa Bay Lightning*,82,54,23,5,113,0.6890000000000001,296,236,0.66,-0.07,0.634,48.0,42-23-17,0.616,20172018
Boston Bruins*,82,50,20,12,112,0.6829999999999999,270,214,0.62,-0.07,0.61,47.0,41-20-21,0.628,20172018
Toronto Maple Leafs*,82,49,26,7,105,0.64,277,232,0.49,-0.06,0.5670000000000001,42.0,37-26-19,0.5670000000000001,20172018
Florida Panthers,82,44,30,8,96,0.585,248,246,-0.01,-0.04,0.537,41.0,38-30-14,0.5489999999999999,20172018
Detroit Red Wings,82,30,39,13,73,0.445,217,255,-0.48,-0.01,0.341,25.0,22-39-21,0.396,20172018
Montreal Canadiens,82,29,40,13,71,0.433,209,264,-0.68,0.0,0.37799999999999995,27.0,24-40-18,0.402,20172018
Ottawa Senators,82,28,43,11,67,0.409,221,291,-0.85,0.0,0.37200000000000005,26.0,18-43-21,0.348,20172018
Buffalo Sabres,82,25,45,12,62,0.37799999999999995,199,280,-0.98,0.01,0.311,24.0,19-45-18,0.341,20172018
Washington Capitals*,82,49,26,7,105,0.64,259,239,0.21,-0.04,0.585,46.0,38-26-18,0.573,20172018
Pittsburgh Penguins*,82,47,29,6,100,0.61,272,250,0.23,-0.04,0.573,45.0,33-29-20,0.524,20172018
Philadelphia Flyers*,82,42,26,14,98,0.598,251,243,0.07,-0.03,0.5429999999999999,40.0,31-26-25,0.53,20172018
Columbus Blue Jackets*,82,45,30,7,97,0.591,242,230,0.11,-0.04,0.537,39.0,30-30-22,0.5,20172018
New Jersey Devils*,82,44,29,9,97,0.591,248,244,0.02,-0.03,0.53,39.0,33-29-20,0.524,20172018
Carolina Hurricanes,82,36,35,11,83,0.506,228,256,-0.35,-0.01,0.439,33.0,30-35-17,0.47,20172018
New York Islanders,82,35,37,10,80,0.488,264,296,-0.4,-0.01,0.42700000000000005,32.0,25-37-20,0.42700000000000005,20172018
New York Rangers,82,34,39,9,77,0.47,231,268,-0.46,-0.01,0.42700000000000005,31.0,24-39-19,0.409,20172018
Nashville Predators*,82,53,18,11,117,0.713,267,211,0.71,0.03,0.652,47.0,42-18-22,0.6459999999999999,20172018
Winnipeg Jets*,82,52,20,10,114,0.695,277,218,0.74,0.02,0.622,48.0,43-20-19,0.64,20172018
Minnesota Wild*,82,45,26,11,101,0.616,253,232,0.29,0.04,0.5489999999999999,42.0,38-26-18,0.573,20172018
Colorado Avalanche*,82,43,30,9,95,0.579,257,237,0.28,0.04,0.518,41.0,35-30-17,0.53,20172018
St. Louis Blues,82,44,32,6,94,0.573,226,222,0.1,0.05,0.518,41.0,33-32-17,0.506,20172018
Dallas Stars,82,42,32,8,92,0.561,235,225,0.17,0.04,0.506,38.0,33-32-17,0.506,20172018
Chicago Blackhawks,82,33,39,10,76,0.46299999999999997,229,256,-0.26,0.07,0.409,32.0,26-39-17,0.42100000000000004,20172018
Vegas Golden Knights*,82,51,24,7,109,0.665,272,228,0.52,-0.01,0.616,47.0,39-24-19,0.591,20172018
Anaheim Ducks*,82,44,25,13,101,0.616,235,216,0.24,0.01,0.555,40.0,35-25-22,0.561,20172018
