,Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS,season
430,8,Zdeno Chara,32,BOS,D,88,6.62,0.0,3.0,7.0,6.0,14.0,7,37,44,19,3.1,7.2,0,10.2,20092010
431,9,Christian Ehrhoff,27,VAN,D,21,1.58,0.0,1.0,0.0,3.0,5.0,14,30,44,36,4.1,6.0,0,10.2,20092010
432,10,Mark Streit,32,NYI,D,15,1.13,0.0,1.0,1.0,1.0,0.0,11,38,49,0,4.0,4.1,0,8.1,20092010
433,11,Ryan Suter,25,NSH,D,13,0.98,0.0,0.0,2.0,1.0,0.0,4,33,37,4,2.2,4.6,0,6.8,20092010
434,12,Brian Rafalski,36,DET,D,12,0.9,0.0,0.0,2.0,0.0,2.0,8,34,42,23,3.2,6.5,0,9.7,20092010
435,13,Brent Seabrook,24,CHI,D,10,0.75,0.0,0.0,2.0,0.0,0.0,4,26,30,20,1.5,5.4,0,6.9,20092010
436,14,Sergei Gonchar,35,PIT,D,8,0.6,0.0,1.0,0.0,0.0,1.0,11,39,50,-4,4.8,2.6,0,7.4,20092010
437,15,Tyler Myers,19,BUF,D,6,0.45,0.0,0.0,0.0,0.0,6.0,11,37,48,13,4.0,5.8,0,9.8,20092010
438,16,Dion Phaneuf,24,TOT,D,3,0.23,0.0,0.0,0.0,1.0,0.0,12,20,32,1,2.5,4.6,0,7.0,20092010
439,16,Jeff Schultz,23,WSH,D,3,0.23,0.0,0.0,0.0,1.0,0.0,3,20,23,50,1.1,5.3,0,6.4,20092010
440,18,Ed Jovanovski,33,PHX,D,1,0.08,0.0,0.0,0.0,0.0,1.0,10,24,34,-12,3.1,2.4,0,5.5,20092010
441,18,Chris Phillips,31,OTT,D,1,0.08,0.0,0.0,0.0,0.0,1.0,8,16,24,8,1.3,4.9,0,6.2,20092010
442,18,Anton Volchenkov,27,OTT,D,1,0.08,0.0,0.0,0.0,0.0,1.0,4,10,14,2,0.4,3.2,0,3.6,20092010
443,1,Nicklas Lidstrom,40,DET,D,736,57.95,35.0,23.0,34.0,15.0,10.0,16,46,62,-2,6.2,3.3,0,9.5,20102011
444,2,Shea Weber,25,NSH,D,727,57.24,32.0,41.0,14.0,14.0,8.0,16,32,48,7,4.6,5.5,0,10.1,20102011
445,3,Zdeno Chara,33,BOS,D,688,54.17,33.0,24.0,24.0,20.0,10.0,14,30,44,33,4.0,6.0,0,10.0,20102011
446,4,Lubomir Visnovsky,34,ANA,D,573,45.12,20.0,20.0,26.0,28.0,19.0,18,50,68,18,7.0,5.8,0,12.8,20102011
447,5,Keith Yandle,24,PHX,D,312,24.57,5.0,10.0,17.0,25.0,32.0,11,48,59,12,5.4,4.5,0,9.9,20102011
448,6,Kris Letang,23,PIT,D,144,11.34,2.0,3.0,9.0,12.0,22.0,8,42,50,15,4.1,5.7,0,9.8,20102011
449,7,Dustin Byfuglien,25,ATL,D,33,2.6,0.0,2.0,1.0,3.0,5.0,20,33,53,-2,6.0,3.6,0,9.6,20102011
450,8,Christian Ehrhoff,28,VAN,D,28,2.2,0.0,0.0,1.0,6.0,5.0,14,36,50,19,4.8,5.6,0,10.4,20102011
451,9,Duncan Keith,27,CHI,D,24,1.89,0.0,1.0,1.0,3.0,3.0,7,38,45,-1,3.1,4.1,0,7.2,20102011
452,10,Drew Doughty,21,LAK,D,8,0.63,0.0,1.0,0.0,0.0,1.0,11,29,40,13,3.3,6.3,0,9.6,20102011
453,10,Chris Pronger,36,PHI,D,8,0.63,0.0,1.0,0.0,0.0,1.0,4,21,25,7,1.9,2.3,0,4.2,20102011
454,10,Matt Carle,26,PHI,D,8,0.63,0.0,1.0,0.0,0.0,1.0,1,39,40,30,2.5,5.2,0,7.7,20102011
455,12,Toni Lydman,33,ANA,D,3,0.24,0.0,0.0,0.0,1.0,0.0,3,22,25,32,1.0,6.4,0,7.4,20102011
456,12,Dan Boyle,34,SJS,D,3,0.24,0.0,0.0,0.0,0.0,3.0,9,41,50,2,4.1,4.2,0,8.3,20102011
457,15,Ryan Suter,26,NSH,D,2,0.16,0.0,0.0,0.0,0.0,2.0,4,35,39,20,2.7,5.8,0,8.5,20102011
458,16,Brian Campbell,31,CHI,D,1,0.08,0.0,0.0,0.0,0.0,1.0,5,22,27,28,1.8,5.2,0,6.9,20102011
459,16,Dan Hamhuis,28,VAN,D,1,0.08,0.0,0.0,0.0,0.0,1.0,6,17,23,29,1.5,5.5,0,7.0,20102011
460,16,Andrej Meszaros,25,PHI,D,1,0.08,0.0,0.0,0.0,0.0,1.0,8,24,32,30,2.5,5.1,0,7.5,20102011
461,16,Tyler Myers,20,BUF,D,1,0.08,0.0,0.0,0.0,0.0,1.0,10,27,37,0,3.1,3.4,0,6.5,20102011
462,16,Marc Staal,24,NYR,D,1,0.08,0.0,0.0,0.0,0.0,1.0,7,22,29,8,1.7,5.3,0,6.9,20102011
463,1,Erik Karlsson,21,OTT,D,1069,71.74,66.0,31.0,32.0,9.0,5.0,19,59,78,16,8.6,4.5,0,13.1,20112012
464,2,Shea Weber,26,NSH,D,1057,70.94,49.0,54.0,32.0,9.0,2.0,19,30,49,21,5.2,6.2,0,11.4,20112012
465,3,Zdeno Chara,34,BOS,D,950,63.76,32.0,48.0,47.0,19.0,2.0,12,40,52,33,5.1,5.9,0,10.9,20112012
466,4,Alex Pietrangelo,22,STL,D,381,25.57,0.0,7.0,20.0,68.0,28.0,12,39,51,16,4.8,6.4,0,11.2,20112012
467,5,Nicklas Lidstrom,41,DET,D,132,8.86,0.0,5.0,4.0,16.0,29.0,11,23,34,21,3.0,4.9,0,7.9,20112012
468,6,Dan Girardi,27,NYR,D,70,4.7,2.0,0.0,4.0,6.0,12.0,5,24,29,13,1.3,6.0,0,7.2,20112012
469,7,Brian Campbell,32,FLA,D,58,3.89,0.0,2.0,2.0,6.0,16.0,4,49,53,-9,3.8,4.6,0,8.4,20112012
470,8,Ryan Suter,27,NSH,D,57,3.83,0.0,1.0,3.0,5.0,20.0,7,39,46,15,3.5,5.8,0,9.2,20112012
471,9,Kris Letang,24,PIT,D,40,2.68,0.0,0.0,4.0,3.0,11.0,10,32,42,21,4.4,3.8,0,8.1,20112012
472,10,Dan Hamhuis,29,VAN,D,21,1.41,0.0,1.0,0.0,3.0,5.0,4,33,37,29,2.3,6.3,0,8.6,20112012
473,11,Ryan McDonagh,22,NYR,D,13,0.87,0.0,0.0,1.0,2.0,2.0,7,25,32,25,2.0,6.7,0,8.7,20112012
474,12,Michael Del Zotto,21,NYR,D,5,0.34,0.0,0.0,0.0,1.0,2.0,10,31,41,20,3.7,5.6,0,9.3,20112012
475,13,Duncan Keith,28,CHI,D,4,0.27,0.0,0.0,0.0,1.0,1.0,4,36,40,15,2.6,4.5,0,7.1,20112012
476,13,Keith Yandle,25,PHX,D,4,0.27,0.0,0.0,0.0,1.0,1.0,11,32,43,5,3.9,4.3,0,8.1,20112012
477,13,Dustin Byfuglien,26,WPG,D,4,0.27,0.0,0.0,0.0,0.0,4.0,12,41,53,-8,5.5,2.2,0,7.6,20112012
478,13,Alexander Edler,25,VAN,D,4,0.27,0.0,0.0,0.0,0.0,4.0,11,38,49,0,4.4,3.9,0,8.3,20112012
479,17,Dan Boyle,35,SJS,D,2,0.13,0.0,0.0,0.0,0.0,2.0,9,39,48,10,3.9,5.5,0,9.4,20112012
480,18,Kevin Bieksa,30,VAN,D,1,0.07,0.0,0.0,0.0,0.0,1.0,8,36,44,12,3.6,4.7,0,8.3,20112012
481,18,Willie Mitchell,34,LAK,D,1,0.07,0.0,0.0,0.0,0.0,1.0,5,19,24,20,1.3,6.6,0,7.9,20112012
482,18,Kevin Shattenkirk,23,STL,D,1,0.07,0.0,0.0,0.0,0.0,1.0,9,34,43,20,3.9,6.1,0,10.0,20112012
483,1,P.K. Subban,23,MTL,D,1266,71.12,66.0,56.0,35.0,12.0,3.0,11,27,38,12,4.3,2.9,0,7.1,20122013
484,2,Ryan Suter,28,MIN,D,1230,69.1,65.0,54.0,34.0,8.0,8.0,4,28,32,2,2.4,3.6,0,6.0,20122013
485,3,Kris Letang,25,PIT,D,914,51.35,31.0,37.0,42.0,39.0,18.0,5,33,38,16,3.7,2.6,0,6.3,20122013
486,4,Francois Beauchemin,32,ANA,D,290,16.29,1.0,6.0,20.0,33.0,39.0,6,18,24,19,2.0,3.8,0,5.8,20122013
487,5,Zdeno Chara,35,BOS,D,289,16.24,10.0,9.0,16.0,8.0,22.0,7,12,19,14,1.5,3.7,0,5.2,20122013
488,6,Duncan Keith,29,CHI,D,281,15.79,1.0,8.0,16.0,36.0,27.0,3,24,27,16,2.1,3.4,0,5.5,20122013
489,7,Oliver Ekman-Larsson,21,PHX,D,79,4.44,3.0,1.0,2.0,8.0,8.0,3,21,24,5,1.6,2.8,0,4.3,20122013
490,8,Shea Weber,27,NSH,D,49,2.75,0.0,1.0,4.0,5.0,7.0,9,19,28,-2,2.6,2.7,0,5.3,20122013
491,9,Drew Doughty,23,LAK,D,43,2.42,0.0,1.0,2.0,7.0,5.0,6,16,22,4,1.6,3.3,0,4.9,20122013
492,10,Niklas Kronwall,32,DET,D,33,1.85,0.0,2.0,1.0,3.0,5.0,5,24,29,-5,2.4,2.4,0,4.8,20122013
493,11,Dion Phaneuf,27,TOR,D,28,1.57,0.0,1.0,1.0,4.0,4.0,9,19,28,-4,2.7,1.9,0,4.6,20122013
494,12,Keith Yandle,26,PHX,D,27,1.52,0.0,0.0,0.0,6.0,9.0,10,20,30,4,3.2,2.4,0,5.6,20122013
495,13,Andrei Markov,34,MTL,D,23,1.29,1.0,0.0,1.0,1.0,5.0,10,20,30,-9,3.0,1.4,0,4.5,20122013
496,14,Alex Pietrangelo,23,STL,D,23,1.29,0.0,2.0,0.0,2.0,3.0,5,19,24,0,1.8,3.1,0,4.9,20122013
497,15,Dustin Byfuglien,27,WPG,D,13,0.73,0.0,0.0,1.0,2.0,2.0,8,20,28,-1,2.8,1.9,0,4.7,20122013
498,16,Dan Hamhuis,30,VAN,D,9,0.51,0.0,0.0,1.0,1.0,1.0,4,20,24,9,1.9,3.2,0,5.0,20122013
499,17,Mike Green,27,WSH,D,6,0.34,0.0,0.0,0.0,1.0,3.0,12,14,26,-3,3.2,1.3,0,4.5,20122013
500,18,Erik Karlsson,22,OTT,D,5,0.28,0.0,0.0,1.0,0.0,0.0,6,8,14,8,1.7,1.9,0,3.6,20122013
501,18,Brooks Orpik,32,PIT,D,5,0.28,0.0,0.0,1.0,0.0,0.0,0,8,8,17,-0.3,2.9,0,2.5,20122013
502,20,Kimmo Timonen,37,PHI,D,5,0.28,0.0,0.0,0.0,1.0,2.0,5,24,29,3,2.7,2.6,0,5.2,20122013
503,21,Dennis Seidenberg,31,BOS,D,4,0.22,0.0,0.0,0.0,1.0,1.0,4,13,17,18,1.0,3.8,0,4.9,20122013
504,22,Dan Girardi,28,NYR,D,2,0.11,0.0,0.0,0.0,0.0,2.0,2,12,14,-1,0.4,2.3,0,2.7,20122013
505,23,Paul Martin,31,PIT,D,1,0.06,0.0,0.0,0.0,0.0,1.0,6,17,23,14,2.2,2.4,0,4.6,20122013
506,23,Sheldon Souray,36,ANA,D,1,0.06,0.0,0.0,0.0,0.0,1.0,7,10,17,19,1.6,3.4,0,4.9,20122013
507,23,Lubomir Visnovsky,36,NYI,D,1,0.06,0.0,0.0,0.0,0.0,1.0,3,11,14,12,0.9,2.6,0,3.6,20122013
508,1,Duncan Keith,30,CHI,D,1033,75.4,68.0,35.0,17.0,7.0,2.0,6,55,61,22,5.1,4.9,0,10.0,20132014
509,2,Zdeno Chara,36,BOS,D,667,48.69,21.0,39.0,22.0,19.0,17.0,17,23,40,25,4.1,5.2,0,9.2,20132014
510,3,Shea Weber,28,NSH,D,638,46.57,26.0,23.0,29.0,19.0,15.0,23,33,56,-2,6.2,4.5,0,10.8,20132014
511,4,Ryan Suter,29,MIN,D,351,25.62,9.0,12.0,20.0,22.0,11.0,8,35,43,15,2.6,6.9,0,9.5,20132014
512,5,Alex Pietrangelo,24,STL,D,304,22.19,3.0,13.0,18.0,25.0,18.0,8,43,51,20,4.0,6.3,0,10.4,20132014
513,6,Drew Doughty,24,LAK,D,284,20.73,8.0,6.0,17.0,18.0,23.0,10,27,37,17,2.8,6.6,0,9.4,20132014
514,7,Erik Karlsson,23,OTT,D,70,5.11,0.0,5.0,3.0,4.0,8.0,20,54,74,-15,8.0,2.3,0,10.3,20132014
515,8,Ryan McDonagh,24,NYR,D,53,3.87,0.0,1.0,4.0,5.0,11.0,14,29,43,11,4.1,5.7,0,9.8,20132014
516,9,Victor Hedman,23,TBL,D,42,3.07,1.0,1.0,0.0,5.0,10.0,13,42,55,5,5.5,3.5,0,9.0,20132014
517,10,Mark Giordano,30,CGY,D,36,2.63,1.0,0.0,2.0,3.0,7.0,14,33,47,12,4.8,5.0,0,9.8,20132014
518,11,Matt Niskanen,27,PIT,D,36,2.63,0.0,1.0,2.0,5.0,4.0,10,36,46,33,4.1,7.0,0,11.1,20132014
519,12,Marc-Edouard Vlasic,26,SJS,D,21,1.53,0.0,1.0,0.0,3.0,5.0,5,19,24,31,1.1,6.1,0,7.3,20132014
520,13,Niklas Kronwall,33,DET,D,10,0.73,0.0,0.0,1.0,1.0,2.0,8,41,49,0,4.1,4.0,0,8.1,20132014
521,14,Oliver Ekman-Larsson,22,PHX,D,6,0.44,0.0,0.0,1.0,0.0,1.0,15,29,44,-4,4.0,4.3,0,8.3,20132014
522,14,P.K. Subban,24,MTL,D,6,0.44,0.0,0.0,1.0,0.0,1.0,10,43,53,-4,4.7,4.6,0,9.3,20132014
523,16,Andrei Markov,35,MTL,D,3,0.22,0.0,0.0,0.0,1.0,0.0,7,36,43,12,3.2,6.0,0,9.2,20132014
524,17,Jay Bouwmeester,30,STL,D,1,0.07,0.0,0.0,0.0,0.0,1.0,4,33,37,26,2.1,6.7,0,8.8,20132014
525,17,Brent Seabrook,28,CHI,D,1,0.07,0.0,0.0,0.0,0.0,1.0,7,34,41,23,3.1,4.8,0,7.9,20132014
526,1,Erik Karlsson,24,OTT,D,964,61.4,44.0,42.0,33.0,19.0,8.0,21,45,66,7,7.2,4.7,0,11.9,20142015
527,2,Drew Doughty,25,LAK,D,889,56.62,53.0,30.0,20.0,13.0,10.0,7,39,46,3,3.0,5.6,0,8.6,20142015
528,3,P.K. Subban,25,MTL,D,801,51.02,24.0,36.0,38.0,37.0,8.0,15,45,60,21,5.8,6.6,0,12.4,20142015
529,4,Shea Weber,29,NSH,D,614,39.11,26.0,19.0,28.0,20.0,21.0,15,30,45,15,4.2,5.4,0,9.6,20142015
530,5,Roman Josi,24,NSH,D,222,14.14,3.0,9.0,11.0,17.0,23.0,15,40,55,15,5.3,5.6,0,10.8,20142015
531,6,Mark Giordano,31,CGY,D,177,11.27,1.0,6.0,11.0,15.0,25.0,11,37,48,13,4.6,4.4,0,9.0,20142015
532,7,Duncan Keith,31,CHI,D,134,8.54,1.0,7.0,4.0,12.0,19.0,10,35,45,12,3.6,5.7,0,9.3,20142015
533,8,Kris Letang,27,PIT,D,80,5.1,1.0,2.0,6.0,6.0,8.0,11,43,54,12,5.1,5.0,0,10.1,20142015
534,9,Ryan Suter,30,MIN,D,43,2.74,2.0,0.0,0.0,4.0,11.0,2,36,38,7,1.8,5.6,0,7.4,20142015
535,10,John Carlson,25,WSH,D,31,1.97,0.0,1.0,1.0,6.0,1.0,12,43,55,11,5.1,4.8,0,10.0,20142015
536,11,Ryan McDonagh,25,NYR,D,27,1.72,0.0,3.0,0.0,2.0,0.0,8,25,33,23,2.7,4.7,0,7.3,20142015
537,12,Dustin Byfuglien,29,WPG,D,21,1.34,1.0,0.0,1.0,1.0,3.0,18,27,45,5,5.3,3.5,0,8.8,20142015
538,13,Anton Stralman,28,TBL,D,19,1.21,0.0,1.0,1.0,1.0,4.0,9,30,39,22,3.2,4.9,0,8.0,20142015
539,14,Niklas Kronwall,34,DET,D,10,0.64,1.0,0.0,0.0,0.0,0.0,9,35,44,-4,3.6,3.6,0,7.2,20142015
540,15,Kevin Shattenkirk,26,STL,D,10,0.64,0.0,0.0,1.0,1.0,2.0,8,36,44,19,4.2,4.3,0,8.5,20142015
541,16,Nick Leddy,23,NYI,D,9,0.57,0.0,1.0,0.0,0.0,2.0,10,27,37,18,3.4,4.3,0,7.7,20142015
542,17,Oliver Ekman-Larsson,23,ARI,D,9,0.57,0.0,0.0,0.0,2.0,3.0,23,20,43,-18,4.8,4.0,0,8.8,20142015
543,18,T.J. Brodie,24,CGY,D,5,0.32,0.0,0.0,1.0,0.0,0.0,11,30,41,15,3.2,5.6,0,8.8,20142015
544,18,Jonas Brodin,21,MIN,D,5,0.32,0.0,0.0,1.0,0.0,0.0,3,14,17,21,0.1,5.7,0,5.8,20142015
545,20,Dennis Wideman,31,CGY,D,4,0.25,0.0,0.0,0.0,0.0,4.0,15,41,56,6,5.4,4.7,0,10.1,20142015
546,21,Brent Burns,29,SJS,D,3,0.19,0.0,0.0,0.0,1.0,0.0,17,43,60,-9,6.1,3.4,0,9.5,20142015
547,22,Brian Campbell,35,FLA,D,1,0.06,0.0,0.0,0.0,0.0,1.0,3,24,27,4,1.0,4.6,0,5.6,20142015
548,22,Aaron Ekblad,18,FLA,D,1,0.06,0.0,0.0,0.0,0.0,1.0,12,27,39,12,3.5,5.0,0,8.5,20142015
549,22,Justin Faulk,22,CAR,D,1,0.06,0.0,0.0,0.0,0.0,1.0,15,34,49,-19,4.6,4.5,0,9.1,20142015
550,22,Andrei Markov,36,MTL,D,1,0.06,0.0,0.0,0.0,0.0,1.0,10,40,50,22,4.3,6.4,0,10.7,20142015
551,22,Alex Pietrangelo,25,STL,D,1,0.06,0.0,0.0,0.0,0.0,1.0,7,39,46,-2,3.3,4.2,0,7.5,20142015
552,1,Drew Doughty,26,LAK,D,1254,83.6,93.0,37.0,10.0,4.0,3.0,14,37,51,24,4.5,7.1,0,11.6,20152016
553,2,Erik Karlsson,25,OTT,D,1020,68.0,46.0,54.0,27.0,14.0,5.0,16,66,82,-2,8.4,3.2,0,11.7,20152016
554,3,Brent Burns,30,SJS,D,619,41.27,3.0,26.0,54.0,43.0,8.0,27,48,75,-5,8.8,4.1,0,12.9,20152016
555,4,Kris Letang,28,PIT,D,587,39.13,8.0,24.0,40.0,40.0,19.0,16,51,67,9,7.0,4.3,0,11.3,20152016
556,5,Roman Josi,25,NSH,D,120,8.0,0.0,1.0,6.0,17.0,32.0,14,47,61,-3,6.0,4.4,0,10.4,20152016
557,6,John Klingberg,23,DAL,D,63,4.2,0.0,2.0,2.0,6.0,21.0,10,48,58,22,5.6,4.6,0,10.2,20152016
558,7,Victor Hedman,25,TBL,D,62,4.13,0.0,2.0,3.0,6.0,15.0,10,37,47,21,4.3,5.8,0,10.1,20152016
559,8,Ryan Suter,31,MIN,D,53,3.53,0.0,1.0,3.0,7.0,10.0,8,43,51,10,3.8,6.3,0,10.0,20152016
560,9,Oliver Ekman-Larsson,24,ARI,D,30,2.0,0.0,0.0,2.0,2.0,14.0,21,34,55,-6,6.3,3.2,0,9.5,20152016
561,10,Shea Weber,30,NSH,D,27,1.8,0.0,1.0,1.0,4.0,3.0,20,31,51,-7,5.6,3.9,0,9.5,20152016
562,11,Duncan Keith,32,CHI,D,21,1.4,0.0,1.0,1.0,1.0,6.0,9,34,43,13,3.7,4.7,0,8.4,20152016
563,12,Dustin Byfuglien,30,WPG,D,8,0.53,0.0,0.0,0.0,1.0,5.0,19,34,53,4,5.6,4.1,0,9.7,20152016
564,13,Mark Giordano,32,CGY,D,7,0.47,0.0,1.0,0.0,0.0,0.0,21,35,56,-5,5.9,3.2,0,9.2,20152016
565,14,P.K. Subban,26,MTL,D,6,0.4,0.0,0.0,0.0,2.0,0.0,6,45,51,4,4.1,4.2,0,8.3,20152016
566,15,Ryan McDonagh,26,NYR,D,5,0.33,0.0,0.0,1.0,0.0,0.0,9,25,34,26,2.9,5.0,0,7.8,20152016
567,16,Aaron Ekblad,19,FLA,D,4,0.27,0.0,0.0,0.0,0.0,4.0,15,21,36,18,3.7,4.5,0,8.2,20152016
568,17,Brian Campbell,36,FLA,D,3,0.2,0.0,0.0,0.0,1.0,0.0,6,25,31,31,1.9,5.8,0,7.8,20152016
569,17,Shayne Gostisbehere,22,PHI,D,3,0.2,0.0,0.0,0.0,1.0,0.0,17,29,46,8,5.4,3.5,0,8.9,20152016
570,17,Hampus Lindholm,22,ANA,D,3,0.2,0.0,0.0,0.0,1.0,0.0,10,18,28,7,2.1,5.2,0,7.3,20152016
571,20,Francois Beauchemin,35,COL,D,1,0.07,0.0,0.0,0.0,0.0,1.0,8,26,34,-7,2.1,3.9,0,6.0,20152016
572,20,Jake Muzzin,26,LAK,D,1,0.07,0.0,0.0,0.0,0.0,1.0,8,32,40,7,3.0,4.8,0,7.8,20152016
573,20,Brent Seabrook,30,CHI,D,1,0.07,0.0,0.0,0.0,0.0,1.0,14,35,49,6,4.8,4.4,0,9.2,20152016
574,20,Anton Stralman,29,TBL,D,1,0.07,0.0,0.0,0.0,0.0,1.0,9,25,34,16,2.9,4.9,0,7.9,20152016
575,20,Marc-Edouard Vlasic,28,SJS,D,1,0.07,0.0,0.0,0.0,0.0,1.0,8,31,39,15,3.3,4.6,0,7.9,20152016
576,1,Brent Burns,31,SJS,D,1437,86.05,96.0,61.0,10.0,0.0,0.0,29,47,76,19,8.9,6.4,0,15.3,20162017
577,2,Erik Karlsson,26,OTT,D,1292,77.37,63.0,86.0,9.0,4.0,3.0,17,54,71,10,7.2,5.7,0,12.9,20162017
578,3,Victor Hedman,26,TBL,D,728,43.59,3.0,13.0,106.0,21.0,14.0,16,56,72,3,7.3,4.7,0,12.0,20162017
579,4,Duncan Keith,33,CHI,D,384,22.99,2.0,4.0,19.0,70.0,31.0,6,47,53,22,4.0,5.5,0,9.5,20162017
580,5,Ryan Suter,32,MIN,D,175,10.48,2.0,1.0,9.0,25.0,28.0,9,31,40,34,2.7,6.6,0,9.3,20162017
581,6,Shea Weber,31,MTL,D,100,5.99,1.0,0.0,6.0,11.0,27.0,17,25,42,20,4.1,6.0,0,10.1,20162017
582,7,Drew Doughty,27,LAK,D,51,3.05,0.0,0.0,1.0,10.0,16.0,12,32,44,8,3.4,7.2,0,10.5,20162017
583,8,Mark Giordano,33,CGY,D,41,2.46,0.0,0.0,1.0,11.0,3.0,12,27,39,22,3.1,6.3,0,9.4,20162017
584,9,Dougie Hamilton,23,CGY,D,23,1.38,0.0,0.0,0.0,6.0,5.0,13,37,50,12,4.8,4.7,0,9.5,20162017
585,10,Justin Schultz,26,PIT,D,22,1.32,0.0,0.0,2.0,2.0,6.0,12,39,51,27,5.0,4.2,0,9.2,20162017
586,11,Roman Josi,26,NSH,D,19,1.14,0.0,1.0,0.0,2.0,6.0,12,37,49,7,4.6,4.1,0,8.7,20162017
587,12,Dustin Byfuglien,31,WPG,D,15,0.9,0.0,0.0,2.0,1.0,2.0,13,39,52,10,4.5,4.0,0,8.5,20162017
588,13,Jared Spurgeon,27,MIN,D,14,0.84,0.0,0.0,2.0,1.0,1.0,10,28,38,33,3.0,5.9,0,8.9,20162017
589,14,Kevin Shattenkirk,28,TOT,D,9,0.54,0.0,0.0,0.0,1.0,6.0,13,43,56,-7,5.6,2.8,0,8.5,20162017
590,15,Torey Krug,25,BOS,D,7,0.42,0.0,1.0,0.0,0.0,0.0,8,43,51,-10,4.6,3.3,0,7.9,20162017
591,16,Alex Pietrangelo,27,STL,D,7,0.42,0.0,0.0,0.0,1.0,4.0,14,34,48,3,4.4,4.8,0,9.2,20162017
592,17,Ryan McDonagh,27,NYR,D,5,0.3,0.0,0.0,0.0,1.0,2.0,6,36,42,20,3.0,4.8,0,7.8,20162017
593,18,Seth Jones,22,CBJ,D,4,0.24,0.0,0.0,0.0,0.0,4.0,12,30,42,6,3.9,3.9,0,7.8,20162017
594,18,Zach Werenski,19,CBJ,D,4,0.24,0.0,0.0,0.0,0.0,4.0,11,36,47,17,4.5,4.5,0,9.1,20162017
595,20,Jaccob Slavin,22,CAR,D,2,0.12,0.0,0.0,0.0,0.0,2.0,5,29,34,23,1.9,6.7,0,8.6,20162017
596,21,Cam Fowler,25,ANA,D,1,0.06,0.0,0.0,0.0,0.0,1.0,11,28,39,7,3.1,5.2,0,8.3,20162017
597,21,Dmitry Orlov,25,WSH,D,1,0.06,0.0,0.0,0.0,0.0,1.0,6,27,33,30,2.3,5.4,0,7.7,20162017
598,21,Marc-Edouard Vlasic,29,SJS,D,1,0.06,0.0,0.0,0.0,0.0,1.0,6,22,28,4,1.7,4.1,0,5.8,20162017
599,1,Victor Hedman,27,TBL,D,1385,84.45,94.0,57.0,6.0,5.0,1.0,17,46,63,32,5.7,5.2,0,11.0,20172018
600,2,Drew Doughty,28,LAK,D,1164,70.98,52.0,68.0,28.0,8.0,4.0,10,50,60,23,4.4,7.3,0,11.7,20172018
601,3,P.K. Subban,28,NSH,D,565,34.45,11.0,14.0,50.0,30.0,17.0,16,43,59,18,5.4,5.1,0,10.5,20172018
602,4,Seth Jones,23,CBJ,D,406,24.76,2.0,9.0,38.0,33.0,34.0,16,41,57,10,5.2,4.7,0,9.9,20172018
603,5,John Carlson,28,WSH,D,311,18.96,3.0,6.0,19.0,38.0,30.0,15,53,68,0,6.0,3.9,0,9.8,20172018
604,6,John Klingberg,25,DAL,D,160,9.76,1.0,7.0,4.0,18.0,27.0,8,59,67,10,5.4,5.1,0,10.5,20172018
605,7,Roman Josi,27,NSH,D,86,5.24,0.0,0.0,6.0,12.0,20.0,14,39,53,24,4.7,5.3,0,10.0,20172018
606,8,Brent Burns,32,SJS,D/RW,48,2.93,1.0,1.0,3.0,3.0,7.0,12,55,67,-16,5.4,3.7,0,9.1,20172018
607,9,Alex Pietrangelo,28,STL,D,35,2.13,0.0,0.0,3.0,4.0,8.0,15,39,54,8,4.5,5.3,0,9.8,20172018
608,10,Shayne Gostisbehere,24,PHI,D,31,1.89,0.0,0.0,4.0,2.0,5.0,13,52,65,10,5.8,4.1,0,9.8,20172018
609,11,Marc-Edouard Vlasic,30,SJS,D,19,1.16,0.0,0.0,0.0,6.0,1.0,11,21,32,9,2.1,5.1,0,7.2,20172018
610,12,Erik Karlsson,27,OTT,D,15,0.91,0.0,1.0,0.0,2.0,2.0,9,53,62,-25,4.9,2.3,0,7.2,20172018
611,13,Ryan Suter,33,MIN,D,11,0.67,0.0,0.0,1.0,1.0,3.0,6,45,51,-1,3.2,4.2,0,7.4,20172018
612,14,Dougie Hamilton,24,CGY,D,9,0.55,0.0,1.0,0.0,0.0,2.0,17,27,44,1,4.0,4.5,0,8.5,20172018
613,15,Zdeno Chara,40,BOS,D,8,0.49,0.0,0.0,1.0,1.0,0.0,7,17,24,22,1.1,5.2,0,6.3,20172018
614,16,Mark Giordano,34,CGY,D,6,0.37,0.0,0.0,1.0,0.0,1.0,13,25,38,0,2.7,5.0,0,7.7,20172018
615,17,Josh Manson,26,ANA,D,4,0.24,0.0,0.0,0.0,1.0,1.0,7,30,37,34,2.5,6.1,0,8.6,20172018
616,18,Jaccob Slavin,23,CAR,D,1,0.06,0.0,0.0,0.0,0.0,1.0,8,22,30,1,1.6,4.6,0,6.2,20172018
617,1,Mark Giordano,35,CGY,D,1690,98.83,165.0,5.0,1.0,0.0,0.0,17,57,74,39,6.7,5.9,0,12.6,20182019
618,2,Brent Burns,33,SJS,D/RW,720,42.11,2.0,54.0,44.0,27.0,21.0,16,67,83,13,7.3,4.7,0,12.0,20182019
619,3,Victor Hedman,28,TBL,D,585,34.21,1.0,44.0,33.0,28.0,18.0,12,42,54,24,4.7,4.3,0,8.9,20182019
