,Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,season
672,Toronto Maple Leafs,82,36,35,11,83,0.506,231,260,-0.42,-0.06,0.445,33.0,28-35-19,0.457,20072008
673,Washington Capitals*,82,43,31,8,94,0.573,242,231,-0.06,-0.19,0.524,39.0,32-31-19,0.506,20072008
674,Carolina Hurricanes,82,43,33,6,92,0.561,252,249,-0.15,-0.18,0.53,41.0,36-33-13,0.518,20072008
675,Florida Panthers,82,38,35,9,85,0.518,216,226,-0.29,-0.17,0.47,33.0,29-35-18,0.46299999999999997,20072008
676,Atlanta Thrashers,82,34,40,8,76,0.46299999999999997,216,272,-0.8,-0.12,0.396,25.0,19-40-23,0.37200000000000005,20072008
677,Tampa Bay Lightning,82,31,42,9,71,0.433,223,267,-0.67,-0.13,0.37200000000000005,29.0,27-42-13,0.409,20072008
678,Detroit Red Wings*,82,54,21,7,115,0.701,257,184,0.93,0.04,0.659,49.0,47-21-14,0.659,20072008
679,Nashville Predators*,82,41,32,9,91,0.555,230,229,0.13,0.12,0.512,38.0,33-32-17,0.506,20072008
680,Chicago Blackhawks,82,40,34,8,88,0.537,239,235,0.16,0.12,0.48200000000000004,35.0,31-34-17,0.48200000000000004,20072008
681,Columbus Blue Jackets,82,34,36,12,80,0.488,193,218,-0.16,0.15,0.445,31.0,29-36-17,0.457,20072008
682,St. Louis Blues,82,33,36,13,79,0.48200000000000004,205,237,-0.24,0.16,0.415,30.0,29-36-17,0.457,20072008
683,Minnesota Wild*,82,44,28,10,98,0.598,223,218,0.16,0.1,0.5670000000000001,41.0,35-28-19,0.5429999999999999,20072008
684,Colorado Avalanche*,82,44,31,7,95,0.579,231,219,0.24,0.09,0.512,37.0,33-31-18,0.512,20072008
685,Calgary Flames*,82,42,30,10,94,0.573,229,227,0.13,0.1,0.512,39.0,36-30-16,0.537,20072008
686,Vancouver Canucks,82,39,33,10,88,0.537,213,215,0.08,0.11,0.494,33.0,29-33-20,0.47600000000000003,20072008
687,Edmonton Oilers,82,41,35,6,88,0.537,235,251,-0.07,0.12,0.433,26.0,22-35-25,0.42100000000000004,20072008
688,San Jose Sharks*,82,49,23,10,108,0.659,222,193,0.47,0.12,0.598,43.0,40-23-19,0.604,20072008
689,Anaheim Ducks*,82,47,27,8,102,0.622,205,191,0.3,0.13,0.5670000000000001,39.0,35-27-20,0.5489999999999999,20072008
690,Dallas Stars*,82,45,30,7,97,0.591,242,207,0.54,0.11,0.537,40.0,37-30-15,0.5429999999999999,20072008
691,Phoenix Coyotes,82,38,37,7,83,0.506,214,231,-0.04,0.17,0.47,33.0,29-37-16,0.451,20072008
692,Los Angeles Kings,82,32,43,7,71,0.433,231,266,-0.24,0.19,0.37799999999999995,27.0,25-43-14,0.39,20072008
693,New Jersey Devils*,82,51,27,4,106,0.6459999999999999,244,209,0.38,-0.05,0.598,45.0,36-27-19,0.555,20082009
694,Philadelphia Flyers*,82,44,27,11,99,0.604,264,238,0.28,-0.04,0.5489999999999999,40.0,34-27-21,0.5429999999999999,20082009
695,Pittsburgh Penguins*,82,45,28,9,99,0.604,264,239,0.28,-0.02,0.5489999999999999,39.0,33-28-21,0.53,20082009
696,New York Rangers*,82,43,30,9,95,0.579,210,218,-0.1,-0.01,0.5,33.0,30-30-22,0.5,20082009
697,New York Islanders,82,26,47,9,61,0.37200000000000005,201,279,-0.91,0.05,0.32899999999999996,23.0,20-47-15,0.335,20082009
698,Boston Bruins*,82,53,19,10,116,0.7070000000000001,274,196,0.89,-0.06,0.659,49.0,46-19-17,0.665,20082009
699,Montreal Canadiens*,82,41,30,11,93,0.5670000000000001,249,247,0.02,-0.01,0.5,34.0,30-30-22,0.5,20082009
700,Buffalo Sabres,82,41,32,9,91,0.555,250,234,0.18,-0.02,0.48200000000000004,33.0,31-32-19,0.494,20082009
701,Ottawa Senators,82,36,35,11,83,0.506,217,237,-0.23,0.01,0.451,32.0,29-35-18,0.46299999999999997,20082009
702,Toronto Maple Leafs,82,34,35,13,81,0.494,250,293,-0.49,0.03,0.42100000000000004,28.0,24-35-23,0.433,20082009
703,Washington Capitals*,82,50,24,8,108,0.659,272,245,0.27,-0.06,0.616,46.0,40-24-18,0.598,20082009
704,Carolina Hurricanes*,82,45,30,7,97,0.591,239,226,0.11,-0.05,0.561,42.0,35-30-17,0.53,20082009
705,Florida Panthers,82,41,30,11,93,0.5670000000000001,234,231,0.0,-0.04,0.53,38.0,34-30-18,0.524,20082009
706,Atlanta Thrashers,82,35,41,6,76,0.46299999999999997,257,280,-0.3,-0.02,0.39,28.0,24-41-17,0.396,20082009
707,Tampa Bay Lightning,82,24,40,18,66,0.402,210,279,-0.81,0.03,0.335,21.0,19-40-23,0.37200000000000005,20082009
708,Detroit Red Wings*,82,51,21,10,112,0.6829999999999999,295,244,0.62,0.0,0.61,45.0,42-21-19,0.628,20082009
709,Chicago Blackhawks*,82,46,24,12,104,0.634,264,216,0.6,0.01,0.579,42.0,36-24-22,0.573,20082009
710,Columbus Blue Jackets*,82,41,31,10,92,0.561,226,230,-0.01,0.04,0.506,35.0,30-31-21,0.494,20082009
711,St. Louis Blues*,82,41,31,10,92,0.561,233,233,0.05,0.05,0.5,35.0,31-31-20,0.5,20082009
712,Nashville Predators,82,40,34,8,88,0.537,213,233,-0.19,0.06,0.48200000000000004,34.0,28-34-20,0.46299999999999997,20082009
713,Vancouver Canucks*,82,45,27,10,100,0.61,246,220,0.3,-0.02,0.573,42.0,37-27-18,0.561,20082009
714,Calgary Flames*,82,46,30,6,98,0.598,254,248,0.07,0.0,0.555,43.0,40-30-12,0.561,20082009
715,Minnesota Wild,82,40,33,9,89,0.5429999999999999,219,200,0.22,-0.02,0.47600000000000003,35.0,32-33-17,0.494,20082009
716,Edmonton Oilers,82,38,35,9,85,0.518,234,248,-0.16,0.01,0.451,32.0,31-35-16,0.47600000000000003,20082009
717,Colorado Avalanche,82,32,45,5,69,0.42100000000000004,199,257,-0.66,0.05,0.36,23.0,20-45-17,0.348,20082009
718,San Jose Sharks*,82,53,18,11,117,0.713,257,204,0.61,-0.04,0.64,47.0,43-18-21,0.652,20082009
719,Anaheim Ducks*,82,42,33,7,91,0.555,245,238,0.09,0.0,0.488,35.0,30-33-19,0.48200000000000004,20082009
720,Dallas Stars,82,36,35,11,83,0.506,230,257,-0.3,0.03,0.439,30.0,25-35-22,0.439,20082009
721,Phoenix Coyotes,82,36,39,7,79,0.48200000000000004,208,252,-0.5,0.04,0.439,33.0,32-39-11,0.457,20082009
722,Los Angeles Kings,82,34,37,11,79,0.48200000000000004,207,234,-0.29,0.04,0.433,29.0,26-37-19,0.433,20082009
723,New Jersey Devils*,82,48,27,7,103,0.628,222,191,0.31,-0.07,0.579,42.0,40-27-15,0.579,20092010
724,Pittsburgh Penguins*,82,47,28,7,101,0.616,257,237,0.17,-0.07,0.537,39.0,33-28-21,0.53,20092010
725,Philadelphia Flyers*,82,41,35,6,88,0.537,236,225,0.08,-0.06,0.494,37.0,35-35-12,0.5,20092010
726,New York Rangers,82,38,33,11,87,0.53,222,218,0.0,-0.05,0.47,35.0,34-33-15,0.506,20092010
727,New York Islanders,82,34,37,11,79,0.48200000000000004,222,264,-0.53,-0.02,0.402,26.0,20-37-25,0.396,20092010
728,Buffalo Sabres*,82,45,27,10,100,0.61,235,207,0.26,-0.08,0.561,41.0,35-27-20,0.5489999999999999,20092010
729,Ottawa Senators*,82,44,32,6,94,0.573,225,238,-0.22,-0.06,0.537,39.0,34-32-16,0.512,20092010
730,Boston Bruins*,82,39,30,13,91,0.555,206,200,0.01,-0.06,0.47,29.0,25-30-27,0.47,20092010
731,Montreal Canadiens*,82,39,33,10,88,0.537,217,223,-0.14,-0.07,0.46299999999999997,32.0,24-33-25,0.445,20092010
732,Toronto Maple Leafs,82,30,38,14,74,0.451,214,267,-0.68,-0.03,0.366,26.0,21-38-23,0.396,20092010
733,Washington Capitals*,82,54,15,13,121,0.738,318,233,0.9,-0.14,0.665,49.0,43-15-24,0.6709999999999999,20092010
734,Atlanta Thrashers,82,35,34,13,83,0.506,234,256,-0.33,-0.06,0.439,31.0,29-34-19,0.47,20092010
735,Carolina Hurricanes,82,35,37,10,80,0.488,230,256,-0.37,-0.05,0.433,31.0,26-37-19,0.433,20092010
736,Tampa Bay Lightning,82,34,36,12,80,0.488,217,260,-0.56,-0.03,0.433,30.0,25-36-21,0.433,20092010
737,Florida Panthers,82,32,37,13,77,0.47,208,244,-0.47,-0.03,0.415,26.0,24-37-21,0.42100000000000004,20092010
738,Chicago Blackhawks*,82,52,22,8,112,0.6829999999999999,271,209,0.77,0.02,0.616,43.0,37-22-23,0.591,20092010
739,Detroit Red Wings*,82,44,24,14,102,0.622,229,216,0.23,0.07,0.555,38.0,33-24-25,0.555,20092010
740,Nashville Predators*,82,47,29,6,100,0.61,225,225,0.06,0.06,0.5489999999999999,39.0,33-29-20,0.524,20092010
741,St. Louis Blues,82,40,32,10,90,0.5489999999999999,225,223,0.08,0.06,0.47600000000000003,33.0,30-32-20,0.488,20092010
742,Columbus Blue Jackets,82,32,35,15,79,0.48200000000000004,216,259,-0.42,0.11,0.439,30.0,27-35-20,0.451,20092010
743,Vancouver Canucks*,82,49,28,5,103,0.628,272,222,0.6,-0.01,0.598,45.0,41-28-13,0.579,20092010
744,Colorado Avalanche*,82,43,30,9,95,0.579,244,233,0.16,0.02,0.512,36.0,34-30-18,0.524,20092010
745,Calgary Flames,82,40,32,10,90,0.5489999999999999,204,210,-0.03,0.04,0.512,37.0,35-32-15,0.518,20092010
746,Minnesota Wild,82,38,36,8,84,0.512,219,246,-0.26,0.07,0.47600000000000003,33.0,28-36-18,0.451,20092010
747,Edmonton Oilers,82,27,47,8,62,0.37799999999999995,214,284,-0.76,0.09,0.317,19.0,18-47-17,0.32299999999999995,20092010
748,San Jose Sharks*,82,51,20,11,113,0.6890000000000001,264,215,0.65,0.05,0.616,44.0,43-20-19,0.64,20092010
749,Phoenix Coyotes*,82,50,25,7,107,0.652,225,202,0.34,0.06,0.561,36.0,31-25-26,0.537,20092010
750,Los Angeles Kings*,82,46,27,9,101,0.616,241,219,0.32,0.05,0.5489999999999999,36.0,32-27-23,0.53,20092010
751,Anaheim Ducks,82,39,32,11,89,0.5429999999999999,238,251,-0.07,0.09,0.494,34.0,31-32-19,0.494,20092010
752,Dallas Stars,82,37,31,14,88,0.537,237,254,-0.12,0.09,0.47,30.0,28-31-23,0.48,20092010
753,hiladelphia Flyers*,82,47,23,12,106,0.6459999999999999,259,223,0.4,-0.04,0.598,44.0,41-23-18,0.61,20102011
754,Pittsburgh Penguins*,82,49,25,8,106,0.6459999999999999,238,199,0.43,-0.05,0.555,39.0,34-25-23,0.555,20102011
755,New York Rangers*,82,44,33,5,93,0.5670000000000001,233,198,0.37,-0.06,0.5,35.0,32-33-17,0.494,20102011
756,New Jersey Devils,82,38,39,5,81,0.494,174,209,-0.41,0.02,0.457,35.0,28-39-15,0.433,20102011
757,New York Islanders,82,30,39,13,73,0.445,229,264,-0.42,0.01,0.37799999999999995,26.0,19-39-24,0.37799999999999995,20102011
758,Boston Bruins*,82,46,25,11,103,0.628,246,195,0.56,-0.07,0.585,44.0,43-25-14,0.61,20102011
759,Montreal Canadiens*,82,44,30,8,96,0.585,216,209,0.05,-0.04,0.537,41.0,36-30-16,0.537,20102011
760,Buffalo Sabres*,82,43,29,10,96,0.585,245,229,0.15,-0.04,0.5,38.0,28-29-25,0.494,20102011
761,Toronto Maple Leafs,82,37,34,11,85,0.518,218,251,-0.41,0.0,0.457,32.0,30-34-18,0.47600000000000003,20102011
762,Ottawa Senators,82,32,40,10,74,0.451,192,250,-0.69,0.02,0.409,30.0,28-40-14,0.42700000000000005,20102011
763,Washington Capitals*,82,48,23,11,107,0.652,224,197,0.27,-0.06,0.591,43.0,34-23-25,0.5670000000000001,20102011
764,Tampa Bay Lightning*,82,46,25,11,103,0.628,247,240,0.04,-0.05,0.561,40.0,32-25-25,0.5429999999999999,20102011
765,Carolina Hurricanes,82,40,31,11,91,0.555,236,239,-0.08,-0.04,0.488,35.0,29-31-22,0.488,20102011
766,Atlanta Thrashers,82,34,36,12,80,0.488,223,269,-0.57,-0.01,0.42700000000000005,29.0,19-36-27,0.396,20102011
767,Florida Panthers,82,30,40,12,72,0.439,195,229,-0.43,-0.01,0.384,26.0,20-40-22,0.37799999999999995,20102011
768,Detroit Red Wings*,82,47,25,10,104,0.634,261,241,0.27,0.03,0.573,43.0,34-25-23,0.555,20102011
769,Nashville Predators*,82,44,27,11,99,0.604,219,194,0.31,0.01,0.524,38.0,36-27-19,0.555,20102011
770,Chicago Blackhawks*,82,44,29,9,97,0.591,258,225,0.41,0.01,0.53,38.0,34-29-19,0.53,20102011
771,St. Louis Blues,82,38,33,11,87,0.53,240,234,0.11,0.04,0.47600000000000003,34.0,31-33-18,0.488,20102011
772,Columbus Blue Jackets,82,34,35,13,81,0.494,215,258,-0.45,0.08,0.433,29.0,24-35-23,0.433,20102011
773,Vancouver Canucks*,82,54,19,9,117,0.713,262,185,0.87,-0.07,0.665,50.0,46-19-17,0.665,20102011
774,Calgary Flames,82,41,29,12,94,0.573,250,237,0.14,-0.02,0.488,32.0,30-29-23,0.506,20102011
775,Minnesota Wild,82,39,35,8,86,0.524,206,233,-0.3,0.03,0.488,36.0,31-35-16,0.47600000000000003,20102011
776,Colorado Avalanche,82,30,44,8,68,0.415,227,288,-0.7,0.05,0.335,24.0,18-44-20,0.341,20102011
777,Edmonton Oilers,82,25,45,12,62,0.37799999999999995,193,269,-0.87,0.06,0.348,23.0,21-45-16,0.354,20102011
778,San Jose Sharks*,82,48,25,9,105,0.64,248,213,0.44,0.02,0.585,43.0,38-25-19,0.579,20102011
779,Anaheim Ducks*,82,47,30,5,99,0.604,239,235,0.09,0.05,0.561,43.0,34-30-18,0.524,20102011
780,Phoenix Coyotes*,82,43,26,13,99,0.604,231,226,0.11,0.05,0.53,38.0,36-26-20,0.561,20102011
781,Los Angeles Kings*,82,46,30,6,98,0.598,219,198,0.29,0.03,0.512,36.0,35-30-17,0.53,20102011
782,Dallas Stars,82,42,29,11,95,0.579,227,233,-0.02,0.05,0.524,37.0,32-29-21,0.518,20102011
783,New York Rangers*,82,51,24,7,109,0.665,226,187,0.46,-0.02,0.628,47.0,39-24-19,0.591,20112012
784,Pittsburgh Penguins*,82,51,25,6,108,0.659,282,221,0.71,-0.03,0.585,42.0,40-25-17,0.591,20112012
785,Philadelphia Flyers*,82,47,26,9,103,0.628,264,232,0.39,0.0,0.591,43.0,37-26-19,0.5670000000000001,20112012
786,New Jersey Devils*,82,48,28,6,102,0.622,228,209,0.23,0.0,0.537,36.0,32-28-22,0.524,20112012
787,New York Islanders,82,34,37,11,79,0.48200000000000004,203,255,-0.58,0.05,0.396,27.0,24-37-21,0.42100000000000004,20112012
788,Boston Bruins*,82,49,29,4,102,0.622,269,202,0.75,-0.07,0.561,40.0,38-29-15,0.555,20112012
789,Ottawa Senators*,82,41,31,10,92,0.561,249,240,0.09,-0.02,0.488,35.0,30-31-21,0.494,20112012
790,Buffalo Sabres,82,39,32,11,89,0.5429999999999999,218,230,-0.15,0.0,0.47600000000000003,32.0,27-32-23,0.47,20112012
791,Toronto Maple Leafs,82,35,37,10,80,0.488,231,264,-0.38,0.02,0.433,31.0,26-37-19,0.433,20112012
792,Montreal Canadiens,82,31,35,16,78,0.47600000000000003,212,226,-0.17,0.0,0.42100000000000004,26.0,24-35-23,0.433,20112012
793,Florida Panthers*,82,38,26,18,94,0.573,203,227,-0.33,-0.03,0.494,32.0,31-26-25,0.53,20112012
794,Washington Capitals*,82,42,32,8,92,0.561,222,230,-0.13,-0.03,0.512,38.0,31-32-19,0.494,20112012
795,Tampa Bay Lightning,82,38,36,8,84,0.512,235,281,-0.57,-0.01,0.46299999999999997,35.0,25-36-21,0.433,20112012
796,Winnipeg Jets,82,37,35,10,84,0.512,225,246,-0.3,-0.04,0.451,33.0,27-35-20,0.451,20112012
797,Carolina Hurricanes,82,33,33,16,82,0.5,213,243,-0.39,-0.02,0.433,32.0,29-33-20,0.47600000000000003,20112012
798,St. Louis Blues*,82,49,22,11,109,0.665,210,165,0.54,-0.01,0.634,45.0,42-22-18,0.622,20112012
799,Nashville Predators*,82,48,26,8,104,0.634,237,210,0.34,0.01,0.585,43.0,40-26-16,0.585,20112012
800,Detroit Red Wings*,82,48,28,6,102,0.622,248,203,0.55,0.0,0.5489999999999999,39.0,36-28-18,0.5489999999999999,20112012
801,Chicago Blackhawks*,82,45,26,11,101,0.616,248,238,0.14,0.02,0.5489999999999999,38.0,34-26-22,0.5489999999999999,20112012
802,Columbus Blue Jackets,82,29,46,7,65,0.396,202,262,-0.65,0.08,0.36,25.0,23-46-13,0.36,20112012
803,Vancouver Canucks*,82,51,22,9,111,0.677,249,198,0.57,-0.05,0.616,43.0,36-22-24,0.585,20112012
804,Calgary Flames,82,37,29,16,90,0.5489999999999999,202,226,-0.28,0.01,0.488,34.0,32-29-21,0.518,20112012
805,Colorado Avalanche,82,41,35,6,88,0.537,208,220,-0.13,0.01,0.457,32.0,25-35-22,0.439,20112012
806,Minnesota Wild,82,35,36,11,81,0.494,177,226,-0.58,0.02,0.415,24.0,22-36-24,0.415,20112012
807,Edmonton Oilers,82,32,40,10,74,0.451,212,239,-0.32,0.01,0.402,27.0,25-40-17,0.409,20112012
808,Phoenix Coyotes*,82,42,27,13,97,0.591,216,204,0.16,0.01,0.537,36.0,33-27-22,0.537,20112012
809,San Jose Sharks*,82,43,29,10,96,0.585,228,210,0.22,0.0,0.5,34.0,31-29-22,0.512,20112012
810,Los Angeles Kings*,82,40,27,15,95,0.579,194,179,0.19,0.01,0.506,34.0,31-27-24,0.524,20112012
811,Dallas Stars,82,42,35,5,89,0.5429999999999999,211,222,-0.1,0.03,0.494,35.0,31-35-16,0.47600000000000003,20112012
812,Anaheim Ducks,82,34,36,12,80,0.488,204,231,-0.29,0.04,0.439,31.0,29-36-17,0.457,20112012
813,Chicago Blackhawks*,48,36,7,5,77,0.802,155,102,1.04,-0.07,0.74,30.0,25-7-16,0.688,20122013
814,Pittsburgh Penguins*,48,36,12,0,72,0.75,165,119,0.91,-0.05,0.7190000000000001,33.0,31-12-5,0.698,20122013
815,Anaheim Ducks*,48,30,12,6,66,0.688,140,118,0.43,-0.02,0.594,24.0,23-12-13,0.615,20122013
816,Montreal Canadiens*,48,29,14,5,63,0.6559999999999999,149,126,0.46,-0.02,0.594,26.0,24-14-10,0.604,20122013
817,Boston Bruins*,48,28,14,6,62,0.6459999999999999,131,109,0.44,-0.02,0.573,24.0,23-14-11,0.594,20122013
818,St. Louis Blues*,48,29,17,2,60,0.625,129,115,0.31,0.02,0.563,24.0,20-17-11,0.531,20122013
819,Vancouver Canucks*,48,26,15,7,59,0.615,127,121,0.07,-0.06,0.552,21.0,20-15-13,0.552,20122013
820,Los Angeles Kings*,48,27,16,5,59,0.615,133,118,0.29,-0.02,0.583,25.0,24-16-8,0.583,20122013
821,Toronto Maple Leafs*,48,26,17,5,57,0.594,145,133,0.27,0.02,0.594,26.0,24-17-7,0.573,20122013
822,Washington Capitals*,48,27,18,3,57,0.594,149,130,0.31,-0.09,0.531,24.0,20-18-10,0.521,20122013
823,San Jose Sharks*,48,25,16,7,57,0.594,124,116,0.17,0.01,0.479,17.0,17-16-15,0.51,20122013
824,New York Rangers*,48,26,18,4,56,0.583,130,112,0.38,0.0,0.542,22.0,18-18-12,0.5,20122013
825,Ottawa Senators*,48,25,17,6,56,0.583,116,104,0.27,0.02,0.521,21.0,19-17-12,0.521,20122013
826,Detroit Red Wings*,48,24,16,8,56,0.583,124,115,0.2,0.01,0.531,22.0,20-16-12,0.542,20122013
827,New York Islanders*,48,24,17,7,55,0.573,139,139,0.03,0.03,0.49,20.0,18-17-13,0.51,20122013
828,Columbus Blue Jackets,48,24,17,7,55,0.573,120,119,0.03,0.01,0.49,19.0,14-17-17,0.469,20122013
829,Minnesota Wild*,48,26,19,3,55,0.573,122,127,-0.16,-0.05,0.521,22.0,19-19-10,0.5,20122013
830,Winnipeg Jets,48,24,21,3,51,0.531,128,144,-0.36,-0.03,0.51,22.0,18-21-9,0.469,20122013
831,Phoenix Coyotes,48,21,18,9,51,0.531,125,131,-0.1,0.03,0.45799999999999996,17.0,16-18-14,0.479,20122013
832,Philadelphia Flyers,48,23,22,3,49,0.51,133,141,-0.14,0.03,0.49,22.0,20-22-6,0.479,20122013
833,New Jersey Devils,48,19,19,10,48,0.5,112,129,-0.31,0.04,0.44799999999999995,17.0,16-19-13,0.469,20122013
834,Buffalo Sabres,48,21,21,6,48,0.5,125,143,-0.31,0.07,0.406,14.0,13-21-14,0.41700000000000004,20122013
835,Dallas Stars,48,22,22,4,48,0.5,130,142,-0.21,0.05,0.44799999999999995,20.0,18-22-8,0.45799999999999996,20122013
836,Edmonton Oilers,48,19,22,7,45,0.469,125,134,-0.22,-0.03,0.406,17.0,15-22-11,0.42700000000000005,20122013
837,Carolina Hurricanes,48,19,25,4,42,0.43799999999999994,128,160,-0.65,0.02,0.396,18.0,17-25-6,0.41700000000000004,20122013
838,Calgary Flames,48,19,25,4,42,0.43799999999999994,128,160,-0.65,0.02,0.42700000000000005,19.0,17-25-6,0.41700000000000004,20122013
839,Nashville Predators,48,16,23,9,41,0.42700000000000005,111,139,-0.5,0.09,0.375,14.0,11-23-14,0.375,20122013
840,Tampa Bay Lightning,48,18,26,4,40,0.41700000000000004,148,150,-0.11,-0.07,0.396,17.0,16-26-6,0.396,20122013
841,Colorado Avalanche,48,16,25,7,39,0.406,116,152,-0.73,0.02,0.33299999999999996,14.0,11-25-12,0.354,20122013
842,Florida Panthers,48,15,27,6,36,0.375,112,171,-1.18,0.05,0.292,12.0,11-27-10,0.33299999999999996,20122013
843,Boston Bruins*,82,54,19,9,117,0.713,261,177,0.92,-0.11,0.677,51.0,47-19-16,0.6709999999999999,20132014
844,Tampa Bay Lightning*,82,46,27,9,101,0.616,240,215,0.25,-0.06,0.5489999999999999,38.0,32-27-23,0.53,20132014
845,Montreal Canadiens*,82,46,28,8,100,0.61,215,204,0.08,-0.05,0.5429999999999999,40.0,33-28-21,0.53,20132014
846,Detroit Red Wings*,82,39,28,15,93,0.5670000000000001,222,230,-0.14,-0.04,0.5,34.0,30-28-24,0.512,20132014
847,Ottawa Senators,82,37,31,14,88,0.537,236,265,-0.37,-0.02,0.451,30.0,27-31-24,0.47600000000000003,20132014
848,Toronto Maple Leafs,82,38,36,8,84,0.512,231,256,-0.34,-0.04,0.433,29.0,24-36-22,0.42700000000000005,20132014
849,Florida Panthers,82,29,45,8,66,0.402,196,268,-0.87,0.01,0.341,21.0,21-45-16,0.354,20132014
850,Buffalo Sabres,82,21,51,10,52,0.317,157,248,-1.09,0.02,0.244,14.0,11-51-20,0.256,20132014
851,Pittsburgh Penguins*,82,51,24,7,109,0.665,249,207,0.47,-0.04,0.598,44.0,40-24-18,0.598,20132014
852,New York Rangers*,82,45,31,6,96,0.585,218,193,0.26,-0.04,0.5429999999999999,41.0,39-31-12,0.5489999999999999,20132014
853,Philadelphia Flyers*,82,42,30,10,94,0.573,236,235,-0.01,-0.02,0.5429999999999999,39.0,35-30-17,0.53,20132014
854,Columbus Blue Jackets*,82,43,32,7,93,0.5670000000000001,231,216,0.16,-0.03,0.506,38.0,35-32-15,0.518,20132014
855,Washington Capitals,82,38,30,14,90,0.5489999999999999,235,240,-0.08,-0.02,0.47,28.0,24-30-28,0.46299999999999997,20132014
856,New Jersey Devils,82,35,29,18,88,0.537,197,208,-0.15,-0.02,0.506,35.0,26-29-27,0.48200000000000004,20132014
857,Carolina Hurricanes,82,36,35,11,83,0.506,207,230,-0.29,-0.01,0.451,34.0,30-35-17,0.47,20132014
858,New York Islanders,82,34,37,11,79,0.48200000000000004,225,267,-0.51,0.0,0.396,25.0,21-37-24,0.402,20132014
859,Colorado Avalanche*,82,52,22,8,112,0.6829999999999999,250,220,0.4,0.04,0.628,47.0,37-22-23,0.591,20132014
860,St. Louis Blues*,82,52,23,7,111,0.677,248,191,0.71,0.01,0.598,43.0,40-23-19,0.604,20132014
861,Chicago Blackhawks*,82,46,21,15,107,0.652,267,220,0.6,0.02,0.573,40.0,39-21-22,0.61,20132014
862,Minnesota Wild*,82,43,27,12,98,0.598,207,206,0.07,0.05,0.524,35.0,32-27-23,0.53,20132014
863,Dallas Stars*,82,40,31,11,91,0.555,235,228,0.14,0.05,0.494,36.0,34-31-17,0.518,20132014
864,Nashville Predators,82,38,32,12,88,0.537,216,242,-0.25,0.07,0.506,36.0,33-32-17,0.506,20132014
865,Winnipeg Jets,82,37,35,10,84,0.512,227,237,-0.07,0.06,0.439,29.0,24-35-23,0.433,20132014
866,Anaheim Ducks*,82,54,20,8,116,0.7070000000000001,266,209,0.68,-0.01,0.677,51.0,44-20-18,0.6459999999999999,20132014
867,San Jose Sharks*,82,51,22,9,111,0.677,249,200,0.6,0.0,0.604,41.0,37-22-23,0.591,20132014
868,Los Angeles Kings*,82,46,28,8,100,0.61,206,174,0.4,0.01,0.5489999999999999,38.0,34-28-20,0.537,20132014
869,Phoenix Coyotes,82,37,30,15,89,0.5429999999999999,216,231,-0.16,0.03,0.457,31.0,28-30-24,0.488,20132014
870,Vancouver Canucks,82,36,35,11,83,0.506,196,223,-0.3,0.03,0.451,31.0,25-35-22,0.439,20132014
871,Calgary Flames,82,35,40,7,77,0.47,209,241,-0.35,0.04,0.402,28.0,21-40-21,0.384,20132014
872,Edmonton Oilers,82,29,44,9,67,0.409,203,270,-0.75,0.07,0.348,25.0,20-44-18,0.354,20132014
873,New York Rangers*,82,53,22,7,113,0.6890000000000001,252,192,0.69,-0.04,0.652,49.0,43-22-17,0.628,20142015
874,ontreal Canadiens*,82,50,22,10,110,0.6709999999999999,221,189,0.36,-0.03,0.598,43.0,37-22-23,0.591,20142015
875,St. Louis Blues*,82,51,24,7,109,0.665,248,201,0.59,0.02,0.591,42.0,37-24-21,0.579,20142015
876,Anaheim Ducks*,82,51,24,7,109,0.665,236,226,0.1,-0.03,0.604,43.0,35-24-23,0.5670000000000001,20142015
877,Tampa Bay Lightning*,82,50,24,8,108,0.659,262,211,0.57,-0.06,0.622,47.0,43-24-15,0.616,20142015
878,Nashville Predators*,82,47,25,10,104,0.634,232,208,0.33,0.03,0.573,41.0,33-25-24,0.5489999999999999,20142015
879,Chicago Blackhawks*,82,48,28,6,102,0.622,229,189,0.51,0.02,0.5489999999999999,39.0,36-28-18,0.5489999999999999,20142015
880,New York Islanders*,82,47,28,7,101,0.616,252,230,0.26,-0.01,0.5670000000000001,40.0,34-28-20,0.537,20142015
881,Washington Capitals*,82,45,26,11,101,0.616,242,203,0.44,-0.03,0.5429999999999999,40.0,35-26-21,0.555,20142015
882,Vancouver Canucks*,82,48,29,5,101,0.616,242,222,0.2,-0.05,0.561,42.0,36-29-17,0.5429999999999999,20142015
883,Detroit Red Wings*,82,43,25,14,100,0.61,235,221,0.14,-0.03,0.561,39.0,32-25-25,0.5429999999999999,20142015
884,Minnesota Wild*,82,46,28,8,100,0.61,231,201,0.39,0.03,0.555,42.0,38-28-16,0.561,20142015
885,Ottawa Senators*,82,43,26,13,99,0.604,238,215,0.25,-0.04,0.53,37.0,30-26-26,0.524,20142015
886,Winnipeg Jets*,82,43,26,13,99,0.604,230,210,0.29,0.04,0.518,36.0,32-26-24,0.537,20142015
887,Pittsburgh Penguins*,82,43,27,12,98,0.598,221,210,0.12,-0.01,0.537,39.0,33-27-22,0.537,20142015
888,Calgary Flames*,82,45,30,7,97,0.591,241,216,0.26,-0.05,0.5429999999999999,41.0,32-30-20,0.512,20142015
