Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Minnesota North Stars*,80,37,23,20,94,0.588,346,288,0.53,-0.19,,,,
Winnipeg Jets*,80,33,33,14,80,0.5,319,332,-0.28,-0.12,,,,
St. Louis Blues*,80,32,40,8,72,0.45,315,349,-0.52,-0.1,,,,
Chicago Black Hawks*,80,30,38,12,72,0.45,332,363,-0.49,-0.1,,,,
Toronto Maple Leafs,80,20,44,16,56,0.35,298,380,-1.08,-0.05,,,,
Detroit Red Wings,80,21,47,12,54,0.338,270,351,-1.07,-0.05,,,,
Edmonton Oilers*,80,48,17,15,111,0.694,417,295,1.33,-0.19,,,,
Vancouver Canucks*,80,30,33,17,77,0.481,290,286,-0.01,-0.06,,,,
Calgary Flames*,80,29,34,17,75,0.469,334,345,-0.18,-0.04,,,,
Los Angeles Kings*,80,24,41,15,63,0.394,314,369,-0.68,0.01,,,,
Colorado Rockies,80,18,49,13,49,0.306,241,362,-1.43,0.08,,,,
Montreal Canadiens*,80,46,17,17,109,0.681,360,223,1.68,-0.04,,,,
Boston Bruins*,80,43,27,10,96,0.6,323,285,0.55,0.08,,,,
Buffalo Sabres*,80,39,26,15,93,0.581,307,273,0.51,0.08,,,,
Quebec Nordiques*,80,33,31,16,82,0.513,356,345,0.25,0.11,,,,
Hartford Whalers,80,21,41,18,60,0.375,264,351,-0.87,0.22,,,,
New York Islanders*,80,54,16,10,118,0.738,385,250,1.63,-0.05,,,,
New York Rangers*,80,39,27,14,92,0.575,316,306,0.21,0.09,,,,
Philadelphia Flyers*,80,38,31,11,87,0.544,325,313,0.24,0.09,,,,
Pittsburgh Penguins*,80,31,36,13,75,0.469,310,337,-0.21,0.13,,,,
Washington Capitals,80,26,41,13,65,0.406,319,338,-0.12,0.12,,,,
