Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Philadelphia Flyers*,82,45,26,11,101,0.616,267,259,0,-0.1,0.561,41,34-26-22,0.549
New Jersey Devils*,82,46,27,9,101,0.616,242,229,0.05,-0.11,0.53,37,33-27-22,0.537
New York Rangers*,82,44,26,12,100,0.61,257,215,0.38,-0.14,0.518,37,33-26-23,0.543
New York Islanders,82,36,40,6,78,0.476,230,278,-0.62,-0.04,0.402,27,24-40-18,0.402
Pittsburgh Penguins,82,22,46,14,58,0.354,244,316,-0.89,-0.01,0.299,21,17-46-19,0.323
Ottawa Senators*,82,52,21,9,113,0.689,314,211,1.18,-0.08,0.659,50,48-21-13,0.665
Buffalo Sabres*,82,52,24,6,110,0.671,281,239,0.5,-0.01,0.634,47,41-24-17,0.604
Montreal Canadiens*,82,42,31,9,93,0.567,243,247,-0.01,0.04,0.518,40,33-31-18,0.512
Toronto Maple Leafs,82,41,33,8,90,0.549,257,270,-0.11,0.05,0.524,38,31-33-18,0.488
Boston Bruins,82,29,37,16,74,0.451,230,266,-0.36,0.08,0.39,27,23-37-22,0.415
Carolina Hurricanes*,82,52,22,8,112,0.683,294,260,0.29,-0.13,0.598,44,40-22-20,0.61
Tampa Bay Lightning*,82,43,33,6,92,0.561,252,260,-0.18,-0.08,0.512,37,31-33-18,0.488
Atlanta Thrashers,82,41,33,8,90,0.549,281,275,-0.03,-0.1,0.5,36,31-33-18,0.488
Florida Panthers,82,37,34,11,85,0.518,240,257,-0.28,-0.07,0.457,33,25-34-23,0.445
Washington Capitals,82,29,41,12,70,0.427,237,306,-0.86,-0.02,0.348,22,20-41-21,0.372
Detroit Red Wings*,82,58,16,8,124,0.756,305,209,1.03,-0.14,0.701,54,51-16-15,0.713
Nashville Predators*,82,49,25,8,106,0.646,259,227,0.32,-0.07,0.579,43,40-25-17,0.591
Columbus Blue Jackets,82,35,43,4,74,0.451,223,279,-0.66,0.02,0.396,27,21-43-18,0.366
Chicago Blackhawks,82,26,43,13,65,0.396,211,285,-0.86,0.04,0.341,24,17-43-22,0.341
St. Louis Blues,82,21,46,15,57,0.348,197,292,-1.09,0.07,0.28,17,14-46-22,0.305
Calgary Flames*,82,46,25,11,103,0.628,218,200,0.3,0.08,0.591,44,42-25-15,0.604
Colorado Avalanche*,82,43,30,9,95,0.579,283,257,0.39,0.07,0.543,40,37-30-15,0.543
Edmonton Oilers*,82,41,28,13,95,0.579,256,251,0.15,0.09,0.512,34,28-28-26,0.5
Vancouver Canucks,82,42,32,8,92,0.561,256,255,0.11,0.1,0.512,38,34-32-16,0.512
Minnesota Wild,82,38,36,8,84,0.512,231,215,0.28,0.08,0.451,33,32-36-14,0.476
Dallas Stars*,82,53,23,6,112,0.683,265,218,0.61,0.04,0.579,41,38-23-21,0.591
San Jose Sharks*,82,44,27,11,99,0.604,266,242,0.36,0.06,0.573,43,34-27-21,0.543
Mighty Ducks of Anaheim*,82,43,27,12,98,0.598,254,229,0.37,0.06,0.549,40,37-27-18,0.561
Los Angeles Kings,82,42,35,5,89,0.543,249,270,-0.15,0.11,0.482,36,32-35-15,0.482
Phoenix Coyotes,82,38,39,5,81,0.494,246,271,-0.19,0.12,0.457,34,28-39-15,0.433
