Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
New York Rangers*,82,53,22,7,113,0.689,252,192,0.69,-0.04,0.652,49,43-22-17,0.628
ontreal Canadiens*,82,50,22,10,110,0.671,221,189,0.36,-0.03,0.598,43,37-22-23,0.591
St. Louis Blues*,82,51,24,7,109,0.665,248,201,0.59,0.02,0.591,42,37-24-21,0.579
Anaheim Ducks*,82,51,24,7,109,0.665,236,226,0.1,-0.03,0.604,43,35-24-23,0.567
Tampa Bay Lightning*,82,50,24,8,108,0.659,262,211,0.57,-0.06,0.622,47,43-24-15,0.616
Nashville Predators*,82,47,25,10,104,0.634,232,208,0.33,0.03,0.573,41,33-25-24,0.549
Chicago Blackhawks*,82,48,28,6,102,0.622,229,189,0.51,0.02,0.549,39,36-28-18,0.549
New York Islanders*,82,47,28,7,101,0.616,252,230,0.26,-0.01,0.567,40,34-28-20,0.537
Washington Capitals*,82,45,26,11,101,0.616,242,203,0.44,-0.03,0.543,40,35-26-21,0.555
Vancouver Canucks*,82,48,29,5,101,0.616,242,222,0.2,-0.05,0.561,42,36-29-17,0.543
Detroit Red Wings*,82,43,25,14,100,0.61,235,221,0.14,-0.03,0.561,39,32-25-25,0.543
Minnesota Wild*,82,46,28,8,100,0.61,231,201,0.39,0.03,0.555,42,38-28-16,0.561
Ottawa Senators*,82,43,26,13,99,0.604,238,215,0.25,-0.04,0.53,37,30-26-26,0.524
Winnipeg Jets*,82,43,26,13,99,0.604,230,210,0.29,0.04,0.518,36,32-26-24,0.537
Pittsburgh Penguins*,82,43,27,12,98,0.598,221,210,0.12,-0.01,0.537,39,33-27-22,0.537
Calgary Flames*,82,45,30,7,97,0.591,241,216,0.26,-0.05,0.543,41,32-30-20,0.512
Boston Bruins,82,41,27,14,96,0.585,213,211,0.01,-0.01,0.537,37,28-27-27,0.506
Los Angeles Kings,82,40,27,15,95,0.579,220,205,0.16,-0.03,0.524,38,37-27-18,0.561
Dallas Stars,82,41,31,10,92,0.561,261,260,0.06,0.05,0.494,37,33-31-18,0.512
Florida Panthers,82,38,29,15,91,0.555,206,223,-0.23,-0.02,0.476,30,29-29-24,0.5
Colorado Avalanche,82,39,31,12,90,0.549,219,227,-0.04,0.06,0.439,29,27-31-24,0.476
Columbus Blue Jackets,82,42,35,5,89,0.543,236,250,-0.16,0.01,0.47,33,28-35-19,0.457
San Jose Sharks,82,40,33,9,89,0.543,228,232,-0.08,-0.03,0.5,36,34-33-15,0.506
Philadelphia Flyers,82,33,31,18,84,0.512,215,234,-0.23,0,0.451,30,25-31-26,0.463
New Jersey Devils,82,32,36,14,78,0.476,181,216,-0.4,0.02,0.402,27,26-36-20,0.439
Carolina Hurricanes,82,30,41,11,71,0.433,188,226,-0.44,0.02,0.378,25,24-41-17,0.396
Toronto Maple Leafs,82,30,44,8,68,0.415,211,262,-0.61,0.02,0.366,25,22-44-16,0.366
Edmonton Oilers,82,24,44,14,62,0.378,198,283,-1.01,0.03,0.305,19,17-44-21,0.335
Arizona Coyotes,82,24,50,8,56,0.341,170,272,-1.2,0.04,0.293,19,14-50-18,0.28
Buffalo Sabres,82,23,51,8,54,0.329,161,274,-1.33,0.05,0.262,15,14-51-17,0.274
