Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
St. Louis Blues*,80,37,31,12,86,0.538,299,288,-0.04,-0.18,,,,
Chicago Black Hawks*,80,38,35,7,83,0.519,309,299,-0.05,-0.18,,,,
Detroit Red Wings*,80,27,41,12,66,0.413,313,357,-0.66,-0.11,,,,
Minnesota North Stars*,80,25,43,12,62,0.388,268,321,-0.77,-0.1,,,,
Toronto Maple Leafs,80,20,52,8,48,0.3,253,358,-1.36,-0.04,,,,
Edmonton Oilers*,80,49,20,11,109,0.681,401,298,1.25,-0.04,,,,
Winnipeg Jets*,80,43,27,10,96,0.6,358,332,0.37,0.05,,,,
Calgary Flames*,80,41,27,12,94,0.588,363,302,0.77,0.01,,,,
Los Angeles Kings*,80,34,32,14,82,0.513,339,326,0.23,0.06,,,,
Vancouver Canucks,80,25,46,9,59,0.369,284,401,-1.25,0.21,,,,
Montreal Canadiens*,80,41,27,12,94,0.588,309,262,0.64,0.05,,,,
Quebec Nordiques*,80,41,30,9,91,0.569,323,275,0.65,0.05,,,,
Buffalo Sabres*,80,38,28,14,90,0.563,290,237,0.71,0.04,,,,
Boston Bruins*,80,36,34,10,82,0.513,303,287,0.29,0.09,,,,
Hartford Whalers,80,30,41,9,69,0.431,268,318,-0.47,0.16,,,,
Philadelphia Flyers*,80,53,20,7,113,0.706,348,241,1.22,-0.12,,,,
Washington Capitals*,80,46,25,9,101,0.631,322,240,0.93,-0.1,,,,
New York Islanders*,80,40,34,6,86,0.538,345,312,0.37,-0.05,,,,
New York Rangers*,80,26,44,10,62,0.388,295,345,-0.59,0.04,,,,
New Jersey Devils,80,22,48,10,54,0.338,264,346,-0.96,0.07,,,,
Pittsburgh Penguins,80,24,51,5,53,0.331,276,385,-1.27,0.1,,,,
