Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Chicago Blackhawks*,84,47,25,12,106,0.631,279,230,0.58,-0.01,,,,
Detroit Red Wings*,84,47,28,9,103,0.613,369,280,0.99,-0.07,,,,
Toronto Maple Leafs*,84,44,29,11,99,0.589,288,241,0.47,-0.09,,,,
St. Louis Blues*,84,37,36,11,85,0.506,282,278,0.06,0.01,,,,
Minnesota North Stars,84,36,38,10,82,0.488,272,293,-0.21,0.04,,,,
Tampa Bay Lightning,84,23,54,7,53,0.315,245,332,-0.96,0.08,,,,
Vancouver Canucks*,84,46,29,9,101,0.601,346,278,0.6,-0.21,,,,
Calgary Flames*,84,43,30,11,97,0.577,322,282,0.25,-0.22,,,,
Los Angeles Kings*,84,39,35,10,88,0.524,338,340,-0.13,-0.1,,,,
Winnipeg Jets*,84,40,37,7,87,0.518,322,320,-0.2,-0.23,,,,
Edmonton Oilers,84,26,50,8,60,0.357,242,337,-1.19,-0.06,,,,
San Jose Sharks,84,11,71,2,24,0.143,218,414,-2.29,0.05,,,,
Boston Bruins*,84,51,26,7,109,0.649,332,268,0.74,-0.03,,,,
Quebec Nordiques*,84,47,27,10,104,0.619,351,300,0.5,-0.11,,,,
Montreal Canadiens*,84,48,30,6,102,0.607,326,280,0.49,-0.06,,,,
Buffalo Sabres*,84,38,36,10,86,0.512,335,297,0.41,-0.04,,,,
Hartford Whalers,84,26,52,6,58,0.345,284,369,-0.93,0.08,,,,
Ottawa Senators,84,10,70,4,24,0.143,202,395,-2.1,0.2,,,,
Pittsburgh Penguins*,84,56,21,7,119,0.708,367,268,1.23,0.05,,,,
Washington Capitals*,84,43,34,7,93,0.554,325,286,0.57,0.11,,,,
New York Islanders*,84,40,37,7,87,0.518,335,297,0.56,0.11,,,,
New Jersey Devils*,84,40,37,7,87,0.518,308,299,0.26,0.15,,,,
Philadelphia Flyers,84,36,37,11,83,0.494,319,319,0.2,0.2,,,,
New York Rangers,84,34,39,11,79,0.47,304,308,0.1,0.15,,,,
