Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Philadelphia Flyers*,82,42,27,13,97,0.591,234,192,0.41,-0.11,0.573,,,
New York Islanders*,82,42,28,12,96,0.585,239,220,0.15,-0.08,0.561,,,
New Jersey Devils*,82,41,28,13,95,0.579,205,187,0.15,-0.07,0.555,,,
New York Rangers,82,36,38,8,80,0.488,227,258,-0.43,-0.05,0.463,,,
Pittsburgh Penguins,82,28,41,13,69,0.421,198,249,-0.66,-0.04,0.39,,,
Boston Bruins*,82,43,24,15,101,0.616,236,201,0.33,-0.09,0.561,,,
Toronto Maple Leafs*,82,43,25,14,100,0.61,249,207,0.44,-0.08,0.585,,,
Ottawa Senators*,82,39,27,16,94,0.573,243,208,0.36,-0.07,0.53,,,
Montreal Canadiens*,82,36,31,15,87,0.53,207,209,-0.1,-0.08,0.512,,,
Buffalo Sabres,82,35,35,12,82,0.5,213,200,0.09,-0.07,0.494,,,
Carolina Hurricanes*,82,35,26,21,91,0.555,217,217,-0.09,-0.09,0.524,,,
Washington Capitals,82,36,33,13,85,0.518,228,240,-0.25,-0.1,0.506,,,
Tampa Bay Lightning,82,27,40,15,69,0.421,178,219,-0.58,-0.08,0.396,,,
Florida Panthers,82,22,44,16,60,0.366,180,250,-0.92,-0.07,0.329,,,
Atlanta Thrashers,82,19,47,16,54,0.329,187,288,-1.27,-0.04,0.299,,,
Detroit Red Wings*,82,51,17,14,116,0.707,251,187,0.83,0.05,0.683,,,
St. Louis Blues*,82,43,27,12,98,0.598,227,188,0.54,0.07,0.573,,,
Chicago Blackhawks*,82,41,27,14,96,0.585,216,207,0.19,0.08,0.579,,,
Nashville Predators,82,28,41,13,69,0.421,196,230,-0.31,0.1,0.421,,,
Columbus Blue Jackets,82,22,47,13,57,0.348,164,255,-0.97,0.14,0.317,,,
Colorado Avalanche*,82,45,28,9,99,0.604,212,169,0.58,0.06,0.598,,,
Vancouver Canucks*,82,42,30,10,94,0.573,254,211,0.59,0.07,0.555,,,
Edmonton Oilers,82,38,28,16,92,0.561,205,182,0.34,0.06,0.537,,,
Calgary Flames,82,32,35,15,79,0.482,201,220,-0.15,0.08,0.463,,,
Minnesota Wild,82,26,35,21,73,0.445,195,238,-0.41,0.11,0.39,,,
San Jose Sharks*,82,44,27,11,99,0.604,248,199,0.62,0.02,0.585,,,
Los Angeles Kings*,82,40,27,15,95,0.579,214,190,0.35,0.05,0.555,,,
Phoenix Coyotes*,82,40,27,15,95,0.579,228,210,0.29,0.07,0.543,,,
Dallas Stars,82,36,28,18,90,0.549,215,213,0.09,0.07,0.518,,,
Mighty Ducks of Anaheim,82,29,42,11,69,0.421,175,198,-0.2,0.08,0.402,,,
