Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Detroit Red Wings*,80,41,28,11,93,0.581,322,269,0.44,-0.23,,,,
St. Louis Blues*,80,34,38,8,76,0.475,278,294,-0.35,-0.15,,,,
Chicago Blackhawks*,80,30,41,9,69,0.431,284,328,-0.67,-0.12,,,,
Toronto Maple Leafs*,80,21,49,10,52,0.325,273,345,-0.99,-0.09,,,,
Minnesota North Stars,80,19,48,13,51,0.319,242,349,-1.38,-0.05,,,,
Calgary Flames*,80,48,23,9,105,0.656,397,305,1.1,-0.05,,,,
Edmonton Oilers*,80,44,25,11,99,0.619,363,288,0.91,-0.03,,,,
Winnipeg Jets*,80,33,36,11,77,0.481,292,310,-0.15,0.08,,,,
Los Angeles Kings*,80,30,42,8,68,0.425,318,359,-0.41,0.1,,,,
Vancouver Canucks,80,25,46,9,59,0.369,272,320,-0.49,0.11,,,,
Montreal Canadiens*,80,45,22,13,103,0.644,298,238,0.71,-0.04,,,,
Boston Bruins*,80,44,30,6,94,0.588,300,251,0.59,-0.03,,,,
Buffalo Sabres*,80,37,32,11,85,0.531,283,305,-0.22,0.06,,,,
Hartford Whalers*,80,35,38,7,77,0.481,249,267,-0.17,0.05,,,,
Quebec Nordiques,80,32,43,5,69,0.431,271,306,-0.37,0.07,,,,
New York Islanders*,80,39,31,10,88,0.55,308,267,0.54,0.03,,,,
Washington Capitals*,80,38,33,9,85,0.531,281,249,0.44,0.04,,,,
Philadelphia Flyers*,80,38,33,9,85,0.531,292,292,0.07,0.07,,,,
New Jersey Devils*,80,38,36,6,82,0.513,295,296,0.06,0.07,,,,
New York Rangers,80,36,34,10,82,0.513,300,283,0.26,0.05,,,,
Pittsburgh Penguins,80,36,35,9,81,0.506,319,316,0.1,0.06,,,,
