Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Philadelphia Flyers*,82,40,21,21,101,0.616,229,186,0.47,-0.05,0.579,,,
New Jersey Devils*,82,43,25,14,100,0.61,213,164,0.54,-0.06,0.598,,,
New York Islanders*,82,38,29,15,91,0.555,237,210,0.29,-0.04,0.53,,,
New York Rangers,82,27,40,15,69,0.421,206,250,-0.51,0.03,0.372,,,
Pittsburgh Penguins,82,23,47,12,58,0.354,190,303,-1.31,0.07,0.329,,,
Boston Bruins*,82,41,19,22,104,0.634,209,188,0.29,0.03,0.591,,,
Toronto Maple Leafs*,82,45,24,13,103,0.628,242,204,0.48,0.02,0.61,,,
Ottawa Senators*,82,43,23,16,102,0.622,262,189,0.88,-0.01,0.585,,,
Montreal Canadiens*,82,41,30,11,93,0.567,208,192,0.23,0.04,0.543,,,
Buffalo Sabres,82,37,34,11,85,0.518,220,221,0.02,0.04,0.494,,,
Tampa Bay Lightning*,82,46,22,14,106,0.646,245,192,0.56,-0.09,0.61,,,
Atlanta Thrashers,82,33,37,12,78,0.476,214,243,-0.38,-0.03,0.451,,,
Carolina Hurricanes,82,28,34,20,76,0.463,172,209,-0.46,-0.01,0.427,,,
Florida Panthers,82,28,35,19,75,0.457,188,221,-0.42,-0.02,0.433,,,
Washington Capitals,82,23,46,13,59,0.36,186,253,-0.8,0.02,0.341,,,
Detroit Red Wings*,82,48,21,13,109,0.665,255,189,0.72,-0.09,0.652,,,
St. Louis Blues*,82,39,30,13,91,0.555,191,198,-0.09,-0.01,0.543,,,
Nashville Predators*,82,38,29,15,91,0.555,216,217,-0.05,-0.04,0.53,,,
Columbus Blue Jackets,82,25,45,12,62,0.378,177,238,-0.72,0.03,0.354,,,
Chicago Blackhawks,82,20,43,19,59,0.36,188,259,-0.84,0.02,0.311,,,
Vancouver Canucks*,82,43,24,15,101,0.616,235,194,0.52,0.02,0.585,,,
Colorado Avalanche*,82,40,22,20,100,0.61,236,198,0.48,0.02,0.567,,,
Calgary Flames*,82,42,30,10,94,0.573,200,176,0.33,0.04,0.555,,,
Edmonton Oilers,82,36,29,17,89,0.543,221,208,0.21,0.05,0.512,,,
Minnesota Wild,82,30,29,23,83,0.506,188,183,0.08,0.02,0.488,,,
San Jose Sharks*,82,43,21,18,104,0.634,219,183,0.4,-0.04,0.598,,,
Dallas Stars*,82,41,26,15,97,0.591,194,175,0.22,-0.01,0.579,,,
Los Angeles Kings,82,28,29,25,81,0.494,205,217,-0.15,0,0.439,,,
Mighty Ducks of Anaheim,82,29,35,18,76,0.463,184,213,-0.34,0.01,0.415,,,
Phoenix Coyotes,82,22,36,24,68,0.415,188,245,-0.66,0.04,0.378,,,
