Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
hiladelphia Flyers*,82,47,23,12,106,0.646,259,223,0.4,-0.04,0.598,44,41-23-18,0.61
Pittsburgh Penguins*,82,49,25,8,106,0.646,238,199,0.43,-0.05,0.555,39,34-25-23,0.555
New York Rangers*,82,44,33,5,93,0.567,233,198,0.37,-0.06,0.5,35,32-33-17,0.494
New Jersey Devils,82,38,39,5,81,0.494,174,209,-0.41,0.02,0.457,35,28-39-15,0.433
New York Islanders,82,30,39,13,73,0.445,229,264,-0.42,0.01,0.378,26,19-39-24,0.378
Boston Bruins*,82,46,25,11,103,0.628,246,195,0.56,-0.07,0.585,44,43-25-14,0.61
Montreal Canadiens*,82,44,30,8,96,0.585,216,209,0.05,-0.04,0.537,41,36-30-16,0.537
Buffalo Sabres*,82,43,29,10,96,0.585,245,229,0.15,-0.04,0.5,38,28-29-25,0.494
Toronto Maple Leafs,82,37,34,11,85,0.518,218,251,-0.41,0,0.457,32,30-34-18,0.476
Ottawa Senators,82,32,40,10,74,0.451,192,250,-0.69,0.02,0.409,30,28-40-14,0.427
Washington Capitals*,82,48,23,11,107,0.652,224,197,0.27,-0.06,0.591,43,34-23-25,0.567
Tampa Bay Lightning*,82,46,25,11,103,0.628,247,240,0.04,-0.05,0.561,40,32-25-25,0.543
Carolina Hurricanes,82,40,31,11,91,0.555,236,239,-0.08,-0.04,0.488,35,29-31-22,0.488
Atlanta Thrashers,82,34,36,12,80,0.488,223,269,-0.57,-0.01,0.427,29,19-36-27,0.396
Florida Panthers,82,30,40,12,72,0.439,195,229,-0.43,-0.01,0.384,26,20-40-22,0.378
Detroit Red Wings*,82,47,25,10,104,0.634,261,241,0.27,0.03,0.573,43,34-25-23,0.555
Nashville Predators*,82,44,27,11,99,0.604,219,194,0.31,0.01,0.524,38,36-27-19,0.555
Chicago Blackhawks*,82,44,29,9,97,0.591,258,225,0.41,0.01,0.53,38,34-29-19,0.53
St. Louis Blues,82,38,33,11,87,0.53,240,234,0.11,0.04,0.476,34,31-33-18,0.488
Columbus Blue Jackets,82,34,35,13,81,0.494,215,258,-0.45,0.08,0.433,29,24-35-23,0.433
Vancouver Canucks*,82,54,19,9,117,0.713,262,185,0.87,-0.07,0.665,50,46-19-17,0.665
Calgary Flames,82,41,29,12,94,0.573,250,237,0.14,-0.02,0.488,32,30-29-23,0.506
Minnesota Wild,82,39,35,8,86,0.524,206,233,-0.3,0.03,0.488,36,31-35-16,0.476
Colorado Avalanche,82,30,44,8,68,0.415,227,288,-0.7,0.05,0.335,24,18-44-20,0.341
Edmonton Oilers,82,25,45,12,62,0.378,193,269,-0.87,0.06,0.348,23,21-45-16,0.354
San Jose Sharks*,82,48,25,9,105,0.64,248,213,0.44,0.02,0.585,43,38-25-19,0.579
Anaheim Ducks*,82,47,30,5,99,0.604,239,235,0.09,0.05,0.561,43,34-30-18,0.524
Phoenix Coyotes*,82,43,26,13,99,0.604,231,226,0.11,0.05,0.53,38,36-26-20,0.561
Los Angeles Kings*,82,46,30,6,98,0.598,219,198,0.29,0.03,0.512,36,35-30-17,0.53
Dallas Stars,82,42,29,11,95,0.579,227,233,-0.02,0.05,0.524,37,32-29-21,0.518
