Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Chicago Blackhawks*,80,49,23,8,106,0.663,284,211,0.85,-0.06,,,,
St. Louis Blues*,80,47,22,11,105,0.656,310,250,0.7,-0.05,,,,
Detroit Red Wings*,80,34,38,8,76,0.475,273,298,-0.27,0.05,,,,
Minnesota North Stars*,80,27,39,14,68,0.425,256,266,-0.1,0.03,,,,
Toronto Maple Leafs,80,23,46,11,57,0.356,241,318,-0.86,0.11,,,,
Los Angeles Kings*,80,46,24,10,102,0.638,340,254,1.04,-0.04,,,,
Calgary Flames*,80,46,26,8,100,0.625,344,263,0.98,-0.03,,,,
Edmonton Oilers*,80,37,37,6,80,0.5,272,272,0.06,0.06,,,,
Vancouver Canucks*,80,28,43,9,65,0.406,243,315,-0.76,0.14,,,,
Winnipeg Jets,80,26,43,11,63,0.394,260,288,-0.26,0.09,,,,
Boston Bruins*,80,44,24,12,100,0.625,299,264,0.32,-0.12,,,,
Montreal Canadiens*,80,39,30,11,89,0.556,273,249,0.2,-0.1,,,,
Buffalo Sabres*,80,31,30,19,81,0.506,292,278,0.08,-0.09,,,,
Hartford Whalers*,80,31,38,11,73,0.456,238,276,-0.51,-0.03,,,,
Quebec Nordiques,80,16,50,14,46,0.288,236,354,-1.42,0.06,,,,
Pittsburgh Penguins*,80,41,33,6,88,0.55,342,305,0.42,-0.04,,,,
New York Rangers*,80,36,31,13,85,0.531,297,265,0.36,-0.04,,,,
Washington Capitals*,80,37,36,7,81,0.506,258,258,0,0,,,,
New Jersey Devils*,80,32,33,15,79,0.494,272,264,0.09,-0.01,,,,
Philadelphia Flyers,80,33,37,10,76,0.475,252,267,-0.18,0.01,,,,
New York Islanders,80,25,45,10,60,0.375,223,290,-0.77,0.06,,,,
