Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
hiladelphia Flyers*,48,28,16,4,60,0.625,150,132,0.36,-0.01,,,,
Washington Capitals*,48,22,18,8,52,0.542,136,120,0.33,-0.01,,,,
New Jersey Devils*,48,22,18,8,52,0.542,136,121,0.3,-0.01,,,,
New York Rangers*,48,22,23,3,47,0.49,139,134,0.1,-0.01,,,,
Florida Panthers,48,20,22,6,46,0.479,115,127,-0.26,-0.01,,,,
Tampa Bay Lightning,48,17,28,3,37,0.385,120,144,-0.49,0.01,,,,
New York Islanders,48,15,28,5,35,0.365,126,158,-0.63,0.04,,,,
Quebec Nordiques*,48,30,13,5,65,0.677,185,134,1.01,-0.06,,,,
Pittsburgh Penguins*,48,29,16,3,61,0.635,181,158,0.44,-0.04,,,,
Boston Bruins*,48,27,18,3,57,0.594,150,127,0.46,-0.02,,,,
Buffalo Sabres*,48,22,19,7,51,0.531,130,119,0.2,-0.03,,,,
Hartford Whalers,48,19,24,5,43,0.448,127,141,-0.27,0.02,,,,
Montreal Canadiens,48,18,23,7,43,0.448,125,148,-0.42,0.06,,,,
Ottawa Senators,48,9,34,5,23,0.24,117,174,-1.12,0.07,,,,
Detroit Red Wings*,48,33,11,4,70,0.729,180,117,1.24,-0.08,,,,
St. Louis Blues*,48,28,15,5,61,0.635,178,135,0.84,-0.06,,,,
Chicago Blackhawks*,48,24,19,5,53,0.552,156,115,0.8,-0.05,,,,
Toronto Maple Leafs*,48,21,19,8,50,0.521,135,146,-0.19,0.04,,,,
Dallas Stars*,48,17,23,8,42,0.438,136,135,0.07,0.05,,,,
Winnipeg Jets,48,16,25,7,39,0.406,157,177,-0.33,0.08,,,,
Calgary Flames*,48,24,17,7,55,0.573,163,135,0.49,-0.09,,,,
Vancouver Canucks*,48,18,18,12,48,0.5,153,148,0.06,-0.04,,,,
San Jose Sharks*,48,19,25,4,42,0.438,129,161,-0.66,0.01,,,,
Los Angeles Kings,48,16,23,9,41,0.427,142,174,-0.65,0.02,,,,
Edmonton Oilers,48,17,27,4,38,0.396,136,183,-0.92,0.06,,,,
Mighty Ducks of Anaheim,48,16,27,5,37,0.385,125,164,-0.77,0.05,,,,
