Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
orida Panthers*,82,47,26,9,103,0.628,239,203,0.42,-0.02,0.549,40,39-26-17,0.579
Tampa Bay Lightning*,82,46,31,5,97,0.591,227,201,0.3,-0.02,0.561,43,36-31-15,0.53
Detroit Red Wings*,82,41,30,11,93,0.567,211,224,-0.16,0,0.518,39,30-30-22,0.5
Boston Bruins,82,42,31,9,93,0.567,240,230,0.11,-0.02,0.5,38,33-31-18,0.512
Ottawa Senators,82,38,35,9,85,0.518,236,247,-0.13,0.01,0.463,32,26-35-21,0.445
Montreal Canadiens,82,38,38,6,82,0.5,221,236,-0.18,0,0.451,33,30-38-14,0.451
Buffalo Sabres,82,35,36,11,81,0.494,201,222,-0.25,0.01,0.457,33,29-36-17,0.457
Toronto Maple Leafs,82,29,42,11,69,0.421,198,246,-0.56,0.03,0.354,23,20-42-20,0.366
Washington Capitals*,82,56,18,8,120,0.732,252,193,0.7,-0.02,0.671,52,45-18-19,0.665
Pittsburgh Penguins*,82,48,26,8,104,0.634,245,203,0.5,-0.01,0.585,44,38-26-18,0.573
New York Rangers*,82,46,27,9,101,0.616,236,217,0.24,0.01,0.555,43,39-27-16,0.573
New York Islanders*,82,45,27,10,100,0.61,232,216,0.19,0,0.549,40,34-27-21,0.543
Philadelphia Flyers*,82,41,27,14,96,0.585,214,218,-0.03,0.02,0.53,38,28-27-27,0.506
Carolina Hurricanes,82,35,31,16,86,0.524,198,226,-0.31,0.03,0.445,33,25-31-26,0.463
New Jersey Devils,82,38,36,8,84,0.512,184,208,-0.28,0.02,0.488,36,27-36-19,0.445
Columbus Blue Jackets,82,34,40,8,76,0.463,219,252,-0.38,0.03,0.402,28,26-40-16,0.415
Dallas Stars*,82,50,23,9,109,0.665,267,230,0.45,-0.01,0.61,48,42-23-17,0.616
St. Louis Blues*,82,49,24,9,107,0.652,224,201,0.28,0,0.591,44,36-24-22,0.573
Chicago Blackhawks*,82,47,26,9,103,0.628,235,209,0.32,0,0.579,46,36-26-20,0.561
Nashville Predators*,82,41,27,14,96,0.585,228,215,0.17,0.01,0.488,37,35-27-20,0.549
Minnesota Wild*,82,38,33,11,87,0.53,216,206,0.13,0.01,0.457,35,34-33-15,0.506
Colorado Avalanche,82,39,39,4,82,0.5,216,240,-0.26,0.03,0.451,35,33-39-10,0.463
Winnipeg Jets,82,35,39,8,78,0.476,215,239,-0.26,0.03,0.427,32,29-39-14,0.439
Anaheim Ducks*,82,46,25,11,103,0.628,218,192,0.27,-0.05,0.567,43,39-25-18,0.585
Los Angeles Kings*,82,48,28,6,102,0.622,225,195,0.32,-0.04,0.591,46,34-28-20,0.537
San Jose Sharks*,82,46,30,6,98,0.598,241,210,0.33,-0.05,0.555,42,37-30-15,0.543
Arizona Coyotes,82,35,39,8,78,0.476,209,245,-0.43,0.01,0.427,34,29-39-14,0.439
Calgary Flames,82,35,40,7,77,0.47,231,260,-0.36,-0.01,0.433,33,24-40-18,0.402
Vancouver Canucks,82,31,38,13,75,0.457,191,243,-0.62,0.02,0.372,26,22-38-22,0.402
Edmonton Oilers,82,31,43,8,70,0.427,203,245,-0.51,0,0.372,27,20-43-19,0.36
