Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Pittsburgh Penguins*,82,47,27,8,102,0.622,247,216,0.24,-0.14,0.555,40,39-27-16,0.573
New Jersey Devils*,82,46,29,7,99,0.604,206,197,0,-0.11,0.537,38,31-29-22,0.512
New York Rangers*,82,42,27,13,97,0.591,213,199,0.05,-0.12,0.518,34,30-27-25,0.518
Philadelphia Flyers*,82,42,29,11,95,0.579,248,233,0.06,-0.12,0.53,39,36-29-17,0.543
New York Islanders,82,35,38,9,79,0.482,194,243,-0.65,-0.05,0.415,30,25-38-19,0.421
Montreal Canadiens*,82,47,25,10,104,0.634,262,222,0.35,-0.14,0.579,42,37-25-20,0.573
Ottawa Senators*,82,43,31,8,94,0.573,261,247,0.06,-0.11,0.537,40,37-31-14,0.537
Boston Bruins*,82,41,29,12,94,0.573,212,222,-0.2,-0.08,0.506,35,32-29-21,0.518
Buffalo Sabres,82,39,31,12,90,0.549,255,242,0.05,-0.11,0.506,35,30-31-21,0.494
Toronto Maple Leafs,82,36,35,11,83,0.506,231,260,-0.42,-0.06,0.445,33,28-35-19,0.457
Washington Capitals*,82,43,31,8,94,0.573,242,231,-0.06,-0.19,0.524,39,32-31-19,0.506
Carolina Hurricanes,82,43,33,6,92,0.561,252,249,-0.15,-0.18,0.53,41,36-33-13,0.518
Florida Panthers,82,38,35,9,85,0.518,216,226,-0.29,-0.17,0.47,33,29-35-18,0.463
Atlanta Thrashers,82,34,40,8,76,0.463,216,272,-0.8,-0.12,0.396,25,19-40-23,0.372
Tampa Bay Lightning,82,31,42,9,71,0.433,223,267,-0.67,-0.13,0.372,29,27-42-13,0.409
Detroit Red Wings*,82,54,21,7,115,0.701,257,184,0.93,0.04,0.659,49,47-21-14,0.659
Nashville Predators*,82,41,32,9,91,0.555,230,229,0.13,0.12,0.512,38,33-32-17,0.506
Chicago Blackhawks,82,40,34,8,88,0.537,239,235,0.16,0.12,0.482,35,31-34-17,0.482
Columbus Blue Jackets,82,34,36,12,80,0.488,193,218,-0.16,0.15,0.445,31,29-36-17,0.457
St. Louis Blues,82,33,36,13,79,0.482,205,237,-0.24,0.16,0.415,30,29-36-17,0.457
Minnesota Wild*,82,44,28,10,98,0.598,223,218,0.16,0.1,0.567,41,35-28-19,0.543
Colorado Avalanche*,82,44,31,7,95,0.579,231,219,0.24,0.09,0.512,37,33-31-18,0.512
Calgary Flames*,82,42,30,10,94,0.573,229,227,0.13,0.1,0.512,39,36-30-16,0.537
Vancouver Canucks,82,39,33,10,88,0.537,213,215,0.08,0.11,0.494,33,29-33-20,0.476
Edmonton Oilers,82,41,35,6,88,0.537,235,251,-0.07,0.12,0.433,26,22-35-25,0.421
San Jose Sharks*,82,49,23,10,108,0.659,222,193,0.47,0.12,0.598,43,40-23-19,0.604
Anaheim Ducks*,82,47,27,8,102,0.622,205,191,0.3,0.13,0.567,39,35-27-20,0.549
Dallas Stars*,82,45,30,7,97,0.591,242,207,0.54,0.11,0.537,40,37-30-15,0.543
Phoenix Coyotes,82,38,37,7,83,0.506,214,231,-0.04,0.17,0.47,33,29-37-16,0.451
Los Angeles Kings,82,32,43,7,71,0.433,231,266,-0.24,0.19,0.378,27,25-43-14,0.39
