Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Chicago Blackhawks*,80,41,33,6,88,0.55,316,294,0.23,-0.05,,,,
St. Louis Blues*,80,37,34,9,83,0.519,295,279,0.16,-0.04,,,,
Toronto Maple Leafs*,80,38,38,4,80,0.5,337,358,-0.26,0,,,,
Minnesota North Stars*,80,36,40,4,76,0.475,284,291,-0.1,-0.02,,,,
Detroit Red Wings,80,28,38,14,70,0.438,288,323,-0.42,0.02,,,,
Calgary Flames*,80,42,23,15,99,0.619,348,265,1,-0.04,,,,
Edmonton Oilers*,80,38,28,14,90,0.563,315,283,0.42,0.02,,,,
Winnipeg Jets*,80,37,32,11,85,0.531,298,290,0.15,0.05,,,,
Los Angeles Kings*,80,34,39,7,75,0.469,338,337,0.07,0.06,,,,
Vancouver Canucks,80,25,41,14,64,0.4,245,306,-0.64,0.13,,,,
Boston Bruins*,80,46,25,9,101,0.631,289,232,0.64,-0.08,,,,
Buffalo Sabres*,80,45,27,8,98,0.613,286,248,0.42,-0.05,,,,
Montreal Canadiens*,80,41,28,11,93,0.581,288,234,0.6,-0.07,,,,
Hartford Whalers*,80,38,33,9,85,0.531,275,268,0.07,-0.02,,,,
Quebec Nordiques,80,12,61,7,31,0.194,240,407,-1.91,0.18,,,,
New York Rangers*,80,36,31,13,85,0.531,279,267,0.12,-0.03,,,,
New Jersey Devils*,80,37,34,9,83,0.519,295,288,0.06,-0.03,,,,
Washington Capitals*,80,36,38,6,78,0.488,284,275,0.08,-0.03,,,,
New York Islanders*,80,31,38,11,73,0.456,281,288,-0.1,-0.01,,,,
Pittsburgh Penguins,80,32,40,8,72,0.45,318,359,-0.49,0.02,,,,
Philadelphia Flyers,80,30,39,11,71,0.444,290,297,-0.1,-0.01,,,,
