Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
ew Jersey Devils*,82,49,24,9,107,0.652,216,201,0.03,-0.15,0.585,39,36-24-22,0.573
Pittsburgh Penguins*,82,47,24,11,105,0.64,277,246,0.21,-0.17,0.549,37,31-24-27,0.543
New York Rangers*,82,42,30,10,94,0.573,242,216,0.16,-0.16,0.488,33,30-30-22,0.5
New York Islanders*,82,40,30,12,92,0.561,248,240,-0.04,-0.14,0.47,32,30-30-22,0.5
Philadelphia Flyers,82,22,48,12,56,0.341,214,303,-1.12,-0.04,0.299,21,18-48-16,0.317
Buffalo Sabres*,82,53,22,7,113,0.689,308,242,0.64,-0.16,0.61,43,38-22-22,0.598
Ottawa Senators*,82,48,25,9,105,0.64,288,222,0.64,-0.16,0.61,46,44-25-13,0.616
Toronto Maple Leafs,82,40,31,11,91,0.555,258,269,-0.21,-0.08,0.506,36,32-31-19,0.506
Montreal Canadiens,82,42,34,6,90,0.549,245,256,-0.21,-0.08,0.506,36,34-34-14,0.5
Boston Bruins,82,35,41,6,76,0.463,219,289,-0.87,-0.01,0.396,26,22-41-19,0.384
Atlanta Thrashers*,82,43,28,11,97,0.591,246,245,-0.15,-0.16,0.506,36,29-28-25,0.506
Tampa Bay Lightning*,82,44,33,5,93,0.567,253,261,-0.25,-0.15,0.488,34,29-33-20,0.476
Carolina Hurricanes,82,40,34,8,88,0.537,241,253,-0.29,-0.15,0.518,40,34-34-14,0.5
Florida Panthers,82,35,31,16,86,0.524,247,257,-0.27,-0.15,0.463,33,30-31-21,0.494
Washington Capitals,82,28,40,14,70,0.427,235,286,-0.73,-0.1,0.402,27,23-40-19,0.396
Detroit Red Wings*,82,50,19,13,113,0.689,254,199,0.72,0.05,0.646,48,45-19-18,0.659
Nashville Predators*,82,51,23,8,110,0.671,272,212,0.78,0.05,0.616,45,42-23-17,0.616
St. Louis Blues,82,34,35,13,81,0.494,214,254,-0.33,0.15,0.415,28,24-35-23,0.433
Columbus Blue Jackets,82,33,42,7,73,0.445,201,249,-0.42,0.16,0.402,28,24-42-16,0.39
Chicago Blackhawks,82,31,42,9,71,0.433,201,258,-0.52,0.17,0.384,25,22-42-18,0.378
Vancouver Canucks*,82,49,26,7,105,0.64,222,201,0.39,0.13,0.591,44,32-26-24,0.537
Minnesota Wild*,82,48,26,8,104,0.634,235,191,0.65,0.11,0.567,38,31-26-25,0.53
Calgary Flames*,82,43,29,10,96,0.585,258,226,0.51,0.12,0.537,40,38-29-15,0.555
Colorado Avalanche,82,44,31,7,95,0.579,272,251,0.39,0.13,0.53,39,36-31-15,0.53
Edmonton Oilers,82,32,43,7,71,0.433,195,248,-0.43,0.22,0.39,29,28-43-11,0.409
Anaheim Ducks*,82,48,20,14,110,0.671,258,208,0.67,0.06,0.622,44,39-20-23,0.616
San Jose Sharks*,82,51,26,5,107,0.652,258,199,0.77,0.05,0.622,49,48-26-8,0.634
Dallas Stars*,82,50,25,7,107,0.652,226,197,0.44,0.08,0.579,41,35-25-22,0.561
Los Angeles Kings,82,27,41,14,68,0.415,227,283,-0.51,0.18,0.341,23,21-41-20,0.378
Phoenix Coyotes,82,31,46,5,67,0.409,216,284,-0.64,0.19,0.36,26,24-46-12,0.366
