Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
New Jersey Devils*,82,46,20,16,108,0.659,216,166,0.49,-0.12,0.622,,,
Philadelphia Flyers*,82,45,20,17,107,0.652,211,166,0.43,-0.12,0.628,,,
New York Islanders*,82,35,34,13,83,0.506,224,231,-0.16,-0.07,0.494,,,
New York Rangers,82,32,36,14,78,0.476,210,231,-0.33,-0.08,0.451,,,
Pittsburgh Penguins,82,27,44,11,65,0.396,189,255,-0.85,-0.04,0.366,,,
Ottawa Senators*,82,52,21,9,113,0.689,263,182,0.88,-0.11,0.683,,,
Toronto Maple Leafs*,82,44,28,10,98,0.598,236,208,0.26,-0.08,0.579,,,
Boston Bruins*,82,36,31,15,87,0.53,245,237,0.02,-0.08,0.506,,,
Montreal Canadiens,82,30,35,17,77,0.47,206,234,-0.39,-0.05,0.415,,,
Buffalo Sabres,82,27,37,18,72,0.439,190,219,-0.4,-0.05,0.39,,,
Tampa Bay Lightning*,82,36,25,21,93,0.567,219,210,-0.01,-0.12,0.537,,,
Washington Capitals*,82,39,29,14,92,0.561,224,220,-0.06,-0.11,0.524,,,
Atlanta Thrashers,82,31,39,12,74,0.451,226,284,-0.78,-0.07,0.421,,,
Florida Panthers,82,24,36,22,70,0.427,176,237,-0.78,-0.03,0.372,,,
Carolina Hurricanes,82,22,43,17,61,0.372,171,240,-0.9,-0.06,0.335,,,
Detroit Red Wings*,82,48,20,14,110,0.671,269,203,0.85,0.05,0.646,,,
St. Louis Blues*,82,41,24,17,99,0.604,253,222,0.43,0.05,0.567,,,
Chicago Blackhawks,82,30,33,19,79,0.482,207,226,-0.14,0.09,0.445,,,
Nashville Predators,82,27,35,20,74,0.451,183,206,-0.17,0.11,0.409,,,
Columbus Blue Jackets,82,29,42,11,69,0.421,213,263,-0.51,0.11,0.402,,,
Colorado Avalanche*,82,42,19,21,105,0.64,251,194,0.75,0.06,0.591,,,
Vancouver Canucks*,82,45,23,14,104,0.634,264,208,0.74,0.05,0.628,,,
Minnesota Wild*,82,42,29,11,95,0.579,198,178,0.32,0.08,0.573,,,
Edmonton Oilers*,82,36,26,20,92,0.561,231,230,0.12,0.11,0.506,,,
Calgary Flames,82,29,36,17,75,0.457,186,228,-0.37,0.14,0.433,,,
Dallas Stars*,82,46,17,19,111,0.677,245,169,0.94,0.01,0.652,,,
Mighty Ducks of Anaheim*,82,40,27,15,95,0.579,203,193,0.19,0.07,0.543,,,
Los Angeles Kings,82,33,36,13,79,0.482,203,221,-0.13,0.09,0.439,,,
Phoenix Coyotes,82,31,35,16,78,0.476,204,230,-0.23,0.08,0.445,,,
San Jose Sharks,82,28,37,17,73,0.445,214,239,-0.21,0.1,0.396,,,
