Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
New Jersey Devils*,82,51,27,4,106,0.646,244,209,0.38,-0.05,0.598,45,36-27-19,0.555
Philadelphia Flyers*,82,44,27,11,99,0.604,264,238,0.28,-0.04,0.549,40,34-27-21,0.543
Pittsburgh Penguins*,82,45,28,9,99,0.604,264,239,0.28,-0.02,0.549,39,33-28-21,0.53
New York Rangers*,82,43,30,9,95,0.579,210,218,-0.1,-0.01,0.5,33,30-30-22,0.5
New York Islanders,82,26,47,9,61,0.372,201,279,-0.91,0.05,0.329,23,20-47-15,0.335
Boston Bruins*,82,53,19,10,116,0.707,274,196,0.89,-0.06,0.659,49,46-19-17,0.665
Montreal Canadiens*,82,41,30,11,93,0.567,249,247,0.02,-0.01,0.5,34,30-30-22,0.5
Buffalo Sabres,82,41,32,9,91,0.555,250,234,0.18,-0.02,0.482,33,31-32-19,0.494
Ottawa Senators,82,36,35,11,83,0.506,217,237,-0.23,0.01,0.451,32,29-35-18,0.463
Toronto Maple Leafs,82,34,35,13,81,0.494,250,293,-0.49,0.03,0.421,28,24-35-23,0.433
Washington Capitals*,82,50,24,8,108,0.659,272,245,0.27,-0.06,0.616,46,40-24-18,0.598
Carolina Hurricanes*,82,45,30,7,97,0.591,239,226,0.11,-0.05,0.561,42,35-30-17,0.53
Florida Panthers,82,41,30,11,93,0.567,234,231,0,-0.04,0.53,38,34-30-18,0.524
Atlanta Thrashers,82,35,41,6,76,0.463,257,280,-0.3,-0.02,0.39,28,24-41-17,0.396
Tampa Bay Lightning,82,24,40,18,66,0.402,210,279,-0.81,0.03,0.335,21,19-40-23,0.372
Detroit Red Wings*,82,51,21,10,112,0.683,295,244,0.62,0,0.61,45,42-21-19,0.628
Chicago Blackhawks*,82,46,24,12,104,0.634,264,216,0.6,0.01,0.579,42,36-24-22,0.573
Columbus Blue Jackets*,82,41,31,10,92,0.561,226,230,-0.01,0.04,0.506,35,30-31-21,0.494
St. Louis Blues*,82,41,31,10,92,0.561,233,233,0.05,0.05,0.5,35,31-31-20,0.5
Nashville Predators,82,40,34,8,88,0.537,213,233,-0.19,0.06,0.482,34,28-34-20,0.463
Vancouver Canucks*,82,45,27,10,100,0.61,246,220,0.3,-0.02,0.573,42,37-27-18,0.561
Calgary Flames*,82,46,30,6,98,0.598,254,248,0.07,0,0.555,43,40-30-12,0.561
Minnesota Wild,82,40,33,9,89,0.543,219,200,0.22,-0.02,0.476,35,32-33-17,0.494
Edmonton Oilers,82,38,35,9,85,0.518,234,248,-0.16,0.01,0.451,32,31-35-16,0.476
Colorado Avalanche,82,32,45,5,69,0.421,199,257,-0.66,0.05,0.36,23,20-45-17,0.348
San Jose Sharks*,82,53,18,11,117,0.713,257,204,0.61,-0.04,0.64,47,43-18-21,0.652
Anaheim Ducks*,82,42,33,7,91,0.555,245,238,0.09,0,0.488,35,30-33-19,0.482
Dallas Stars,82,36,35,11,83,0.506,230,257,-0.3,0.03,0.439,30,25-35-22,0.439
Phoenix Coyotes,82,36,39,7,79,0.482,208,252,-0.5,0.04,0.439,33,32-39-11,0.457
Los Angeles Kings,82,34,37,11,79,0.482,207,234,-0.29,0.04,0.433,29,26-37-19,0.433
