Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
ampa Bay Lightning*,82,54,23,5,113,0.689,296,236,0.66,-0.07,0.634,48,42-23-17,0.616
Boston Bruins*,82,50,20,12,112,0.683,270,214,0.62,-0.07,0.61,47,41-20-21,0.628
Toronto Maple Leafs*,82,49,26,7,105,0.64,277,232,0.49,-0.06,0.567,42,37-26-19,0.567
Florida Panthers,82,44,30,8,96,0.585,248,246,-0.01,-0.04,0.537,41,38-30-14,0.549
Detroit Red Wings,82,30,39,13,73,0.445,217,255,-0.48,-0.01,0.341,25,22-39-21,0.396
Montreal Canadiens,82,29,40,13,71,0.433,209,264,-0.68,0,0.378,27,24-40-18,0.402
Ottawa Senators,82,28,43,11,67,0.409,221,291,-0.85,0,0.372,26,18-43-21,0.348
Buffalo Sabres,82,25,45,12,62,0.378,199,280,-0.98,0.01,0.311,24,19-45-18,0.341
Washington Capitals*,82,49,26,7,105,0.64,259,239,0.21,-0.04,0.585,46,38-26-18,0.573
Pittsburgh Penguins*,82,47,29,6,100,0.61,272,250,0.23,-0.04,0.573,45,33-29-20,0.524
Philadelphia Flyers*,82,42,26,14,98,0.598,251,243,0.07,-0.03,0.543,40,31-26-25,0.53
Columbus Blue Jackets*,82,45,30,7,97,0.591,242,230,0.11,-0.04,0.537,39,30-30-22,0.5
New Jersey Devils*,82,44,29,9,97,0.591,248,244,0.02,-0.03,0.53,39,33-29-20,0.524
Carolina Hurricanes,82,36,35,11,83,0.506,228,256,-0.35,-0.01,0.439,33,30-35-17,0.47
New York Islanders,82,35,37,10,80,0.488,264,296,-0.4,-0.01,0.427,32,25-37-20,0.427
New York Rangers,82,34,39,9,77,0.47,231,268,-0.46,-0.01,0.427,31,24-39-19,0.409
Nashville Predators*,82,53,18,11,117,0.713,267,211,0.71,0.03,0.652,47,42-18-22,0.646
Winnipeg Jets*,82,52,20,10,114,0.695,277,218,0.74,0.02,0.622,48,43-20-19,0.64
Minnesota Wild*,82,45,26,11,101,0.616,253,232,0.29,0.04,0.549,42,38-26-18,0.573
Colorado Avalanche*,82,43,30,9,95,0.579,257,237,0.28,0.04,0.518,41,35-30-17,0.53
St. Louis Blues,82,44,32,6,94,0.573,226,222,0.1,0.05,0.518,41,33-32-17,0.506
Dallas Stars,82,42,32,8,92,0.561,235,225,0.17,0.04,0.506,38,33-32-17,0.506
Chicago Blackhawks,82,33,39,10,76,0.463,229,256,-0.26,0.07,0.409,32,26-39-17,0.421
Vegas Golden Knights*,82,51,24,7,109,0.665,272,228,0.52,-0.01,0.616,47,39-24-19,0.591
Anaheim Ducks*,82,44,25,13,101,0.616,235,216,0.24,0.01,0.555,40,35-25-22,0.561
San Jose Sharks*,82,45,27,10,100,0.61,252,229,0.28,0,0.537,40,35-27-20,0.549
Los Angeles Kings*,82,45,29,8,98,0.598,239,203,0.44,0,0.543,43,34-29-19,0.53
Calgary Flames,82,37,35,10,84,0.512,218,248,-0.33,0.03,0.47,35,28-35-19,0.457
Edmonton Oilers,82,36,40,6,78,0.476,234,263,-0.32,0.03,0.415,31,24-40-18,0.402
Vancouver Canucks,82,31,40,11,73,0.445,218,264,-0.51,0.05,0.409,31,25-40-17,0.409
Arizona Coyotes,82,29,41,12,70,0.427,208,256,-0.53,0.05,0.372,27,20-41-21,0.372
